Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31
-3.896875e+02,-2.924487e+02,-2.377469e+02,-2.159132e+02,-2.007516e+02,-1.343074e+02,-9.417133e+01,-9.232579e+01,-9.160522e+01,-9.571335e+01,-1.041305e+02,-1.084405e+02,-1.035937e+02,-9.574333e+01,-8.415128e+01,-6.737247e+01,-5.319930e+01,-4.427845e+01,-3.531800e+01,-2.181095e+01,-5.079537e+01,-1.143900e+02,-1.819906e+02,-2.851051e+02,-3.776879e+02,-4.322268e+02,-4.604957e+02,-4.662704e+02,-4.650041e+02,-4.666302e+02,-4.814492e+02
1.099167e+02,1.218746e+02,1.175999e+02,1.009006e+02,1.003484e+02,9.305692e+01,7.481495e+01,5.717181e+01,5.621369e+01,6.043665e+01,6.263761e+01,5.931570e+01,5.902505e+01,5.880435e+01,5.635014e+01,5.090232e+01,4.908671e+01,5.122697e+01,6.016896e+01,8.076803e+01,9.498672e+01,9.850446e+01,1.014334e+02,1.142947e+02,1.120624e+02,8.607928e+01,7.292331e+01,7.578656e+01,7.976093e+01,7.737546e+01,6.381670e+01
3.809261e+01,2.586042e+01,1.212616e+01,5.863953e+00,8.766226e+00,1.020746e+01,2.626800e+00,-6.832735e+00,-1.261903e+01,-1.239463e+01,-7.241187e+00,-1.085148e+01,-1.249954e+01,-1.328331e+01,-1.756201e+01,-2.963517e+01,-4.145650e+01,-4.200238e+01,-4.851593e+01,-6.805128e+01,-7.173427e+01,-4.683843e+01,-2.813531e+01,-2.258003e+01,-2.070609e+01,-9.651411e+00,-9.280610e-02,1.086783e+01,1.326864e+01,1.061735e+01,1.066489e+01
5.021951e+01,6.662627e+01,6.682568e+01,5.822293e+01,4.295033e+01,1.375150e+01,2.287067e+00,-1.425770e+00,-3.280801e+00,-8.014229e+00,-1.190164e+01,-1.602677e+01,-2.064254e+01,-1.877899e+01,-1.740615e+01,-1.908239e+01,-2.193500e+01,-2.517132e+01,-3.045093e+01,-3.543449e+01,-3.493438e+01,-3.246447e+01,-2.145098e+01,-5.152630e+00,-7.610724e+00,-8.260852e+00,-6.965065e+00,-3.259828e+00,-2.345061e+00,-5.532859e+00,-7.628573e+00
-6.223445e+00,-2.061977e+01,-3.175953e+01,-4.057845e+01,-5.888987e+01,-5.675852e+01,-5.389428e+01,-4.685887e+01,-4.030141e+01,-3.894225e+01,-3.728184e+01,-3.430056e+01,-3.093771e+01,-2.723435e+01,-2.165770e+01,-2.089724e+01,-2.341146e+01,-2.226254e+01,-1.761368e+01,-1.871630e+01,-1.526740e+01,-6.211022e+00,2.433742e+00,-1.858185e+00,-5.678452e+00,3.633489e+00,5.290902e+00,8.094706e+00,1.478045e+01,1.328856e+01,5.611110e+00
9.206749e+00,1.568192e+01,2.373355e+01,3.073174e+01,2.089924e+01,-2.330607e-01,7.155070e+00,2.428717e+01,3.449417e+01,3.823525e+01,4.209204e+01,4.394892e+01,4.499068e+01,4.624706e+01,5.016531e+01,4.527038e+01,3.818974e+01,3.514152e+01,3.964035e+01,3.745800e+01,3.337056e+01,2.533816e+01,1.967422e+01,1.576976e+01,9.822214e+00,1.099436e+01,8.141262e+00,1.484835e+01,2.142364e+01,2.319528e+01,1.952283e+01
1.217345e+01,-1.097700e+01,-2.595860e+01,-2.878247e+01,-3.386788e+01,-4.243427e+01,-4.517830e+01,-3.497146e+01,-3.166331e+01,-3.085207e+01,-2.643063e+01,-2.853281e+01,-3.130255e+01,-2.970508e+01,-2.597712e+01,-2.586724e+01,-2.818513e+01,-2.934887e+01,-2.173239e+01,-1.658324e+01,-9.387728e+00,1.783001e+00,6.915222e+00,1.312802e+01,1.491494e+01,1.345298e+01,5.231063e+00,1.292396e+01,1.743098e+01,1.849853e+01,1.089058e+01
-2.405430e+01,-1.482922e+01,-5.203616e+00,5.913871e+00,1.426636e+01,2.942242e+01,4.718685e+01,5.163945e+01,4.279799e+01,3.496388e+01,2.885033e+01,2.807649e+01,2.691728e+01,3.074289e+01,3.505915e+01,3.517123e+01,3.198341e+01,3.291676e+01,3.473287e+01,2.826476e+01,1.979532e+01,9.982204e+00,3.930666e+00,-4.095356e+00,-8.955822e+00,2.850098e-01,-5.372743e-01,6.307425e+00,1.212508e+01,1.145974e+01,4.851317e+00
-1.571822e+01,-8.645479e+00,-9.349201e+00,-9.822330e+00,-2.892782e+00,-6.302722e+00,-6.187599e+00,-6.180757e+00,-9.464745e+00,-1.267883e+01,-1.491862e+01,-8.929913e+00,-8.727046e+00,-9.447168e+00,-5.207173e+00,-5.632725e+00,-1.093530e+01,-1.134513e+01,-8.118711e+00,-8.983572e+00,-3.001483e+00,6.760940e+00,8.022305e+00,7.724000e+00,8.827364e+00,6.205074e+00,1.808087e+00,4.546210e+00,4.470709e+00,5.470745e+00,4.836815e+00
-1.126993e+01,-1.896128e+01,-2.317745e+01,-1.901621e+01,-6.417040e+00,8.550130e+00,1.246469e+01,1.281721e+01,1.488865e+01,1.557122e+01,1.534175e+01,1.461451e+01,9.255550e+00,8.278989e+00,1.114481e+01,7.732912e+00,6.322526e+00,2.046185e+00,-4.209262e+00,-1.401115e+01,-2.217701e+01,-1.964456e+01,-2.082112e+01,-1.202753e+01,5.250909e+00,2.352592e+00,-8.387947e-01,2.858528e+00,4.558510e-01,1.318825e+00,2.149402e+00
