Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40
-4.731019e+02,-4.572985e+02,-4.554348e+02,-4.564406e+02,-4.586748e+02,-4.609018e+02,-4.618578e+02,-4.499101e+02,-3.673055e+02,-2.635805e+02,-1.998661e+02,-1.976427e+02,-2.052438e+02,-2.014063e+02,-1.616803e+02,-1.496263e+02,-1.582215e+02,-1.664043e+02,-1.818962e+02,-1.862629e+02,-1.870638e+02,-1.852728e+02,-1.702227e+02,-1.459927e+02,-1.122566e+02,-8.462903e+01,-8.460191e+01,-1.154522e+02,-1.599191e+02,-2.189284e+02,-2.876469e+02,-3.585748e+02,-4.192359e+02,-4.488496e+02,-4.508221e+02,-4.520019e+02,-4.563669e+02,-4.543073e+02,-4.552908e+02,-4.617737e+02
5.433584e+01,6.544505e+01,6.839363e+01,6.831931e+01,6.692935e+01,6.495410e+01,6.614403e+01,7.847804e+01,1.399707e+02,1.646673e+02,1.734016e+02,1.626111e+02,1.598082e+02,1.610575e+02,1.543158e+02,1.447634e+02,1.364038e+02,1.370515e+02,1.393069e+02,1.390932e+02,1.421741e+02,1.458326e+02,1.442329e+02,1.397767e+02,1.439499e+02,1.546850e+02,1.665632e+02,1.744550e+02,1.762634e+02,1.736987e+02,1.631465e+02,1.323641e+02,9.652487e+01,7.558163e+01,7.283279e+01,6.948169e+01,6.488654e+01,6.752657e+01,6.939905e+01,6.555690e+01
9.431217e+00,6.437570e+00,9.122713e+00,1.006742e+01,1.103821e+01,8.445206e+00,1.237268e+01,1.925706e+01,3.585793e+01,4.022975e+00,-2.828650e+01,-4.081472e+01,-3.522894e+01,-4.127411e+01,-4.020438e+01,-4.518697e+01,-4.779943e+01,-4.363024e+01,-3.301926e+01,-3.277797e+01,-3.708827e+01,-3.922542e+01,-4.938691e+01,-6.831644e+01,-9.261993e+01,-1.165395e+02,-1.203449e+02,-1.141372e+02,-9.865250e+01,-6.636061e+01,-3.768393e+01,-2.147554e+01,1.505201e-01,1.030798e+01,9.053391e+00,4.777387e+00,4.146914e+00,8.089748e+00,1.263527e+01,1.346739e+01
-4.544386e+00,-5.486835e+00,-4.040624e+00,-4.819055e+00,-4.580660e+00,-9.249277e+00,-7.390030e+00,-1.971712e+00,2.768053e+01,5.305264e+01,5.371806e+01,5.021098e+01,4.621991e+01,3.802985e+01,1.112356e+01,-9.906498e+00,-7.805233e+00,-1.489926e+01,-2.328247e+01,-2.611584e+01,-3.189307e+01,-3.531072e+01,-3.628789e+01,-2.577759e+01,-2.443590e+01,-3.493754e+01,-3.507185e+01,-3.138226e+01,-2.817508e+01,-2.680421e+01,-3.537344e+01,-3.376692e+01,-2.284476e+01,-6.510327e+00,-5.459160e+00,-6.435091e+00,-3.581330e+00,1.586880e+00,1.701577e+00,-1.075589e+00
8.182125e+00,1.153763e+01,1.322832e+01,1.201080e+01,1.022888e+01,9.005464e+00,7.554711e+00,6.614284e+00,-7.518066e+00,-2.400615e+01,-3.447863e+01,-3.227884e+01,-2.905430e+01,-2.632183e+01,-3.452398e+01,-3.074759e+01,-1.700122e+01,-1.588333e+01,-1.789575e+01,-1.936450e+01,-1.679936e+01,-1.412274e+01,-1.680255e+01,-1.392627e+01,-9.693978e+00,-1.088754e+01,-1.286542e+01,-8.915682e+00,1.628357e+00,4.300556e+00,3.566564e+00,7.765631e+00,6.294869e+00,1.502065e+01,1.558545e+01,1.754518e+01,1.980874e+01,2.086056e+01,1.743763e+01,1.457695e+01
1.574128e+01,1.578948e+01,1.838926e+01,1.940541e+01,1.823387e+01,2.240837e+01,2.036197e+01,1.015157e+01,-4.693480e+01,-5.725513e+01,-4.724034e+01,-3.442733e+01,-2.134983e+01,-1.816042e+01,-1.855169e+01,-2.845283e+00,2.203695e+01,4.009316e+01,4.904230e+01,4.844306e+01,4.977373e+01,5.404430e+01,5.371526e+01,5.329885e+01,5.641540e+01,5.460092e+01,4.975417e+01,4.403275e+01,3.446928e+01,2.574417e+01,1.536811e+01,1.098970e+01,2.160433e+01,2.383236e+01,2.242460e+01,2.401064e+01,2.303556e+01,1.911813e+01,1.923145e+01,2.170498e+01
1.291402e+01,1.144367e+01,1.213358e+01,1.228377e+01,1.360135e+01,1.764181e+01,1.624525e+01,5.295835e+00,-2.395231e+01,-1.555314e+01,-6.148576e+00,-1.519409e+00,3.958087e+00,9.996524e+00,-3.969936e+00,-1.270734e+01,-1.197171e+01,-1.023330e+01,-3.380699e+00,-3.699905e+00,-8.172890e+00,-6.236703e+00,-1.230788e+01,-1.635494e+01,-1.688184e+01,-1.569316e+01,-1.636058e+01,-1.308395e+01,-1.255403e+01,-3.625751e+00,5.202103e-01,2.184561e+00,1.463285e+01,1.235151e+01,1.182255e+01,1.338062e+01,1.305114e+01,1.012074e+01,1.293666e+01,1.574117e+01
1.147011e+01,1.095969e+01,1.022717e+01,7.270171e+00,8.629972e+00,8.970613e+00,7.566217e+00,1.284614e+00,-1.176373e+01,-1.721797e+01,-1.564924e+01,-1.246904e+01,-5.543707e+00,7.748558e+00,2.478576e+01,2.509858e+01,1.881181e+01,5.464513e+00,3.169897e+00,4.081098e+00,6.832998e+00,6.689639e+00,5.258650e+00,7.383356e+00,9.017914e+00,7.903821e+00,1.616927e+00,-2.821449e+00,-2.446918e+00,1.612978e+00,1.871484e+00,-2.166610e-01,7.422969e+00,4.395139e+00,6.167042e+00,8.528997e+00,1.254573e+01,1.270443e+01,1.286795e+01,1.298155e+01
9.037298e+00,7.700981e+00,9.976452e+00,9.151852e+00,7.556950e+00,4.662021e+00,2.893167e+00,-2.748265e-01,-1.721384e+01,-1.596887e+01,-2.202982e+00,5.015720e+00,8.350722e+00,1.347793e+01,3.113568e+01,3.272029e+01,2.920192e+01,2.586194e+01,2.385792e+01,2.109263e+01,2.207787e+01,2.059892e+01,1.870403e+01,2.452973e+01,2.448909e+01,1.943175e+01,1.640758e+01,1.719902e+01,1.512592e+01,5.974361e+00,-1.274491e+00,1.942754e+00,8.606453e+00,6.273381e+00,7.663268e+00,8.054277e+00,1.131282e+01,1.279491e+01,1.206592e+01,1.299650e+01
-1.095147e-01,1.571179e+00,5.818131e+00,8.676630e+00,5.896119e+00,1.038024e+00,-8.461055e-01,2.334998e+00,2.827477e+00,-8.691998e+00,-1.335281e+01,-1.153273e+01,-6.213165e+00,-5.958974e+00,-5.174339e+00,-4.030782e+00,-1.166699e+01,-9.695333e+00,-6.685059e+00,-2.836171e+00,-2.616985e+00,5.134494e-01,-8.135382e+00,-1.346533e+01,-1.484158e+01,-1.675747e+01,-2.036073e+01,-2.132329e+01,-2.156326e+01,-1.772239e+01,-6.894643e+00,2.117211e+00,7.179941e+00,6.992663e+00,6.324102e+00,4.315309e+00,1.752790e+00,4.434392e+00,6.424586e+00,7.908913e+00
-7.055059e+00,-7.518878e-01,-5.907196e-01,1.021053e+00,1.294015e+00,-3.742454e+00,-5.395558e+00,5.945138e+00,1.743511e+01,1.210772e+01,6.565134e+00,9.084272e+00,1.135679e+01,1.369368e+01,4.161900e+00,-3.534927e+00,-1.499067e+01,-1.493233e+01,-1.410787e+01,-1.010546e+01,-7.217706e+00,-7.323945e+00,-7.144513e+00,-5.428020e+00,-8.618292e+00,-1.169415e+01,-1.002403e+01,-8.319911e+00,-1.082631e+01,-1.018579e+01,-1.117041e+01,-1.273734e+01,-5.273472e+00,1.207654e+00,3.209469e-01,3.214582e-01,-2.630079e+00,-1.542541e+00,5.786680e-01,9.257097e-01
-4.030648e+00,-1.182717e+00,-6.451489e+00,-6.108315e+00,-2.652822e+00,-6.305430e+00,-7.374773e+00,3.603148e+00,7.240700e+00,1.979535e+01,1.923162e+01,1.770976e+01,9.935995e+00,1.008308e+01,1.268988e+01,8.365010e+00,3.017569e+00,3.301864e+00,1.977304e+00,-5.887638e+00,-8.497047e+00,-4.761145e+00,-2.669119e+00,-1.127003e+00,-1.380899e+00,-4.644749e+00,-8.610012e+00,-1.451988e+01,-2.231777e+01,-2.713740e+01,-2.676583e+01,-2.226447e+01,-1.336897e+01,-5.500898e+00,-4.785874e+00,-1.673605e+00,-4.465355e-01,-4.593442e+00,-4.442887e+00,-2.549311e+00
