Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35
-4.739654e+02,-4.570195e+02,-4.586286e+02,-4.541082e+02,-3.986554e+02,-3.120291e+02,-2.209516e+02,-1.568488e+02,-1.390591e+02,-1.432830e+02,-1.276924e+02,-9.265868e+01,-9.136238e+01,-1.042192e+02,-1.201863e+02,-1.337414e+02,-1.297239e+02,-1.250009e+02,-1.163512e+02,-1.166133e+02,-1.156996e+02,-1.039566e+02,-8.210550e+01,-5.669892e+01,-6.135575e+01,-1.100118e+02,-1.771789e+02,-2.601285e+02,-3.448192e+02,-4.043448e+02,-4.423971e+02,-4.509096e+02,-4.525470e+02,-4.560236e+02,-4.718904e+02
4.201024e+01,5.631908e+01,5.388917e+01,5.962921e+01,1.150825e+02,1.492652e+02,1.688612e+02,1.578710e+02,1.264127e+02,1.049414e+02,1.092717e+02,1.116578e+02,1.060084e+02,9.009835e+01,8.731391e+01,8.785860e+01,8.611863e+01,8.148128e+01,7.541234e+01,8.012508e+01,7.642613e+01,7.623880e+01,7.593921e+01,8.589232e+01,1.034491e+02,1.191140e+02,1.463279e+02,1.583358e+02,1.409385e+02,9.651009e+01,6.382901e+01,6.088562e+01,5.963223e+01,5.579480e+01,4.120404e+01
2.497176e+01,2.198047e+01,1.937790e+01,2.298992e+01,4.094701e+01,9.490756e+00,-2.263938e+01,-3.994544e+01,-4.076069e+01,-3.853233e+01,-3.721373e+01,-2.693384e+01,-1.597301e+01,-1.142301e+01,-6.813591e+00,5.223286e-01,2.103556e+00,-7.010259e+00,-1.658589e+01,-1.717657e+01,-1.975455e+01,-3.042072e+01,-4.874554e+01,-7.329553e+01,-7.920270e+01,-7.062989e+01,-5.385419e+01,-3.185818e+01,-5.255351e+00,4.759119e+00,8.710632e+00,1.918852e+01,1.945333e+01,1.790213e+01,1.747659e+01
1.338084e+01,4.181965e+00,2.054677e+00,1.418228e+00,-1.654750e+00,2.214876e+01,2.879103e+01,4.010220e+01,5.411945e+01,5.912054e+01,4.847248e+01,2.384624e+01,1.769739e-01,-3.489609e+00,-8.966997e+00,-1.332891e+01,-1.706373e+01,-2.292748e+01,-2.840424e+01,-2.832729e+01,-3.109155e+01,-3.084159e+01,-2.683539e+01,-2.901015e+01,-2.512447e+01,-2.715835e+01,-3.058029e+01,-3.548498e+01,-3.914571e+01,-2.725064e+01,-1.067875e+01,-1.208348e+00,-9.946159e-01,-9.257081e-01,4.147729e+00
1.189387e+01,9.297726e+00,8.610769e+00,2.242685e+00,-2.253348e+01,-9.061186e+00,-1.499175e+01,-3.072072e+01,-3.055172e+01,-3.009436e+01,-5.086053e+01,-7.026685e+01,-6.309620e+01,-4.195015e+01,-3.100266e+01,-2.792257e+01,-2.376964e+01,-2.583558e+01,-3.010550e+01,-2.607914e+01,-2.015807e+01,-1.973416e+01,-2.264936e+01,-2.406903e+01,-3.006889e+01,-2.827864e+01,-1.282643e+01,9.066781e-02,5.041810e+00,1.921116e+00,7.809766e+00,7.207824e+00,6.819149e+00,6.904771e+00,7.864550e+00
1.378736e+01,1.767426e+01,1.865898e+01,9.455816e+00,-3.848823e+01,-6.617078e+01,-6.699873e+01,-4.558407e+01,-2.412336e+01,-1.059655e+01,-2.001600e+01,-1.271754e+01,6.007189e+00,3.268873e+01,4.295058e+01,5.062772e+01,5.356454e+01,5.647519e+01,5.935310e+01,6.391031e+01,6.446802e+01,6.172588e+01,6.157190e+01,6.409158e+01,6.833273e+01,7.177307e+01,5.586390e+01,3.469656e+01,2.322912e+01,2.497961e+01,2.233711e+01,1.941566e+01,1.950430e+01,1.866636e+01,1.667654e+01
1.234965e+01,1.534758e+01,1.693097e+01,1.212850e+01,-3.096682e+01,-2.634641e+01,-1.023715e+01,-6.188493e+00,-1.638995e+00,2.407461e+00,-7.172103e+00,-2.404326e+01,-3.653550e+01,-3.311864e+01,-3.230921e+01,-3.105140e+01,-2.804921e+01,-3.581939e+01,-4.109116e+01,-4.023231e+01,-3.683574e+01,-3.395760e+01,-3.439727e+01,-3.474980e+01,-3.636016e+01,-3.244515e+01,-2.082985e+01,-5.074704e+00,6.289094e+00,1.604719e+01,1.545265e+01,1.796329e+01,1.845242e+01,1.699995e+01,1.783385e+01
8.297271e+00,7.875919e+00,8.436598e+00,1.224269e+01,-6.002272e+00,4.565045e+00,1.596867e+01,1.582119e+01,2.117218e+01,2.131587e+01,2.264455e+01,4.204301e+01,5.287611e+01,4.572240e+01,3.729380e+01,3.231224e+01,3.208923e+01,2.752156e+01,2.823069e+01,2.801541e+01,2.740107e+01,2.988518e+01,3.206979e+01,3.048557e+01,2.684321e+01,2.168505e+01,8.134129e+00,-1.345946e+00,-4.688888e+00,3.955204e+00,6.632148e+00,9.691944e+00,8.997095e+00,8.020066e+00,1.099034e+01
5.487219e+00,4.453520e+00,3.044756e+00,1.140655e+01,6.814964e+00,-1.720982e+01,-3.276469e+01,-3.203475e+01,-2.941966e+01,-2.889875e+01,-1.441114e+01,3.269097e+00,8.854900e+00,1.804068e+00,-3.148832e+00,-4.850238e+00,-1.083630e+01,-1.090390e+01,-6.632369e+00,-4.020314e+00,-4.086739e-01,-2.718716e+00,-8.093376e+00,-1.261058e+01,-1.390185e+01,-1.059194e+01,2.213929e+00,3.383169e+00,-6.454808e-01,5.680645e+00,8.003658e+00,4.957972e+00,3.346642e+00,4.085573e+00,4.019320e+00
4.431355e+00,4.029299e+00,8.805839e-01,7.315294e+00,1.204092e+01,-2.661102e+00,3.542726e+00,9.740973e+00,1.653662e+01,2.030362e+01,2.209029e+01,2.260203e+01,1.473296e+01,7.672444e+00,6.903611e+00,1.060264e+01,1.045771e+01,9.179169e+00,1.321359e+01,9.627819e+00,8.622128e+00,9.680004e+00,3.958360e+00,2.666973e+00,2.225321e+00,-4.095368e-01,-6.043392e+00,-7.621039e+00,1.404494e-01,5.975973e+00,7.796854e+00,1.854728e+00,2.124400e+00,5.158087e+00,2.068291e+00
