Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33
-4.928375e+02,-4.728517e+02,-4.718844e+02,-4.754433e+02,-4.145782e+02,-2.669608e+02,-1.935035e+02,-1.691165e+02,-1.725848e+02,-1.597550e+02,-1.187109e+02,-1.127665e+02,-1.334086e+02,-1.422041e+02,-1.402621e+02,-1.396287e+02,-1.417172e+02,-1.450570e+02,-1.404859e+02,-1.298644e+02,-1.232645e+02,-1.175197e+02,-9.308028e+01,-5.851936e+01,-6.254299e+01,-1.144661e+02,-1.920690e+02,-2.674580e+02,-3.485948e+02,-4.135760e+02,-4.645424e+02,-4.794163e+02,-4.827764e+02
5.936251e+01,7.564229e+01,7.694258e+01,7.289984e+01,1.127695e+02,1.389902e+02,1.308943e+02,1.181638e+02,1.129767e+02,1.254240e+02,1.194081e+02,1.094933e+02,9.667487e+01,9.972118e+01,9.800755e+01,9.468487e+01,9.327016e+01,1.002367e+02,9.963397e+01,9.530904e+01,8.956432e+01,8.557426e+01,9.035475e+01,9.573526e+01,1.081606e+02,1.276622e+02,1.512187e+02,1.623957e+02,1.534101e+02,1.220886e+02,8.312430e+01,7.069036e+01,6.561993e+01
1.858131e+01,1.505526e+01,1.619199e+01,1.493397e+01,2.467297e+01,-1.617199e+01,-3.832251e+01,-4.587599e+01,-3.628799e+01,-3.231107e+01,-2.704497e+01,-2.476310e+01,-2.401704e+01,-1.410767e+01,-6.839459e+00,-4.060952e+00,-4.895270e+00,-2.792086e+00,-4.413210e+00,-1.242593e+01,-1.895293e+01,-3.729931e+01,-5.359846e+01,-6.544443e+01,-6.568562e+01,-6.570575e+01,-6.046195e+01,-4.758795e+01,-1.901322e+01,-6.006122e-02,1.504889e+01,1.923999e+01,1.467442e+01
4.236330e-01,-8.089007e+00,-7.556375e+00,-6.002790e+00,2.184075e+01,6.167006e+01,7.019366e+01,6.941251e+01,7.213744e+01,5.878218e+01,1.405215e+01,-1.143420e+01,-1.142623e+01,-1.731490e+01,-2.623734e+01,-3.375113e+01,-3.615928e+01,-3.917691e+01,-3.823724e+01,-4.214031e+01,-3.786975e+01,-3.380188e+01,-3.210228e+01,-4.251828e+01,-4.523457e+01,-4.078302e+01,-3.631458e+01,-4.063770e+01,-4.979682e+01,-4.115762e+01,-1.117652e+01,5.011948e-01,-1.637098e+00
8.813336e+00,7.509727e+00,6.617956e+00,7.937579e+00,-6.085716e+00,-2.797135e+01,-4.038986e+01,-3.813968e+01,-3.780856e+01,-5.029189e+01,-6.244817e+01,-5.987595e+01,-4.597786e+01,-4.265827e+01,-3.618186e+01,-3.340614e+01,-3.253573e+01,-3.339018e+01,-3.648092e+01,-3.582951e+01,-3.511615e+01,-2.990141e+01,-3.018168e+01,-2.684487e+01,-2.649319e+01,-2.417557e+01,-2.120642e+01,-1.683627e+01,-1.624515e+01,-9.752137e+00,5.093296e+00,1.120435e+01,1.067511e+01
1.796296e+01,2.044871e+01,1.848766e+01,1.636066e+01,-3.361563e+01,-4.282108e+01,-2.854182e+01,-1.765082e+01,-1.640321e+01,-2.539646e+01,-1.118024e+01,1.225762e+01,4.133621e+01,5.984293e+01,6.925323e+01,6.968246e+01,7.233395e+01,7.816745e+01,7.629768e+01,7.063173e+01,6.963768e+01,7.483485e+01,7.277847e+01,7.820413e+01,7.958149e+01,6.975772e+01,5.422231e+01,3.412848e+01,1.417408e+01,1.316274e+01,1.818826e+01,1.772043e+01,1.673299e+01
1.521938e+01,1.472815e+01,1.358085e+01,8.765562e+00,-1.035033e+01,1.217265e+00,-2.158029e+00,-3.878419e+00,-8.591951e+00,-2.018686e+01,-3.085875e+01,-4.039660e+01,-4.201694e+01,-3.644324e+01,-2.996527e+01,-2.925801e+01,-2.921659e+01,-3.024724e+01,-3.114837e+01,-3.499239e+01,-3.761369e+01,-4.001557e+01,-3.924823e+01,-3.663988e+01,-3.695980e+01,-3.125937e+01,-1.840776e+01,-6.382532e+00,4.112005e+00,1.036727e+01,1.357002e+01,1.219536e+01,1.201400e+01
1.048441e+01,7.075819e+00,6.971210e+00,2.735510e+00,-1.040667e+01,-9.561296e+00,-4.527388e+00,4.187885e-01,7.889792e+00,2.032786e+01,3.411065e+01,3.376981e+01,2.618349e+01,2.375152e+01,2.423754e+01,2.007512e+01,1.759427e+01,1.467454e+01,1.158404e+01,1.389463e+01,1.874504e+01,2.351868e+01,3.025134e+01,3.255490e+01,2.986580e+01,2.305095e+01,5.606284e+00,-7.193332e+00,5.039528e-01,1.090427e+01,1.050911e+01,8.589746e+00,9.573147e+00
1.134400e+01,8.340579e+00,6.514054e+00,3.613427e+00,-2.324195e+01,-3.548518e+01,-3.635606e+01,-3.420773e+01,-2.709198e+01,-4.427399e+00,1.173549e+01,1.501630e+01,2.617237e+00,-6.232544e+00,-8.280739e+00,-1.135229e+01,-1.399095e+01,-1.698367e+01,-1.658684e+01,-1.051513e+01,-6.505769e+00,-7.292966e+00,-1.248179e+01,-1.822249e+01,-1.858916e+01,-1.369934e+01,1.421064e+00,7.970727e+00,1.091807e+01,1.636113e+01,1.425027e+01,1.037386e+01,9.075497e+00
1.200648e+01,1.040820e+01,5.853281e+00,2.590517e+00,2.086611e+00,-2.152618e+00,9.951502e-01,6.308567e+00,7.949990e+00,2.016558e+01,2.012647e+01,1.507023e+01,8.131781e+00,1.410934e+01,2.098914e+01,2.617410e+01,2.767582e+01,2.564063e+01,2.258377e+01,2.114647e+01,1.540548e+01,1.051146e+01,6.810630e+00,6.189095e+00,2.056857e+00,-2.587857e+00,-9.351868e+00,-1.225964e+01,1.031693e-01,9.889093e+00,1.003459e+01,7.726154e+00,5.221741e+00
