Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32
-4.251311e+02,-3.966560e+02,-3.950710e+02,-3.896021e+02,-3.910095e+02,-3.973668e+02,-4.045757e+02,-4.142332e+02,-4.160980e+02,-4.221486e+02,-4.225839e+02,-3.347973e+02,-2.317247e+02,-1.669306e+02,-1.432735e+02,-1.081956e+02,-8.620150e+01,-8.670596e+01,-9.387093e+01,-1.048570e+02,-1.092599e+02,-1.216319e+02,-1.454478e+02,-1.864952e+02,-2.487731e+02,-3.323494e+02,-4.022987e+02,-4.315327e+02,-4.296704e+02,-4.331165e+02,-4.355166e+02,-4.553633e+02
1.059529e+02,1.173888e+02,1.197706e+02,1.241055e+02,1.218672e+02,1.208688e+02,1.120016e+02,1.027358e+02,1.043690e+02,1.058091e+02,1.038834e+02,1.351087e+02,1.543132e+02,1.505747e+02,1.464485e+02,1.448878e+02,1.291110e+02,1.256838e+02,1.333351e+02,1.335873e+02,1.359401e+02,1.463571e+02,1.555462e+02,1.640589e+02,1.642733e+02,1.546874e+02,1.212490e+02,9.632738e+01,1.009611e+02,1.003156e+02,9.761335e+01,8.516833e+01
-4.879955e+00,-1.670183e+01,-1.430827e+01,-1.512471e+01,-1.354745e+01,-7.095504e+00,-7.062716e+00,-1.287884e+01,-1.488148e+01,-6.950063e+00,-2.245435e+00,-1.673627e+01,-4.647317e+01,-6.566978e+01,-7.839458e+01,-8.438531e+01,-7.254132e+01,-6.992809e+01,-6.520771e+01,-6.088838e+01,-6.495512e+01,-5.665923e+01,-4.193362e+01,-3.302219e+01,-2.393134e+01,-1.649375e+01,-1.223091e+01,-9.171062e+00,-3.532763e+00,-1.783841e+00,-3.900880e+00,3.742437e-01
-1.441122e+01,-1.401740e+01,-1.221366e+01,-1.380645e+01,-9.490118e+00,-2.784391e+00,5.531710e+00,-1.928626e+00,-1.488458e+01,-1.442210e+01,-4.465487e+00,3.148779e+01,5.016261e+01,6.333756e+01,6.854951e+01,5.266077e+01,3.133245e+01,1.435579e+01,3.008668e+00,-6.988761e+00,-8.302841e+00,-5.648249e+00,-1.053465e+01,-2.297591e+01,-2.881461e+01,-3.208316e+01,-2.311412e+01,-9.421520e+00,-6.448273e+00,-8.435928e+00,-1.224355e+01,-1.011761e+01
5.717185e+00,6.866992e+00,8.254274e+00,7.458509e+00,6.373781e+00,1.221269e+01,1.621192e+01,1.286943e+01,5.217337e+00,5.032455e+00,8.754667e+00,2.218279e+00,-1.426409e+01,-2.135199e+01,-2.122824e+01,-3.714844e+01,-4.220843e+01,-3.240656e+01,-2.922713e+01,-3.342186e+01,-3.644514e+01,-3.469987e+01,-2.545839e+01,-2.275463e+01,-2.167666e+01,-1.101400e+01,3.186271e+00,1.182533e+01,1.354151e+01,1.058237e+01,5.317101e+00,7.206689e+00
1.073020e+00,-6.683921e-01,2.694766e+00,2.961002e+00,-2.825856e-01,-3.565393e+00,-4.853519e+00,-2.109724e+00,3.566812e+00,8.251293e+00,6.107851e+00,-2.486553e+01,-2.210106e+01,-1.724463e+01,-1.635146e+01,-8.770294e+00,6.240902e+00,3.119928e+01,4.953712e+01,5.612116e+01,5.646014e+01,5.361227e+01,5.410960e+01,5.049052e+01,3.624853e+01,1.575628e+01,4.591199e+00,7.825443e+00,8.500311e+00,7.483984e+00,4.819730e+00,5.153601e+00
-1.540562e+00,-3.377321e-01,2.572131e+00,5.056755e+00,5.170845e+00,-3.360738e+00,-3.748328e+00,-1.426973e+00,8.216881e+00,1.447597e+01,4.986843e+00,-9.448708e+00,-9.842277e-03,5.047585e+00,1.647393e+00,-1.378294e+01,-2.962653e+01,-3.751025e+01,-4.492012e+01,-4.936884e+01,-4.273811e+01,-3.366196e+01,-2.805468e+01,-2.647887e+01,-1.914912e+01,-6.644598e+00,5.525382e+00,9.360315e+00,6.709159e+00,8.403749e+00,8.474966e+00,1.461688e+00
3.639188e+00,5.414850e+00,3.265330e+00,2.039597e+00,2.501444e+00,1.626442e+00,1.126494e+00,1.947621e+00,1.125253e+01,1.451040e+01,4.318411e+00,-1.030203e+01,-1.380955e+01,-1.360731e+01,-1.459229e+01,-1.245415e+01,-4.466984e+00,-2.182052e+00,2.712110e+00,3.863537e+00,6.648835e+00,1.943034e+00,-7.552475e+00,-1.189149e+01,-1.023099e+01,-9.440110e+00,3.761631e+00,1.065698e+01,7.963410e+00,8.824350e+00,8.130286e+00,5.496298e+00
6.382894e+00,7.877262e+00,7.414693e+00,2.636201e+00,6.659405e-01,4.510222e+00,2.011534e+00,7.116298e+00,1.743588e+01,1.422935e+01,7.887414e+00,5.716538e+00,6.800053e+00,-2.274879e+00,-1.042112e+00,1.162850e+01,2.274788e+01,2.343549e+01,1.736340e+01,6.396946e+00,4.453341e+00,3.964590e+00,3.795749e+00,1.941314e+00,2.657118e+00,3.528196e+00,4.432396e+00,8.708467e+00,9.562569e+00,4.711826e+00,4.773426e+00,1.110414e+01
2.097806e+00,-3.851925e-01,2.547885e+00,4.943778e+00,2.752083e+00,4.420098e+00,3.007240e+00,1.021504e+01,1.561801e+01,1.338713e+01,6.522449e+00,-7.117350e-01,1.582760e+00,4.249864e+00,7.928790e+00,1.070632e+01,8.111764e+00,9.668649e+00,8.191710e+00,1.123721e+01,1.104521e+01,7.096109e+00,8.530883e+00,9.470011e+00,7.050879e+00,1.091756e+01,9.678664e+00,6.601097e+00,8.303490e+00,2.685625e+00,5.433691e+00,1.047334e+01
