Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31
-4.420388e+02,-4.199038e+02,-4.196890e+02,-4.206308e+02,-4.208997e+02,-4.074633e+02,-2.176791e+02,-1.289376e+02,-1.001592e+02,-7.959245e+01,-6.320917e+01,-4.508369e+01,-3.312769e+01,-3.817773e+01,-5.376661e+01,-7.316251e+01,-7.585721e+01,-7.086350e+01,-9.179236e+01,-1.317818e+02,-1.740217e+02,-2.249495e+02,-2.904197e+02,-3.574860e+02,-4.108114e+02,-4.201277e+02,-4.167432e+02,-4.274907e+02,-4.316890e+02,-4.285535e+02,-4.349453e+02
6.488861e+01,8.023861e+01,8.173891e+01,8.004777e+01,8.250526e+01,9.169622e+01,1.400801e+02,1.290321e+02,1.109156e+02,1.005981e+02,9.559000e+01,8.736516e+01,7.416452e+01,7.366881e+01,8.529787e+01,8.925262e+01,8.807619e+01,9.097459e+01,9.780805e+01,1.265723e+02,1.507593e+02,1.554059e+02,1.453763e+02,1.192149e+02,8.692224e+01,7.973674e+01,8.164486e+01,7.495628e+01,7.335344e+01,7.552805e+01,6.988622e+01
2.935884e+00,-3.024741e+00,4.293796e-01,-6.319494e-01,3.084023e+00,3.320595e+00,-4.335477e+01,-5.414146e+01,-6.029254e+01,-6.988792e+01,-7.041528e+01,-7.405605e+01,-7.776927e+01,-7.350526e+01,-6.537997e+01,-6.149306e+01,-6.575510e+01,-6.360772e+01,-5.301523e+01,-3.776427e+01,-2.620456e+01,-2.075941e+01,-2.471543e+01,-2.077286e+01,-4.299441e+00,-3.087303e+00,-4.131372e+00,8.372372e-01,2.864183e+00,2.699456e+00,3.649358e+00
-1.409481e+01,-2.002542e+01,-1.624008e+01,-1.466145e+01,-1.526243e+01,-1.226162e+01,2.536733e+01,3.632529e+01,3.679231e+01,3.500193e+01,3.363643e+01,2.479617e+01,2.536816e+01,2.549667e+01,1.883356e+01,1.126501e+01,7.110463e+00,3.273828e+00,-3.349175e+00,-1.392991e+01,-2.729976e+01,-3.353632e+01,-4.143646e+01,-3.418480e+01,-1.970295e+01,-1.820985e+01,-1.736467e+01,-1.285114e+01,-1.413009e+01,-1.291545e+01,-7.627401e+00
4.636890e+00,2.721350e+00,4.443472e+00,6.989649e+00,5.203903e+00,4.955031e+00,-3.085678e+01,-4.248443e+01,-4.803763e+01,-5.281049e+01,-5.684097e+01,-5.682283e+01,-5.497028e+01,-5.293806e+01,-5.404083e+01,-4.443651e+01,-4.026848e+01,-4.255602e+01,-3.508364e+01,-2.478308e+01,-1.345301e+01,-1.221537e+01,-5.645590e+00,3.942706e+00,6.926763e+00,4.136521e+00,7.354141e+00,6.749605e+00,5.004006e+00,8.451048e+00,1.336769e+01
1.576966e+01,9.367025e+00,8.265429e+00,6.818231e+00,7.689291e+00,2.140694e+00,-1.901548e+01,-1.153825e+01,-4.555086e+00,1.960960e+00,8.963108e+00,1.778981e+01,2.829041e+01,3.948669e+01,4.090721e+01,4.814322e+01,6.135001e+01,6.557389e+01,6.906058e+01,5.604787e+01,4.124098e+01,3.295266e+01,2.196877e+01,1.114566e+01,9.796251e+00,5.286390e+00,8.661541e+00,7.058205e+00,8.646270e+00,1.261751e+01,1.350513e+01
1.216424e+01,8.008219e+00,6.800313e+00,1.069724e-01,6.563642e-01,-1.235882e+00,-3.305073e+00,-9.952067e+00,-8.769979e+00,-1.109964e+01,-1.985262e+01,-3.256294e+01,-3.573362e+01,-3.584191e+01,-4.475596e+01,-4.574091e+01,-4.503372e+01,-4.750877e+01,-4.355470e+01,-3.909615e+01,-2.948577e+01,-1.425630e+01,-4.434891e+00,-3.000230e-01,1.194358e-02,3.828889e-01,3.195351e+00,1.321413e+00,1.401505e+00,2.883205e+00,1.468933e+00
7.441026e+00,1.277006e+01,1.418657e+01,7.552111e+00,7.344450e+00,1.035098e+01,-2.209933e+00,5.061987e+00,7.957286e+00,6.841581e+00,1.151000e+01,1.788963e+01,2.108710e+01,2.473286e+01,2.676034e+01,3.133235e+01,2.809978e+01,2.066404e+01,1.683011e+01,9.963692e+00,7.793083e+00,4.142045e+00,-4.102625e+00,-3.687403e-01,2.562210e+00,8.968599e+00,1.032238e+01,8.242785e+00,6.212244e+00,3.577036e+00,4.137073e+00
4.333510e+00,9.304630e+00,1.253902e+01,1.025676e+01,1.255198e+01,1.521041e+01,2.012676e+01,1.402951e+01,8.453520e+00,4.732223e+00,5.470075e+00,8.022238e+00,9.822724e+00,8.100812e+00,7.645254e+00,9.587218e+00,8.331223e+00,4.447517e+00,2.466059e-01,-4.876390e+00,-6.588590e+00,-1.464645e+00,-5.879405e-01,8.740294e+00,9.242300e+00,9.718124e+00,8.586502e+00,9.118121e+00,1.230426e+01,9.524216e+00,1.159303e+01
3.695285e-01,-2.390726e+00,9.320465e-01,6.054044e-03,3.910817e+00,3.635029e+00,-2.963083e+00,2.532762e+00,5.246743e+00,7.572337e+00,3.840487e+00,1.297834e-01,1.378152e+00,2.072114e+00,5.209348e+00,6.442881e+00,7.973979e+00,1.083831e+01,1.190573e+01,9.695610e+00,8.618833e+00,5.289448e+00,8.856289e+00,1.500130e+01,9.978184e+00,-1.648780e+00,-5.360229e+00,-3.528237e+00,5.273655e+00,6.316959e+00,6.706505e+00
