Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36
-5.253813e+02,-5.253813e+02,-5.253813e+02,-5.253813e+02,-5.253813e+02,-5.253813e+02,-5.253813e+02,-5.182659e+02,-3.977395e+02,-3.069968e+02,-2.440465e+02,-1.584280e+02,-9.205794e+01,-7.437755e+01,-9.324714e+01,-1.281665e+02,-1.238762e+02,-1.350832e+02,-1.707870e+02,-2.283693e+02,-2.986924e+02,-3.659011e+02,-4.180548e+02,-4.761332e+02,-5.162823e+02,-5.253813e+02,-5.253813e+02,-5.253813e+02,-5.253813e+02,-5.253813e+02,-5.253813e+02,-5.253813e+02,-5.253813e+02,-5.253813e+02,-5.253813e+02,-5.253813e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.845371e+00,1.105136e+02,1.499937e+02,1.555891e+02,1.512262e+02,1.428163e+02,1.375009e+02,1.238473e+02,1.282777e+02,1.607124e+02,2.014629e+02,2.152578e+02,2.150789e+02,1.988087e+02,1.585603e+02,1.151171e+02,5.908652e+01,1.209900e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.203676e+00,7.052949e+00,-4.548142e+01,-8.617365e+01,-1.020942e+02,-9.794624e+01,-1.014665e+02,-1.018825e+02,-9.426414e+01,-9.709309e+01,-8.794305e+01,-5.772732e+01,-2.473214e+01,6.419704e+00,2.488119e+01,3.679338e+01,3.436266e+01,1.022781e+01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.168804e+00,-9.318645e+00,-1.814019e+01,-3.997134e+00,-3.723229e+00,-1.835310e+01,-2.077819e+01,-5.667557e+00,-1.111089e+01,-3.274390e+01,-4.628593e+01,-5.446347e+01,-6.397967e+01,-7.282058e+01,-5.590084e+01,-2.181588e+01,1.041296e+01,8.136040e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.790732e+00,5.475021e+00,2.716418e+01,2.830976e+01,1.662826e+01,1.782591e+01,8.683863e+00,-8.461672e+00,-2.882730e+01,-5.369589e+01,-7.345160e+01,-7.797456e+01,-6.849522e+01,-5.731013e+01,-4.554440e+01,-3.025154e+01,-1.933706e+00,6.346946e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.135646e+00,-1.871482e+01,-3.272683e+01,-4.185390e+01,-3.288860e+01,-3.416911e+01,-3.525098e+01,-2.941268e+01,-8.926338e+00,-5.049266e+00,-1.004389e+01,-1.749947e+01,-1.774236e+01,-4.074267e+00,-2.721905e+00,-8.356637e+00,-2.946726e+00,4.709296e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.282434e+00,-4.059994e+01,-5.341299e+01,-4.593748e+01,-4.851170e+01,-5.606947e+01,-5.375661e+01,-4.370141e+01,-1.733410e+01,2.304344e+00,6.661850e+00,1.298970e+01,9.489584e+00,9.991302e+00,1.060082e+01,7.416998e+00,-4.882505e-01,2.849575e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.318514e+00,-2.861934e+01,-2.116142e+01,-2.531099e+01,-1.431119e+01,-9.185990e+00,-1.420853e+01,-1.857759e+01,-2.612691e+01,-2.889943e+01,-3.867787e+01,-3.842268e+01,-3.053453e+01,-2.428592e+01,-6.963684e+00,2.750129e+00,-1.103206e+00,7.985551e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.647303e-01,-1.217142e+01,-2.150472e+01,-2.007527e+01,-1.660474e+01,-1.340724e+01,-1.002278e+01,-8.306244e+00,-1.607217e+01,-3.078984e+01,-2.876858e+01,-3.000741e+01,-3.306501e+01,-3.564210e+01,-2.237064e+01,-1.057887e+01,-4.912760e+00,-9.488890e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.576653e+00,-4.657540e+00,-2.062278e+01,-1.614205e+01,-9.862848e+00,-1.247745e+01,-9.197590e+00,1.262958e+00,1.317180e+01,2.917995e+00,-8.551291e+00,-9.290687e+00,-1.352417e+01,-1.617707e+01,-1.922554e+01,-1.661946e+01,-7.984935e+00,-1.968637e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
