Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27
-4.761188e+02,-4.675870e+02,-4.659004e+02,-4.636258e+02,-4.283353e+02,-3.764000e+02,-3.552580e+02,-3.350456e+02,-2.794926e+02,-1.977492e+02,-1.252385e+02,-8.314313e+01,-7.648204e+01,-9.804070e+01,-8.044655e+01,-6.528601e+01,-8.045670e+01,-1.274478e+02,-1.900795e+02,-2.503233e+02,-3.032647e+02,-3.448392e+02,-4.016117e+02,-4.566457e+02,-4.694972e+02,-4.706464e+02,-4.700648e+02
2.727990e+01,3.584101e+01,3.845772e+01,4.139260e+01,8.471193e+01,1.357830e+02,1.551776e+02,1.604839e+02,1.680282e+02,1.521308e+02,1.122245e+02,7.607942e+01,5.622102e+01,5.701012e+01,5.984950e+01,8.440344e+01,1.156727e+02,1.468289e+02,1.722059e+02,1.836762e+02,1.811235e+02,1.560544e+02,1.030729e+02,4.816519e+01,3.467850e+01,3.324850e+01,3.395981e+01
1.995546e+01,2.113584e+01,2.407684e+01,2.585069e+01,5.323680e+01,6.250164e+01,6.229803e+01,4.121676e+01,1.547966e+01,1.049886e+00,-1.104607e+01,-2.113980e+01,-1.982093e+01,-8.684173e+00,-1.847583e+01,-3.823052e+01,-3.969365e+01,-3.260623e+01,-1.490839e+01,7.691453e+00,3.256356e+01,4.213917e+01,3.662599e+01,2.649307e+01,2.306816e+01,2.263809e+01,2.331222e+01
1.345673e+01,9.522861e+00,1.194018e+01,1.174220e+01,2.214235e+01,9.623324e+00,2.509269e-01,-1.512130e+01,-3.527052e+01,-4.816124e+01,-4.297662e+01,-3.524044e+01,-3.921869e+01,-4.561469e+01,-4.397102e+01,-5.405956e+01,-6.074719e+01,-5.752303e+01,-4.946185e+01,-4.321648e+01,-3.661967e+01,-2.355284e+01,-5.911524e+00,9.123621e+00,1.325854e+01,1.464674e+01,1.566028e+01
1.083966e+01,7.249275e+00,7.838664e+00,6.169837e+00,4.604998e+00,-2.767108e+00,-8.154955e+00,-8.486746e+00,-1.842180e+01,-3.979828e+01,-3.194029e+01,-2.867650e+01,-2.646791e+01,-2.389441e+01,-2.592808e+01,-3.113845e+01,-3.964711e+01,-4.577260e+01,-3.643498e+01,-2.085756e+01,-1.287513e+01,-1.401722e+01,-5.289301e+00,5.286563e+00,1.043608e+01,1.277521e+01,1.404421e+01
1.100917e+01,1.133195e+01,1.010167e+01,8.591141e+00,-4.234535e-02,5.545609e+00,7.532866e+00,1.283837e+01,3.264504e+01,5.958597e+01,5.903395e+01,5.277407e+01,5.108834e+01,5.094952e+01,5.711617e+01,5.624570e+01,5.426185e+01,4.934642e+01,4.325634e+01,2.841350e+01,1.756092e+01,1.259645e+01,1.068742e+01,1.096408e+01,1.319985e+01,1.396895e+01,1.463982e+01
1.049789e+01,1.436193e+01,1.339898e+01,1.316740e+01,-1.671900e+00,8.104731e+00,1.689477e+01,2.039898e+01,1.624644e+01,-6.728466e+00,-2.476068e+01,-3.329092e+01,-3.179284e+01,-2.717979e+01,-2.610230e+01,-3.222253e+01,-3.731447e+01,-3.558807e+01,-2.887207e+01,-1.452125e+01,-1.460392e-01,9.601665e+00,1.311256e+01,1.582016e+01,1.613084e+01,1.407069e+01,1.342632e+01
7.136031e+00,1.190148e+01,1.332146e+01,1.420315e+01,-7.975738e+00,-3.567796e+00,9.907162e+00,1.243647e+01,-4.203992e-01,5.525053e-02,1.242620e+00,8.214912e+00,1.071961e+01,1.745198e+01,1.719081e+01,1.820072e+01,1.573888e+01,1.482723e+01,1.264513e+00,-1.024980e+01,-6.788110e+00,-3.811797e+00,3.539081e+00,1.379513e+01,1.477393e+01,1.216053e+01,1.070326e+01
1.882329e+00,5.022083e+00,8.463198e+00,9.714452e+00,-1.771040e+01,-2.019218e+01,-8.722499e+00,-9.341572e+00,-1.530597e+01,-5.607848e+00,-1.788623e+00,5.134424e+00,1.043682e+01,1.566010e+01,1.455443e+01,9.454154e+00,5.135588e+00,6.918815e+00,1.082711e+01,7.653584e+00,-1.655506e+00,-5.362576e+00,-2.815856e+00,6.460747e+00,8.503885e+00,9.118084e+00,8.287654e+00
-2.595220e+00,-2.455112e+00,6.345792e-01,1.722526e+00,-2.360933e+01,-2.994337e+01,-2.432498e+01,-2.445242e+01,-1.208271e+01,2.790496e+00,1.514009e+01,2.078521e+01,1.997519e+01,1.757472e+01,1.742234e+01,2.149476e+01,2.203464e+01,1.724626e+01,1.018018e+01,1.150776e+01,9.138319e+00,3.466684e+00,-4.070658e+00,-1.332981e+00,1.260024e-01,4.827991e+00,5.476953e+00
