Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32
-5.128907e+02,-5.128907e+02,-5.128907e+02,-5.128907e+02,-5.128907e+02,-5.126681e+02,-4.773040e+02,-4.308559e+02,-4.122970e+02,-4.194694e+02,-3.572881e+02,-2.356536e+02,-1.899698e+02,-1.900559e+02,-1.752009e+02,-1.503560e+02,-1.480497e+02,-1.673810e+02,-2.106390e+02,-2.701671e+02,-3.282534e+02,-3.766925e+02,-4.189160e+02,-4.680449e+02,-5.008489e+02,-5.127903e+02,-5.122611e+02,-5.117151e+02,-5.128907e+02,-5.128907e+02,-5.128907e+02,-5.128907e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,3.098295e-01,4.705572e+01,9.368120e+01,1.048221e+02,9.125864e+01,9.892326e+01,1.629126e+02,1.748203e+02,1.526892e+02,1.450893e+02,1.652802e+02,1.833756e+02,1.878343e+02,1.926816e+02,1.915690e+02,1.810404e+02,1.475910e+02,1.073822e+02,5.642122e+01,1.592377e+01,1.390425e-01,8.658296e-01,1.617538e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.949080e-01,3.822483e+01,4.899848e+01,4.049350e+01,3.278579e+01,-6.536507e+00,-4.815652e+01,-5.979341e+01,-5.405479e+01,-5.897045e+01,-6.532204e+01,-5.723724e+01,-5.056370e+01,-3.544418e+01,-1.093899e+00,3.512703e+01,4.909169e+01,4.907360e+01,3.888861e+01,1.286590e+01,1.303439e-01,7.935928e-01,1.484927e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.705753e-01,2.626697e+01,1.733465e+01,1.162762e+01,1.625640e+01,2.847005e+01,-1.011140e+01,-2.421272e+01,-2.410374e+01,-1.379781e+01,-2.198682e+01,-3.212567e+01,-3.692542e+01,-4.597604e+01,-5.636636e+01,-5.428405e+01,-2.957711e+01,-3.123251e+00,1.885638e+01,8.561674e+00,1.162506e-01,6.777269e-01,1.272142e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.376173e-01,1.387911e+01,4.400548e+00,6.248645e+00,7.418892e+00,1.202723e+01,-1.829663e+01,-4.696766e+01,-7.764016e+01,-8.819968e+01,-9.148732e+01,-9.592290e+01,-8.740114e+01,-7.425285e+01,-6.554050e+01,-6.370864e+01,-4.692102e+01,-2.209576e+01,3.677670e+00,3.961762e+00,9.735110e-02,5.247514e-01,9.910313e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.970985e-01,2.975953e+00,-4.420590e+00,-7.329567e+00,-9.977983e+00,-1.509142e+01,-1.559609e+01,-1.314327e+01,-2.488655e+00,-8.003612e-01,-3.177980e+00,-5.869512e+00,-8.028522e+00,-1.774863e+01,-1.736312e+01,-2.365163e+01,-2.127494e+01,-1.155171e+01,-4.049173e+00,-1.915038e-03,7.443461e-02,3.432633e-01,6.572309e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.503269e-01,-5.613734e+00,-1.293771e+01,-1.798490e+01,-1.363652e+01,-3.931040e+00,-3.491503e+00,-7.206779e+00,-3.949176e+00,4.495922e+00,7.491295e+00,1.012646e+01,1.180991e+01,1.072152e+01,5.296922e+00,1.712588e+00,2.411636e+00,3.792821e+00,-6.572364e+00,-2.662701e+00,4.845744e-02,1.434434e-01,2.892583e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.881154e-02,-1.174465e+01,-1.573477e+01,-1.251723e+01,-5.399750e+00,-1.052403e+01,-1.523882e+01,-2.068777e+01,-2.433230e+01,-2.668336e+01,-2.871698e+01,-3.050737e+01,-3.078426e+01,-3.104855e+01,-2.553884e+01,-9.050367e+00,7.942417e-01,4.105065e+00,-7.690373e+00,-3.775127e+00,2.050307e-02,-6.352661e-02,-9.253185e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.421303e-02,-1.541126e+01,-1.577680e+01,-8.159630e+00,-3.112083e+00,-1.285107e+01,-1.263595e+01,-1.404092e+01,-1.697579e+01,-2.069659e+01,-2.092356e+01,-2.117355e+01,-2.039516e+01,-2.169183e+01,-2.212559e+01,-1.899145e+01,-1.522653e+01,-9.497762e+00,-9.253893e+00,-3.538023e+00,-8.263506e-03,-2.661012e-01,-4.671133e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.171026e-02,-1.661045e+01,-1.938837e+01,-1.534037e+01,-9.706654e+00,-1.613378e+01,-2.983157e+01,-3.063543e+01,-2.672287e+01,-2.035535e+01,-1.953158e+01,-2.069269e+01,-1.805103e+01,-1.689169e+01,-1.287336e+01,-1.737823e+01,-2.427379e+01,-2.146136e+01,-1.031711e+01,-2.485840e+00,-3.664466e-02,-4.530363e-01,-8.139665e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.715944e-02,-1.565684e+01,-2.295640e+01,-2.094695e+01,-1.474548e+01,-2.108615e+01,-2.650635e+01,-2.012940e+01,-4.011841e+00,1.319582e+01,1.076628e+01,3.960231e+00,-5.065944e-01,-1.070238e+01,-1.430758e+01,-1.554264e+01,-1.913174e+01,-2.028346e+01,-9.111626e+00,-1.290655e+00,-6.346041e-02,-6.140126e-01,-1.114250e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.203537e-01,-1.349526e+01,-1.941087e+01,-1.676078e+01,-1.403456e+01,-1.625763e+01,-2.348836e+01,-2.754510e+01,-2.052518e+01,-1.116196e+01,-1.385813e+01,-1.162922e+01,-6.149894e+00,-3.195053e+00,-3.027053e+00,-7.688725e+00,-8.336161e+00,-9.062454e+00,-5.554002e+00,-5.428023e-01,-8.759783e-02,-7.402312e-01,-1.351840e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.695880e-01,-1.151816e+01,-1.098548e+01,-9.097287e+00,-9.492787e+00,-1.498616e+01,-2.397719e+01,-1.436602e+01,-4.393563e-01,2.980568e+00,2.878713e-01,5.615870e+00,1.034330e+01,4.872722e+00,7.457545e+00,1.560323e+00,-2.339995e+00,2.168589e-01,-1.858211e+00,-5.804955e-01,-1.080577e-01,-8.248984e-01,-1.514226e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
