Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41
-5.261125e+02,-5.124471e+02,-5.066313e+02,-5.070289e+02,-5.080284e+02,-4.067336e+02,-2.756702e+02,-2.103398e+02,-1.762754e+02,-1.652527e+02,-1.574631e+02,-1.089031e+02,-9.625122e+01,-8.127318e+01,-6.623227e+01,-9.782236e+01,-1.313643e+02,-1.394044e+02,-1.451122e+02,-1.496452e+02,-1.553295e+02,-1.486755e+02,-1.315426e+02,-1.229447e+02,-1.092374e+02,-8.837881e+01,-7.240575e+01,-7.535201e+01,-8.287909e+01,-8.242146e+01,-7.479897e+01,-9.239416e+01,-1.597477e+02,-2.588206e+02,-3.587620e+02,-4.214492e+02,-4.631378e+02,-4.772917e+02,-4.784550e+02,-4.782276e+02,-4.852941e+02
3.806563e+01,4.929792e+01,5.298200e+01,5.398203e+01,5.353023e+01,-5.035924e-02,-5.873357e+01,-7.711874e+01,-9.509142e+01,-1.115062e+02,-1.061661e+02,-4.108652e+01,1.228377e+01,3.707079e+01,3.667155e+01,3.818478e+01,4.634437e+01,4.732387e+01,5.173604e+01,5.081705e+01,4.871892e+01,4.400106e+01,3.450787e+01,3.482500e+01,4.025129e+01,4.395924e+01,3.851706e+01,2.984314e+01,3.067987e+01,3.548777e+01,4.881957e+01,7.153165e+01,9.209315e+01,1.189366e+02,1.260037e+02,9.778078e+01,6.506078e+01,5.498750e+01,5.444954e+01,5.423174e+01,5.127442e+01
1.918838e+01,1.699413e+01,1.302614e+01,1.572273e+01,1.604089e+01,5.133830e+00,2.028300e+01,3.895227e+01,5.343054e+01,6.310267e+01,7.155342e+01,6.820344e+01,2.626262e+01,-3.175485e+01,-3.867751e+01,-1.923180e+01,-5.268885e+00,-1.664364e+00,3.092825e+00,2.280029e+00,7.850726e-01,-2.316354e+00,-1.427594e+01,-1.306909e+01,-1.927748e+01,-2.586394e+01,-3.662493e+01,-3.641076e+01,-2.984154e+01,-3.737390e+01,-5.561494e+01,-6.673481e+01,-5.609633e+01,-3.662546e+01,-2.279095e+01,-5.214611e+00,-2.196526e+00,-5.905715e-01,1.763883e+00,3.036041e+00,4.950360e+00
6.256905e+00,6.110173e-01,-4.100006e+00,-3.319229e+00,-4.161779e+00,2.164196e+01,3.534205e+01,3.089645e+01,2.299506e+01,2.015770e+01,1.543095e+01,4.813180e+00,1.419289e+00,-8.635571e+00,-2.490438e+01,-3.107810e+01,-3.814267e+01,-4.051041e+01,-4.422018e+01,-4.769962e+01,-4.582632e+01,-4.453715e+01,-4.226482e+01,-3.335444e+01,-3.249010e+01,-3.351643e+01,-3.381642e+01,-2.865094e+01,-2.440311e+01,-2.684624e+01,-3.127479e+01,-3.354106e+01,-3.135855e+01,-2.907655e+01,-1.875578e+01,-1.103386e+01,-2.056560e+00,1.232576e+00,3.817602e+00,8.399115e+00,1.308833e+01
5.182498e+00,4.604755e+00,5.954878e+00,3.111505e+00,2.202717e+00,6.752080e-02,-1.354899e+01,-1.372735e+01,-1.520619e+01,-1.973981e+01,-2.394845e+01,-3.116274e+01,-2.978871e+01,-3.021229e+01,-2.967856e+01,-2.047736e+01,-7.306157e+00,-4.463222e+00,-8.792027e+00,-5.349273e+00,1.705818e-01,-4.772143e+00,-1.144783e+01,-9.703502e+00,-6.862447e+00,-1.019005e+01,-1.474712e+01,-1.531910e+01,-1.700224e+01,-1.850408e+01,-1.834970e+01,-1.262883e+01,-4.545064e-01,4.325879e+00,-2.655271e+00,-1.464503e+01,-9.234922e+00,-1.963445e+00,-2.832376e+00,-2.769846e+00,6.032051e+00
9.913867e+00,1.261133e+01,1.677789e+01,1.279179e+01,1.531402e+01,1.039198e+01,1.778077e+01,2.094099e+01,2.108774e+01,1.857177e+01,1.969561e+01,7.182899e+00,-1.663443e+00,1.247845e+01,1.936023e+01,3.521762e+01,4.731306e+01,4.755394e+01,3.984232e+01,4.331863e+01,4.471780e+01,4.368903e+01,4.431862e+01,4.731752e+01,4.839006e+01,4.545986e+01,4.887204e+01,4.969347e+01,4.351426e+01,4.300841e+01,4.489371e+01,4.387951e+01,3.937263e+01,2.642906e+01,9.581041e+00,1.024519e+01,1.317230e+01,1.599500e+01,1.742493e+01,1.395844e+01,1.390477e+01
1.256386e+01,1.393236e+01,1.409056e+01,1.138423e+01,1.715060e+01,1.092369e+01,3.857533e+00,8.446545e+00,7.018106e+00,8.684032e+00,7.172943e+00,-4.883416e+00,-8.479111e+00,-1.795494e+01,-2.331208e+01,-2.676307e+01,-2.809111e+01,-2.964774e+01,-3.420321e+01,-3.995946e+01,-4.068441e+01,-4.028956e+01,-4.116159e+01,-3.492962e+01,-3.278759e+01,-3.270552e+01,-2.963327e+01,-3.185365e+01,-3.300216e+01,-3.188441e+01,-3.175066e+01,-2.998989e+01,-2.627203e+01,-1.452904e+01,5.106753e+00,1.759233e+01,1.904054e+01,2.041697e+01,2.240017e+01,1.945127e+01,1.844397e+01
1.084003e+01,1.007469e+01,7.146410e+00,5.210695e+00,9.562634e+00,9.889202e+00,1.219798e+01,1.237845e+01,3.992701e+00,1.078676e-01,-9.016495e+00,-1.747014e+01,2.255584e+00,3.089129e+01,3.982166e+01,4.155405e+01,4.216688e+01,4.570535e+01,4.525226e+01,4.156110e+01,4.033524e+01,4.381155e+01,4.417670e+01,4.214912e+01,4.105989e+01,4.576778e+01,5.097942e+01,5.187850e+01,4.788706e+01,4.601176e+01,4.824942e+01,4.688901e+01,4.332502e+01,3.242593e+01,4.201790e+00,-4.054734e+00,-3.087414e+00,-2.065225e+00,-4.738153e+00,-8.509989e+00,-1.135515e+00
7.025561e+00,5.855411e+00,4.453881e+00,2.317756e+00,2.648171e+00,1.366437e+01,1.204516e+01,8.126741e+00,4.403227e+00,5.323678e+00,-8.424029e+00,-2.326075e+01,-2.090718e+01,-1.825427e+01,-1.106548e+01,-8.309322e+00,-7.871439e+00,-1.396373e+01,-1.678051e+01,-1.739848e+01,-2.023109e+01,-2.002033e+01,-1.906913e+01,-1.296962e+01,-1.409009e+01,-1.339227e+01,-1.302278e+01,-1.492782e+01,-1.606744e+01,-1.502766e+01,-1.960755e+01,-2.213889e+01,-2.160088e+01,-9.145477e+00,8.386682e+00,1.437146e+01,1.007054e+01,4.481792e+00,4.172525e-01,-5.651877e+00,-1.999420e+00
3.448199e+00,3.200041e+00,2.250386e+00,5.939627e-01,-3.036589e-01,-1.692628e+01,-1.465384e+01,-1.251437e+01,-5.147813e+00,2.306433e+00,-4.055122e+00,-3.269721e+00,-1.860929e+00,4.623774e+00,1.969005e-01,2.967168e+00,6.943635e+00,4.943592e+00,5.031106e+00,5.836022e+00,1.011200e+01,9.017509e+00,7.388232e+00,8.088758e+00,7.046992e+00,7.959869e+00,9.243436e+00,6.089787e+00,6.942730e+00,9.624777e+00,3.564464e+00,-2.757884e+00,-5.165268e+00,-7.063012e+00,-2.216508e+00,5.444729e+00,6.059961e+00,8.343714e-01,4.098131e-01,-1.350882e+00,9.921459e-01
