Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39
-5.066315e+02,-4.954987e+02,-4.972668e+02,-4.711321e+02,-3.499254e+02,-2.763807e+02,-2.464383e+02,-2.331151e+02,-1.806332e+02,-1.139697e+02,-9.240247e+01,-6.361180e+01,-6.035528e+01,-9.622131e+01,-1.406964e+02,-1.734304e+02,-1.822968e+02,-1.761937e+02,-1.752597e+02,-1.713817e+02,-1.643247e+02,-1.602503e+02,-1.478453e+02,-1.297433e+02,-1.182908e+02,-1.117757e+02,-1.104926e+02,-1.120639e+02,-1.543759e+02,-2.523677e+02,-3.489986e+02,-4.086309e+02,-4.512617e+02,-4.813932e+02,-4.934940e+02,-4.917556e+02,-4.895987e+02,-4.934087e+02,-4.943262e+02
2.904556e+01,3.843812e+01,3.628299e+01,2.801716e+01,-2.783397e+01,-5.536842e+01,-8.222852e+01,-9.251404e+01,-6.722315e+01,-2.086929e+01,2.383009e+01,3.988392e+01,4.206799e+01,4.780986e+01,5.604615e+01,6.440186e+01,7.498870e+01,6.947431e+01,6.251942e+01,6.036836e+01,5.797301e+01,5.971584e+01,6.103523e+01,6.001960e+01,5.879320e+01,5.368230e+01,5.980969e+01,8.005723e+01,9.660605e+01,1.153634e+02,1.211834e+02,9.850343e+01,6.878748e+01,4.806003e+01,3.922226e+01,4.079684e+01,4.277739e+01,4.219064e+01,4.211039e+01
1.459984e+01,1.227914e+01,1.140412e+01,2.062769e+01,4.388075e+01,6.182737e+01,7.039768e+01,6.940271e+01,7.608743e+01,4.770837e+01,-8.455378e+00,-5.907157e+01,-5.752174e+01,-3.229700e+01,-1.881644e+01,-8.740518e+00,-6.709068e+00,-1.154195e+01,-1.348080e+01,-1.057286e+01,-8.943897e+00,-1.189822e+01,-1.845594e+01,-2.961132e+01,-3.955880e+01,-4.554412e+01,-5.875603e+01,-7.917439e+01,-7.067444e+01,-4.018863e+01,-2.356898e+01,-2.014071e+01,-6.778116e+00,6.671920e+00,1.115037e+01,1.081290e+01,1.156670e+01,1.833627e+01,1.988074e+01
5.937056e+00,-1.125575e+00,-6.682694e-02,4.225749e+00,1.219709e+01,9.093784e+00,8.213194e+00,9.856151e+00,1.244096e+01,5.990166e+00,-7.281145e-01,-9.848234e+00,-2.319242e+01,-1.993079e+01,-2.261208e+01,-2.242707e+01,-3.152418e+01,-3.581385e+01,-3.425859e+01,-3.024178e+01,-3.015961e+01,-3.080916e+01,-3.269959e+01,-2.923501e+01,-2.235019e+01,-1.691183e+01,-2.410298e+01,-2.931860e+01,-3.425604e+01,-3.870348e+01,-4.115435e+01,-4.033475e+01,-2.475168e+01,-7.241230e+00,-4.070388e-01,-1.141360e+00,9.550656e-02,6.423265e+00,7.615386e+00
7.525857e+00,4.617973e+00,6.752907e+00,-6.755590e+00,-3.268485e+01,-3.309071e+01,-2.778525e+01,-3.417516e+01,-4.482420e+01,-3.707702e+01,-2.944997e+01,-3.458898e+01,-2.991339e+01,-2.152712e+01,-1.285395e+01,-1.026426e+01,-8.845210e+00,-1.339127e+01,-8.167967e+00,-7.535002e+00,-1.359327e+01,-1.806866e+01,-1.830626e+01,-1.408005e+01,-1.096666e+01,-1.378624e+01,-1.375999e+01,-1.025555e+01,-5.738956e+00,-2.125806e+00,4.277340e+00,9.704845e-01,3.811133e+00,5.761028e+00,6.283851e+00,8.359026e+00,1.012096e+01,9.441269e+00,9.258397e+00
1.255966e+01,1.405056e+01,1.546473e+01,3.264181e+01,5.102012e+01,4.614979e+01,4.516718e+01,4.450106e+01,2.775665e+01,1.596260e+01,8.652412e+00,2.676125e+01,3.459857e+01,4.256133e+01,4.450858e+01,4.457270e+01,4.876199e+01,5.569351e+01,6.206334e+01,5.810924e+01,5.504392e+01,5.912026e+01,6.335558e+01,6.210708e+01,6.322666e+01,6.193375e+01,5.793398e+01,5.469320e+01,5.082846e+01,3.940514e+01,2.079803e+01,1.143478e+01,1.739099e+01,1.607012e+01,1.253213e+01,1.767726e+01,1.925532e+01,1.413427e+01,1.304922e+01
1.339937e+01,1.360928e+01,1.355437e+01,5.977401e+00,3.784912e+00,6.439692e+00,1.088063e+01,1.278236e+01,3.482860e+00,-1.125874e+00,-1.015805e+01,-2.358920e+01,-2.940705e+01,-3.993851e+01,-4.264686e+01,-4.608865e+01,-5.545325e+01,-6.263366e+01,-5.717877e+01,-5.250417e+01,-5.274319e+01,-5.285803e+01,-4.835413e+01,-5.026756e+01,-4.986688e+01,-4.816675e+01,-4.212331e+01,-3.343436e+01,-2.970860e+01,-2.127364e+01,-6.163610e+00,3.280182e-01,1.019563e+01,1.323229e+01,8.959805e+00,1.381656e+01,1.669149e+01,1.314392e+01,1.138275e+01
1.012387e+01,7.014607e+00,5.916109e+00,7.333292e+00,9.280091e+00,1.840965e+00,-5.803637e+00,-1.218578e+00,-1.155668e+01,-9.673653e+00,9.864148e+00,3.642553e+01,4.431725e+01,4.463078e+01,4.344688e+01,4.047305e+01,3.712966e+01,3.654198e+01,4.024049e+01,4.353105e+01,4.091267e+01,3.910097e+01,4.641664e+01,5.035377e+01,4.834313e+01,4.853674e+01,4.734896e+01,4.680760e+01,4.367310e+01,3.039892e+01,1.423461e+01,7.980978e+00,1.335434e+01,7.891088e+00,2.251866e+00,4.965633e+00,1.012113e+01,9.975426e+00,7.952475e+00
7.267760e+00,4.373631e+00,1.936972e+00,7.570933e+00,9.793599e+00,5.818167e+00,4.170416e+00,8.725069e+00,-1.522148e+01,-2.237700e+01,-8.880529e+00,-5.131966e+00,-1.100469e+00,-1.894524e+00,-3.564907e-01,-1.330663e+00,-1.049147e+01,-1.625300e+01,-2.022155e+01,-2.035634e+01,-2.279785e+01,-2.507504e+01,-2.813918e+01,-2.357116e+01,-1.840372e+01,-1.567410e+01,-1.882985e+01,-2.052182e+01,-1.943457e+01,-1.297939e+01,2.436552e+00,1.854096e+01,2.228654e+01,5.889330e+00,4.609468e-01,1.959915e+00,6.302284e+00,7.902094e+00,6.939539e+00
6.063536e+00,5.932801e+00,1.063889e+00,-8.073271e+00,1.096712e+00,-2.654089e+00,-2.551973e-02,6.499341e+00,-2.521881e+00,-2.228689e+00,2.912853e+00,1.017396e+01,8.137833e+00,5.635827e+00,5.693511e+00,6.903704e+00,1.120744e+01,1.487521e+01,1.610728e+01,2.038930e+01,2.372186e+01,2.374623e+01,2.204950e+01,2.206345e+01,2.369178e+01,2.087050e+01,1.565397e+01,8.719140e+00,4.361930e+00,-1.091918e+00,-5.730286e-01,9.569799e+00,1.371637e+01,3.822885e+00,2.599576e+00,3.061434e+00,3.444110e+00,5.366544e+00,6.082167e+00
