Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30
-5.178590e+02,-5.032555e+02,-5.020779e+02,-5.008205e+02,-4.943232e+02,-4.335340e+02,-3.287445e+02,-2.539296e+02,-2.122067e+02,-1.758051e+02,-1.315656e+02,-9.995184e+01,-8.621835e+01,-6.991565e+01,-6.043863e+01,-9.235566e+01,-1.571854e+02,-2.501205e+02,-3.485315e+02,-4.237014e+02,-4.787918e+02,-4.950120e+02,-4.906891e+02,-4.877427e+02,-4.862488e+02,-4.914805e+02,-4.955562e+02,-4.972342e+02,-4.972623e+02,-5.117427e+02
5.491196e+01,6.770540e+01,6.771114e+01,6.812757e+01,7.330171e+01,4.370785e+01,1.677668e+01,-5.455211e+00,-1.392891e+01,-8.151573e-01,4.219771e+01,5.918796e+01,5.715842e+01,7.583182e+01,1.031036e+02,1.284843e+02,1.479657e+02,1.667644e+02,1.754386e+02,1.319942e+02,8.557925e+01,7.357073e+01,7.399583e+01,7.493756e+01,7.512353e+01,7.402924e+01,7.287255e+01,7.136401e+01,7.101398e+01,5.819132e+01
1.871574e+01,1.971514e+01,1.760706e+01,1.590541e+01,1.482899e+01,1.733316e+01,1.950738e+01,1.437463e+01,-3.455199e-02,-2.029366e-01,-1.039159e+01,-3.389465e+01,-4.443653e+01,-5.612070e+01,-5.951460e+01,-4.368070e+01,-2.534021e+01,-6.244765e+00,1.138504e+00,5.148737e+00,1.145505e+01,1.843298e+01,1.783252e+01,1.855278e+01,1.304651e+01,1.615343e+01,2.066208e+01,1.783322e+01,1.803803e+01,1.668443e+01
1.817181e+00,1.580555e+00,-1.161337e-01,-2.730939e+00,-5.233481e+00,-8.132103e+00,1.699898e+01,3.940228e+01,4.005273e+01,4.114740e+01,3.333461e+01,3.027034e+01,1.185611e+01,-2.274761e+01,-4.801123e+01,-5.893985e+01,-5.758162e+01,-4.897658e+01,-4.388906e+01,-3.278974e+01,-1.117035e+01,1.075015e+00,2.930301e+00,4.297749e+00,-1.855751e+00,6.332095e-01,5.315451e+00,-1.590163e-01,-1.252606e+00,1.541838e+00
9.439472e+00,1.303686e+01,1.244736e+01,9.208807e+00,8.531410e+00,6.909653e+00,-1.310968e+01,-3.186705e+01,-3.647833e+01,-3.585298e+01,-3.315599e+01,-3.994590e+01,-4.297886e+01,-4.023382e+01,-4.299851e+01,-4.803285e+01,-4.095641e+01,-1.685995e+01,-1.383323e-01,3.859445e+00,1.019095e+01,1.284403e+01,1.084089e+01,9.370573e+00,1.012976e+01,1.477473e+01,1.675867e+01,1.082031e+01,7.660388e+00,1.136550e+01
1.775740e+01,1.996716e+01,1.952961e+01,1.628428e+01,1.710113e+01,4.296691e+01,5.739874e+01,5.102978e+01,5.064404e+01,4.567963e+01,3.633004e+01,4.488354e+01,6.066977e+01,7.558769e+01,8.431804e+01,8.587336e+01,8.039857e+01,6.419534e+01,3.523030e+01,2.234998e+01,2.158288e+01,1.592588e+01,1.682815e+01,1.872737e+01,2.148156e+01,2.312535e+01,2.209132e+01,1.553083e+01,1.573741e+01,1.915614e+01
1.222040e+01,1.108744e+01,1.083865e+01,9.985005e+00,1.115333e+01,-1.613688e+01,-2.612543e+01,-2.500204e+01,-2.808512e+01,-3.608620e+01,-4.105693e+01,-4.802187e+01,-4.807302e+01,-5.189748e+01,-5.464474e+01,-5.293657e+01,-4.478804e+01,-2.977481e+01,-2.303332e-03,6.873297e+00,1.146783e+01,7.824468e+00,9.079038e+00,1.137380e+01,1.138404e+01,1.235973e+01,1.159478e+01,6.466872e+00,8.956118e+00,1.060609e+01
3.256920e+00,2.819659e+00,2.214795e+00,4.107257e+00,4.407619e+00,2.749764e+01,3.292657e+01,3.577418e+01,2.821270e+01,1.354518e+01,1.802359e+01,2.739175e+01,3.195173e+01,2.655229e+01,2.568580e+01,2.463457e+01,1.958379e+01,1.231109e+01,-3.936790e+00,-3.275418e+00,1.609285e+00,3.740078e+00,2.678336e+00,2.730774e+00,1.220593e+00,3.516767e+00,3.705739e+00,9.099698e-01,2.138355e+00,2.747553e+00
3.569888e+00,4.974051e+00,2.235691e+00,3.400359e+00,3.675045e+00,-8.832999e+00,-2.011263e+01,-1.899279e+01,-1.885835e+01,-3.030101e+01,-3.247101e+01,-2.340515e+01,-1.526063e+01,-1.187259e+01,-1.141404e+01,-5.638770e+00,-2.917448e-01,5.209126e+00,1.433649e+00,3.766004e-01,8.178091e-01,3.584224e+00,7.214408e+00,1.023695e+01,9.477499e+00,7.934053e+00,6.936872e+00,3.700693e+00,6.741588e+00,7.589593e+00
8.225371e+00,9.342820e+00,4.934273e+00,3.207818e+00,6.211304e+00,1.448348e+01,1.679840e+01,2.070199e+01,2.528557e+01,1.754501e+01,1.039810e+01,1.626725e+01,1.996442e+01,2.431242e+01,2.513937e+01,2.353063e+01,1.915178e+01,1.263909e+01,3.891842e+00,2.893151e+00,3.736286e+00,2.670664e+00,2.913385e+00,3.011821e+00,5.370535e+00,6.646964e+00,5.957631e+00,2.820676e+00,7.425020e+00,9.657492e+00
5.586900e+00,6.242650e+00,2.855924e+00,1.191823e-01,4.820539e+00,6.751289e+00,-2.671710e+00,-6.993305e+00,-1.565063e+00,-1.087925e+00,-4.205807e+00,-7.556345e+00,-1.818705e+01,-1.532742e+01,-8.924298e+00,-7.387820e+00,-1.005065e+00,3.970766e+00,5.406880e-02,-3.619417e-01,3.995408e+00,1.229277e+00,-1.725629e+00,-3.810659e+00,-3.051485e+00,8.595352e-01,-3.191692e-02,-2.664680e+00,-3.262699e-01,1.716617e+00
-3.092402e+00,-2.427070e+00,-4.012967e+00,-5.991675e+00,-4.033051e+00,1.010717e+00,2.210889e+00,-4.182819e-01,-1.351829e+00,4.819921e-01,-1.079355e+00,1.881268e+00,2.024534e+00,1.577749e+00,-5.015894e-01,-1.074264e+01,-1.616958e+01,-2.084438e+01,-1.356770e+01,-8.083933e+00,-1.814660e+00,-2.263314e+00,-1.457077e+00,9.404808e-03,-2.351942e+00,-2.447249e+00,-5.003042e+00,-6.032335e+00,-7.805487e+00,-8.362411e+00
-6.247055e+00,-6.468433e+00,-7.306078e+00,-8.885845e+00,-1.013663e+01,-1.386647e+01,-1.606291e+01,-1.934739e+01,-2.328783e+01,-2.585706e+01,-3.482987e+01,-3.290085e+01,-3.408758e+01,-2.947874e+01,-1.896170e+01,-1.724355e+01,-1.917773e+01,-1.588360e+01,-1.519750e+01,-1.482244e+01,-6.987900e+00,-5.653965e+00,-8.045771e+00,-7.916706e+00,-7.283451e+00,-6.879410e+00,-9.018547e+00,-5.977593e+00,-9.480186e+00,-1.061215e+01
