Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31
-4.865072e+02,-4.677859e+02,-4.667905e+02,-4.672183e+02,-4.656203e+02,-4.419857e+02,-3.099261e+02,-2.194789e+02,-1.534026e+02,-1.200013e+02,-1.177140e+02,-9.146111e+01,-6.172533e+01,-3.807201e+01,-1.309273e+01,-1.361563e+01,-5.167705e+01,-1.214705e+02,-2.208200e+02,-3.244101e+02,-3.916470e+02,-4.433142e+02,-4.604120e+02,-4.614890e+02,-4.640923e+02,-4.660079e+02,-4.641123e+02,-4.628729e+02,-4.644090e+02,-4.696114e+02,-4.705103e+02
9.056988e+01,9.884962e+01,9.828601e+01,1.008223e+02,9.874496e+01,9.111133e+01,1.548152e+01,-2.555102e+01,-4.923547e+01,-6.544703e+01,-6.966154e+01,-3.260735e+01,1.887503e+01,4.506382e+01,7.855563e+01,1.077281e+02,1.251898e+02,1.430517e+02,1.704185e+02,1.752841e+02,1.477887e+02,1.133997e+02,1.016987e+02,1.023513e+02,1.016510e+02,9.977303e+01,1.022889e+02,1.019521e+02,1.009864e+02,1.002764e+02,9.922391e+01
1.356033e+01,5.641875e+00,5.176030e+00,9.972566e+00,3.973043e+00,8.537568e-01,1.903336e+01,3.534813e+01,3.892121e+01,3.943891e+01,4.573927e+01,4.139351e+01,6.731025e+00,-3.516580e+01,-7.593446e+01,-7.449766e+01,-5.917966e+01,-4.398254e+01,-2.505199e+01,-1.136469e+01,-1.248237e+01,-5.122097e+00,2.913131e-01,4.263503e+00,5.748640e+00,4.012519e+00,7.560532e+00,6.592918e+00,9.272293e+00,1.304377e+01,8.601822e+00
-6.513769e+00,-4.206952e+00,-1.984574e+00,1.437431e-01,-1.499461e+00,3.390172e+00,1.276779e+01,1.881069e+01,2.812124e+01,2.833501e+01,1.769893e+01,1.768127e+01,2.171527e+01,1.871466e+01,1.079225e+01,-1.100842e+01,-2.189515e+01,-2.681314e+01,-2.787713e+01,-2.358825e+01,-2.264138e+01,-1.256648e+01,-4.754952e+00,-3.318127e+00,-2.824794e+00,-5.607732e+00,-1.852101e+00,-7.325938e-01,3.378447e+00,3.310245e+00,-1.424477e+00
1.215452e+01,1.684240e+01,1.975788e+01,1.904744e+01,2.163820e+01,1.995877e+01,2.841896e+00,-1.572238e+00,-7.044865e+00,-8.583562e+00,-5.684505e+00,-2.382760e-01,3.597816e+00,-1.328520e+01,-3.912530e+01,-5.142548e+01,-4.979438e+01,-3.690070e+01,-9.701319e+00,7.471556e+00,1.687577e+01,2.095092e+01,2.487414e+01,2.324366e+01,2.140862e+01,1.887714e+01,1.939333e+01,1.824269e+01,2.024820e+01,2.446062e+01,2.568307e+01
1.574565e+01,1.476759e+01,1.784254e+01,1.649504e+01,1.599666e+01,1.671571e+01,2.299966e+01,2.747145e+01,2.763495e+01,2.320918e+01,2.276324e+01,1.374346e+01,6.592297e+00,2.720611e+01,5.996587e+01,7.239711e+01,8.097493e+01,8.034116e+01,6.997617e+01,3.929607e+01,2.702489e+01,2.379951e+01,2.389681e+01,2.222153e+01,2.025826e+01,1.863983e+01,1.704505e+01,1.412991e+01,1.341686e+01,2.029508e+01,2.295783e+01
3.605525e+00,8.538185e+00,1.417166e+01,1.255991e+01,9.085912e+00,1.027577e+01,2.802601e+00,2.871038e+00,8.384223e+00,7.984305e+00,1.323163e+01,4.897734e+00,-3.615509e+00,-2.371404e+01,-4.172855e+01,-4.980333e+01,-4.950775e+01,-4.416076e+01,-2.766362e+01,-1.699383e+00,8.632475e+00,1.316615e+01,1.063084e+01,1.041252e+01,9.833406e+00,1.121170e+01,9.196404e+00,1.037163e+01,9.893233e+00,9.004400e+00,7.730759e+00
2.226335e-01,5.699762e+00,1.021929e+01,1.150500e+01,8.965178e+00,8.299332e+00,9.310753e+00,9.522220e+00,8.755224e+00,1.046008e+01,1.067951e+01,-3.263872e+00,-6.762927e+00,9.686422e+00,3.149678e+01,3.871245e+01,2.484805e+01,1.815712e+01,8.387909e+00,-6.486952e-01,-3.709591e+00,3.825398e+00,2.345968e+00,1.530990e+00,3.971921e+00,8.561880e+00,5.783598e+00,9.024289e+00,9.367845e+00,4.800146e+00,5.259341e+00
7.360262e+00,2.631806e+00,4.990344e+00,6.629340e+00,6.196579e+00,8.872723e+00,2.048573e+00,1.466272e+00,-3.477208e+00,-5.827497e+00,-4.812450e+00,-1.625973e+01,-1.489822e+01,-9.305620e+00,-1.277513e+01,-2.362733e+00,2.781682e+00,7.885078e+00,9.517309e+00,8.458084e+00,5.263748e+00,2.091181e+00,1.509783e+00,1.793830e+00,4.693545e+00,6.978177e+00,4.606378e+00,7.057967e+00,8.452502e+00,4.487675e+00,5.803024e+00
9.104340e+00,3.620736e+00,4.936655e+00,3.079884e+00,4.192132e+00,3.813475e+00,2.811388e-01,1.975246e+00,1.016137e+01,1.455350e+01,1.567409e+01,4.338559e+00,1.325801e-01,9.359502e+00,1.587693e+01,1.932467e+01,2.421778e+01,2.243424e+01,1.030342e+01,3.870477e+00,8.546215e+00,7.824558e+00,4.062352e+00,5.416808e+00,6.925447e+00,4.949072e+00,6.151350e+00,8.453554e+00,8.278244e+00,3.251305e+00,2.937887e+00
-8.343579e-01,1.559642e+00,8.364733e-01,-7.774991e-01,1.947056e+00,5.484679e+00,5.210262e+00,8.460472e+00,9.872372e+00,1.145918e+01,8.146851e+00,-3.659003e+00,-1.149836e+01,-1.854211e+01,-2.964589e+01,-3.398643e+01,-3.010892e+01,-1.805029e+01,-7.121220e+00,-3.411952e+00,-1.339211e+00,4.481977e+00,-4.443808e-01,1.753083e+00,1.452249e+00,-8.719815e-01,3.683937e+00,4.022141e+00,7.841024e-01,1.826035e+00,1.356792e+00
-1.062033e+01,-5.690113e+00,-8.370975e+00,-6.953453e+00,-3.080093e+00,-1.939559e+00,3.068694e+00,-1.800032e-01,-6.003863e+00,-8.844358e+00,-1.204729e+01,-1.839607e+01,-1.604943e+01,-1.211898e+01,-3.559977e+00,-4.899823e+00,-1.074999e+01,-1.775502e+01,-1.688903e+01,-1.125606e+01,-9.859005e+00,-7.385860e+00,-6.987489e+00,-2.163691e+00,-1.876379e+00,-4.096237e+00,-4.226389e+00,-3.561168e+00,-5.661891e+00,7.733214e-01,-1.396148e-01
-8.850782e+00,-7.395779e+00,-8.071200e+00,-8.520245e+00,-6.157726e+00,-1.291605e+01,-1.659697e+01,-1.591893e+01,-1.528351e+01,-1.729657e+01,-1.173576e+01,-6.998494e+00,-1.331350e+01,-1.361968e+01,-9.639395e+00,-2.504954e+00,6.368738e+00,-1.657192e-01,-6.292945e+00,-6.083520e+00,-9.305307e+00,-8.997918e+00,-6.864382e+00,4.996495e-01,1.772761e+00,1.996191e-01,-7.484752e+00,-5.377469e+00,-8.592837e-01,2.023008e+00,-1.981420e+00
