Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25
-4.872443e+02,-4.654591e+02,-3.835018e+02,-2.631133e+02,-2.052511e+02,-1.864144e+02,-1.807530e+02,-1.636210e+02,-1.144520e+02,-6.712389e+01,-4.186889e+01,-3.825229e+01,-6.304577e+01,-5.835523e+01,-6.317973e+01,-9.770702e+01,-1.689476e+02,-2.518859e+02,-3.259636e+02,-3.796146e+02,-4.431522e+02,-4.668029e+02,-4.591484e+02,-4.549140e+02,-4.609803e+02
5.314214e+01,6.972852e+01,2.235725e+01,-3.312307e+01,-5.264208e+01,-5.604553e+01,-6.264191e+01,-7.018823e+01,-2.848129e+01,2.365401e+01,4.173716e+01,3.856020e+01,4.698722e+01,7.166441e+01,1.066710e+02,1.388904e+02,1.672475e+02,1.780107e+02,1.777247e+02,1.450441e+02,9.029222e+01,6.740875e+01,6.885632e+01,7.194583e+01,6.819067e+01
1.517865e+01,1.001965e+01,1.527946e+01,2.319805e+01,2.930698e+01,3.726990e+01,4.814716e+01,5.064989e+01,5.177794e+01,-6.941034e-01,-3.751037e+01,-3.576692e+01,-3.239604e+01,-5.701564e+01,-7.126724e+01,-6.503027e+01,-4.151814e+01,-1.180224e+01,2.324421e+00,7.210339e+00,1.059059e+01,6.579563e+00,-2.452776e+00,-3.489950e+00,-2.137451e+00
9.025444e-01,-6.941278e+00,1.489673e+01,3.260764e+01,3.221819e+01,2.176746e+01,1.752404e+01,1.389241e+01,2.306998e+01,1.888565e+01,2.289581e+01,1.137218e+01,7.661530e-01,-1.722789e+01,-3.115434e+01,-5.025439e+01,-5.914536e+01,-5.636852e+01,-3.294151e+01,-3.497358e+01,-1.443401e+01,-1.111430e+01,-1.447403e+01,-1.465720e+01,-1.602897e+01
8.806232e+00,1.058603e+01,-1.121195e+01,-2.045600e+01,-2.260827e+01,-2.480607e+01,-2.612052e+01,-3.216615e+01,-2.836402e+01,-2.777289e+01,-4.259374e+01,-4.375444e+01,-4.114078e+01,-4.172755e+01,-3.390136e+01,-2.621669e+01,-1.396000e+01,-2.397210e-01,6.610038e+00,1.472155e+00,7.951118e+00,7.388861e+00,1.182995e+01,1.404630e+01,1.074162e+01
1.175871e+01,1.737345e+01,1.523369e+01,1.582967e+01,1.280630e+01,1.714314e+01,2.752489e+01,2.858265e+01,1.060880e+01,-5.333009e+00,6.925723e+00,2.583156e+01,4.079406e+01,4.966484e+01,4.830460e+01,4.463719e+01,3.394067e+01,2.551078e+01,1.851832e+01,1.696394e+01,1.909862e+01,1.696731e+01,1.757232e+01,1.771962e+01,1.872820e+01
4.516125e+00,6.735587e+00,2.190105e+01,1.696217e+01,1.415980e+01,1.413554e+01,1.469034e+01,1.691193e+01,1.708583e+00,-6.792892e+00,-1.676227e+01,-2.233844e+01,-2.233019e+01,-3.267795e+01,-3.574712e+01,-2.790601e+01,-2.320015e+01,-1.611406e+01,-1.244155e+01,5.914676e-01,1.017165e+01,1.031316e+01,4.188581e+00,2.178179e+00,6.410620e+00
2.456678e+00,1.138856e+00,-4.379760e+00,5.207445e-01,8.215776e+00,1.197457e+01,4.563733e+00,7.623498e+00,-7.612316e+00,-3.222939e-01,1.536113e+01,2.768803e+01,2.765765e+01,2.867559e+01,2.283768e+01,2.136525e+01,1.105987e+01,-3.550161e+00,-1.107581e+01,-1.669270e+00,8.005918e+00,7.781028e+00,2.968126e+00,2.606586e+00,4.125881e+00
7.788107e+00,4.965219e+00,-8.391935e-01,-3.740588e+00,4.755926e-01,5.497284e+00,3.920000e+00,2.692243e-01,-2.842999e+01,-1.663857e+01,-8.767515e+00,4.687770e+00,6.720786e+00,1.031640e+01,1.195572e+01,1.432368e+01,2.004965e+01,2.251361e+01,1.357658e+01,7.364844e+00,1.053832e+01,1.084893e+01,1.174977e+01,1.159114e+01,8.617271e+00
7.896471e+00,4.727290e+00,9.216437e+00,8.656259e+00,6.537804e+00,5.325248e+00,3.970617e+00,3.523511e+00,-1.129002e+01,-1.371547e+01,-9.058247e+00,-6.046532e+00,-7.389256e+00,-6.105392e+00,-8.242725e+00,-9.880690e+00,-1.336133e+01,-7.698294e+00,9.114220e-01,-1.166920e-01,7.136014e-01,7.141891e+00,9.240499e+00,7.172458e+00,2.923079e+00
2.699814e-01,-1.236057e+00,1.063464e-01,2.139441e+00,-1.890148e+00,-2.844606e+00,-1.221600e+00,-8.401712e-01,-1.159892e+01,-5.297685e+00,-1.452586e+01,-2.217881e+01,-2.421255e+01,-2.828581e+01,-2.379597e+01,-1.864309e+01,-4.707490e+00,-4.506044e+00,-1.096042e+01,-1.256336e+01,-1.180031e+01,-6.333804e-01,-4.525749e-01,-2.700664e+00,-5.718129e+00
-5.181547e+00,-3.541164e+00,-1.550506e+01,-1.775749e+01,-1.953283e+01,-1.587063e+01,-1.183519e+01,-8.198783e+00,-1.673967e+01,-5.967809e+00,5.215994e+00,1.100550e+01,1.217399e+01,3.852997e+00,-3.887312e+00,-4.851960e+00,-1.006759e+01,-7.448503e+00,-3.556339e+00,-9.369085e+00,-1.074801e+01,-2.338823e+00,-9.495212e-01,-3.183903e+00,-6.160346e+00
-4.908800e+00,-2.760532e+00,8.281528e+00,3.019987e+00,2.093854e+00,4.938207e+00,3.871888e+00,6.503167e+00,-1.406386e+00,-1.487817e+01,-2.386338e+01,-2.349144e+01,-1.862632e+01,-5.405987e+00,1.975527e+00,3.122123e+00,-7.607942e-01,3.647763e+00,-3.741246e-02,-5.175526e+00,-5.213093e+00,-1.698510e+00,8.433354e-01,-6.938362e-01,-4.201792e+00
