Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38
-5.398978e+02,-5.360223e+02,-5.318140e+02,-5.344502e+02,-5.393976e+02,-5.387950e+02,-5.413549e+02,-5.216800e+02,-4.773508e+02,-4.341118e+02,-3.919561e+02,-3.824230e+02,-3.980916e+02,-3.821518e+02,-3.803990e+02,-4.132845e+02,-2.595446e+02,-1.476557e+02,-5.688526e+01,-4.592235e+01,-7.857014e+01,-1.046472e+02,-1.390575e+02,-1.943387e+02,-2.694647e+02,-3.582180e+02,-4.095744e+02,-4.628527e+02,-5.074315e+02,-5.363154e+02,-5.420665e+02,-5.420665e+02,-5.420665e+02,-5.420665e+02,-5.420665e+02,-5.420665e+02,-5.420665e+02,-5.420665e+02
2.724895e+00,5.647310e+00,7.506106e+00,5.567248e+00,3.015348e+00,4.003388e+00,9.187566e-01,-1.854160e+01,-5.286221e+01,-8.037704e+01,-8.689299e+01,-7.692837e+01,-6.920477e+01,-8.154951e+01,-8.895307e+01,-8.467552e+01,7.730804e+01,1.302567e+02,1.229708e+02,1.345198e+02,1.832179e+02,2.106268e+02,2.147815e+02,2.141917e+02,1.993410e+02,1.682787e+02,1.377541e+02,9.073898e+01,4.444247e+01,7.598747e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.775644e+00,2.287913e+00,1.519245e+00,1.103441e+00,1.794943e+00,2.527263e+00,6.729670e-01,-1.793580e+00,-2.949828e+00,-7.624471e+00,-3.228613e+01,-4.232614e+01,-4.041766e+01,-4.624537e+01,-4.896716e+01,-4.570482e+01,-4.724606e+01,-8.596552e+01,-9.004493e+01,-9.776163e+01,-1.045386e+02,-9.846323e+01,-8.036566e+01,-4.961266e+01,-1.633346e+01,1.582144e+01,3.622451e+01,4.334719e+01,3.269280e+01,6.120138e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
4.318730e-01,2.174039e+00,5.625599e+00,4.116084e+00,9.490579e-01,8.901109e-01,3.162129e-01,2.153736e+01,4.840208e+01,6.660277e+01,7.061722e+01,6.606710e+01,6.439030e+01,6.229358e+01,6.320242e+01,6.766042e+01,5.087616e+01,4.762506e+01,-2.312192e+00,-3.477854e+01,-3.955622e+01,-3.509502e+01,-3.919077e+01,-4.225300e+01,-5.232614e+01,-5.445385e+01,-3.155939e+01,2.971164e+00,1.814856e+01,4.037073e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-1.005532e+00,-4.846140e-01,2.501132e+00,1.780340e+00,-4.542868e-01,-5.711195e-01,-8.318357e-02,-2.598539e+01,-4.140811e+01,-4.132122e+01,-3.131071e+01,-2.588836e+01,-2.571612e+01,-2.500669e+01,-2.396160e+01,-2.185042e+01,-2.359534e+01,-2.572524e+01,-3.420925e+01,-4.812770e+01,-7.374344e+01,-8.308818e+01,-7.572049e+01,-7.077422e+01,-6.743648e+01,-4.923045e+01,-3.441556e+01,-1.121506e+01,5.218408e+00,1.810318e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.215294e+00,-5.970387e+00,-8.275608e+00,-6.178705e+00,-2.325788e+00,-1.825146e+00,-4.493597e-01,1.414729e+01,5.230251e+00,-1.106942e+01,-1.763953e+01,-2.129704e+01,-2.061830e+01,-1.988652e+01,-1.660919e+01,-1.209935e+01,-4.112877e+01,-3.548713e+01,-1.200589e+01,-3.833710e+00,-8.406019e+00,-1.548602e+01,-1.825801e+01,-2.435687e+01,-2.484872e+01,-1.146193e+01,-9.214350e+00,-6.256220e+00,-3.632120e+00,-1.033944e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.927939e+00,-7.002922e+00,-8.391875e+00,-6.285369e+00,-3.110850e+00,-2.847928e+00,-7.138618e-01,4.960367e+00,1.645314e+01,1.859056e+01,1.445512e+01,9.735278e+00,9.210858e+00,1.478589e+01,2.049669e+01,2.222151e+01,-3.669019e+01,-4.397174e+01,-4.382275e+01,-3.894822e+01,-2.003506e+01,-8.986114e-01,2.907229e+00,1.125120e+01,1.518213e+01,7.264463e+00,1.098894e+00,-3.616861e-01,-8.086934e+00,-1.371042e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.986151e+00,-4.768121e+00,-2.896721e+00,-2.204908e+00,-2.867497e+00,-3.524222e+00,-8.290740e-01,-2.018290e+01,-2.914225e+01,-2.438416e+01,-2.052085e+01,-1.921236e+01,-1.529141e+01,-1.201305e+01,-1.062593e+01,-1.052513e+01,-4.719250e+01,-3.800147e+01,-2.108294e+01,-1.477606e+01,-2.855103e+01,-4.146927e+01,-3.931190e+01,-2.757808e+01,-1.644866e+01,-1.497994e+01,-7.707514e+00,-2.100097e+00,-9.001929e+00,-1.863425e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-2.379676e+00,-5.337645e+00,-6.390718e+00,-4.610180e+00,-2.750174e+00,-3.556482e+00,-7.774389e-01,2.060714e+01,1.333377e+01,1.528627e+00,-2.398056e+00,2.721653e+00,9.351571e-01,3.456851e+00,5.753031e+00,4.358783e+00,-3.243131e+00,-1.065889e+01,-2.428502e+01,-2.011081e+01,-2.608557e+01,-2.843799e+01,-2.766089e+01,-2.509510e+01,-2.975724e+01,-2.829288e+01,-1.547001e+01,-6.609547e+00,-7.492634e+00,-1.674049e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
-1.247015e+00,-5.162016e+00,-8.948486e+00,-6.440392e+00,-2.194388e+00,-2.601215e+00,-5.746798e-01,-9.694555e+00,-5.964510e+00,-7.012065e+00,-9.545797e+00,-6.940258e+00,-2.755903e+00,-1.098347e+00,-1.885011e-01,-1.307861e+00,-2.215898e+01,-1.769537e+01,6.683479e+00,1.872537e+01,7.543815e+00,-1.309621e+01,-1.565273e+01,-1.460917e+01,-1.200056e+01,-1.138671e+01,-1.066252e+01,-7.137289e+00,-4.679236e+00,-1.074183e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.563682e-01,1.104812e-02,-4.715742e-01,-2.577775e-01,-4.381180e-01,-8.198518e-01,-2.663429e-01,-6.455662e+00,-1.208489e+01,-1.105247e+01,-6.621376e+00,-1.078029e+00,-1.155441e-01,-7.573688e+00,-8.843214e+00,-7.559243e+00,-3.628473e+01,-2.444571e+01,-1.613931e+01,3.557632e-01,1.887378e+01,2.045834e+01,6.608017e+00,-1.026003e+00,1.254702e+00,-6.618813e-01,1.152884e-01,-3.876680e+00,-1.749457e+00,-4.204203e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
