Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36
-5.496902e+02,-5.496902e+02,-5.496902e+02,-5.496902e+02,-5.496902e+02,-5.496902e+02,-5.476350e+02,-5.303836e+02,-5.033616e+02,-4.782374e+02,-4.583272e+02,-4.420319e+02,-4.495767e+02,-4.645671e+02,-4.606976e+02,-2.926763e+02,-1.590112e+02,-5.784876e+01,-3.684904e+01,-7.421629e+01,-1.228523e+02,-1.837737e+02,-2.457064e+02,-2.694845e+02,-3.007075e+02,-3.569067e+02,-4.244619e+02,-4.967643e+02,-5.301818e+02,-5.449716e+02,-5.495078e+02,-5.493375e+02,-5.493233e+02,-5.494336e+02,-5.496902e+02,-5.496902e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.925708e+00,-1.807147e+01,-4.161244e+01,-6.256738e+01,-7.852271e+01,-8.089361e+01,-6.730215e+01,-4.867509e+01,-2.790403e+01,1.088885e+02,1.219722e+02,1.254150e+02,1.541076e+02,1.920570e+02,2.050082e+02,1.966677e+02,1.809016e+02,1.995007e+02,2.130593e+02,1.908533e+02,1.342608e+02,6.341914e+01,2.629607e+01,6.494897e+00,2.521758e-01,4.716918e-01,4.909645e-01,3.453447e-01,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.465722e-01,-3.139053e+00,-7.346198e+00,-1.247380e+01,-1.604739e+01,-2.548878e+01,-3.162675e+01,-4.020998e+01,-4.338297e+01,-6.046978e+01,-9.267941e+01,-9.965101e+01,-9.416530e+01,-9.346378e+01,-8.042027e+01,-5.838454e+01,-3.879359e+01,-1.750157e+01,1.183710e+01,3.425271e+01,4.258596e+01,3.725220e+01,2.264836e+01,5.975561e+00,2.349637e-01,3.932469e-01,4.099864e-01,2.944280e-01,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.363440e+00,2.157950e+01,4.111825e+01,5.515967e+01,5.994573e+01,5.678584e+01,5.222064e+01,4.602638e+01,4.587880e+01,3.042723e+01,1.939570e+01,-2.261405e+01,-3.730145e+01,-2.853304e+01,-2.683367e+01,-2.989165e+01,-2.976276e+01,-4.956572e+01,-6.086120e+01,-5.751305e+01,-2.580474e+01,1.303127e+01,1.728414e+01,5.161063e+00,2.080358e-01,2.720212e-01,2.847772e-01,2.150768e-01,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.766297e+00,-2.484378e+01,-3.668030e+01,-3.866488e+01,-3.567358e+01,-3.154457e+01,-2.542916e+01,-1.729140e+01,-1.139450e+01,-2.701383e+01,-2.479525e+01,-4.428922e+01,-6.288644e+01,-8.388087e+01,-9.222002e+01,-8.976738e+01,-7.403264e+01,-7.354233e+01,-6.516413e+01,-5.390715e+01,-3.473364e+01,1.052055e+00,1.109374e+01,4.122582e+00,1.738315e-01,1.212046e-01,1.288638e-01,1.149906e-01,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.311243e+00,1.150164e+01,8.077204e+00,-7.328244e-01,-3.596500e+00,2.741392e-01,1.070695e+00,5.098841e+00,-1.735453e+00,-4.464597e+01,-2.769686e+01,-2.072705e+01,-1.728940e+01,-1.213453e+01,-1.571386e+01,-2.214315e+01,-2.165336e+01,-2.430574e+01,-2.215929e+01,-1.266785e+01,-9.489822e+00,-1.711583e+00,5.012300e+00,2.949556e+00,1.353981e-01,-4.279776e-02,-4.091568e-02,3.876649e-03,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,9.824942e-01,8.441061e+00,1.940348e+01,2.336179e+01,1.813891e+01,1.754186e+01,1.656366e+01,1.138129e+01,4.414653e+00,-2.600876e+01,-3.231738e+01,-3.025461e+01,-3.081282e+01,-1.569827e+01,4.567218e-01,1.452528e+01,1.941357e+01,2.176578e+01,1.344880e+01,4.978013e+00,3.794209e+00,-4.680782e+00,-1.831965e-01,1.740721e+00,9.605858e-02,-2.021446e-01,-2.062277e-01,-1.074976e-01,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.552774e+00,-2.120461e+01,-2.860880e+01,-2.196243e+01,-1.393604e+01,-1.281839e+01,-1.455068e+01,-1.736755e+01,-1.815377e+01,-3.748944e+01,-3.948895e+01,-3.456715e+01,-4.005615e+01,-4.141257e+01,-3.432341e+01,-2.560610e+01,-2.227839e+01,-1.740401e+01,-1.496885e+01,-1.626980e+01,-9.873781e+00,-1.197350e+01,-4.018502e+00,5.943310e-01,5.907362e-02,-3.395002e-01,-3.492253e-01,-2.083500e-01,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.370494e+00,1.902746e+01,2.100469e+01,1.394678e+01,8.346341e+00,7.699793e+00,1.131694e+01,1.511818e+01,1.612565e+01,1.825945e+00,-8.137197e+00,-1.406559e+01,-2.028917e+01,-2.695346e+01,-2.285659e+01,-1.995947e+01,-2.513930e+01,-3.772514e+01,-4.381713e+01,-3.886686e+01,-2.860834e+01,-1.883763e+01,-6.374343e+00,-4.015120e-01,2.728231e-02,-4.399244e-01,-4.544801e-01,-2.889350e-01,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-6.224115e-01,-4.932962e+00,-3.583060e+00,-4.311101e+00,-2.639462e+00,1.044652e+00,4.187557e+00,2.289490e+00,-7.114897e+00,-1.979360e+01,5.716720e+00,1.655120e+01,8.436125e+00,-1.190443e+01,-2.216061e+01,-2.338866e+01,-1.894134e+01,-2.373940e+01,-2.739686e+01,-3.187820e+01,-2.914315e+01,-1.870061e+01,-7.441648e+00,-1.177382e+00,2.827920e-03,-4.924898e-01,-5.106444e-01,-3.414867e-01,0.000000e+00,0.000000e+00
