Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31
-5.155233e+02,-4.980364e+02,-4.951877e+02,-4.929416e+02,-4.915953e+02,-3.791983e+02,-2.650998e+02,-2.110878e+02,-1.815617e+02,-1.565346e+02,-1.489350e+02,-1.206811e+02,-1.088207e+02,-8.595894e+01,-7.085601e+01,-5.684317e+01,-5.657256e+01,-9.465852e+01,-1.674200e+02,-2.284161e+02,-2.973224e+02,-3.977296e+02,-4.494389e+02,-4.762638e+02,-4.885870e+02,-4.913582e+02,-4.930478e+02,-4.945529e+02,-4.951007e+02,-4.968497e+02,-5.029887e+02
5.735539e+01,6.987659e+01,6.957561e+01,7.170773e+01,7.309334e+01,2.558038e+01,-7.488646e+00,-2.564440e+01,-2.294174e+01,1.277962e+01,3.953668e+01,3.770390e+01,3.874364e+01,2.585670e+01,2.747911e+01,3.739185e+01,5.160751e+01,6.423316e+01,9.141369e+01,1.275435e+02,1.443709e+02,1.516909e+02,1.149198e+02,8.994277e+01,8.012562e+01,7.807043e+01,7.391409e+01,7.139594e+01,6.930661e+01,6.790960e+01,6.490055e+01
3.017500e+01,2.425625e+01,1.866738e+01,1.749383e+01,1.669947e+01,3.321526e+01,4.841786e+01,5.275757e+01,5.297196e+01,4.217823e+01,3.163368e+01,1.214834e+00,-1.449854e+01,-1.652255e+01,-1.410332e+01,-1.825281e+01,-2.625671e+01,-1.975467e+01,-3.050758e+00,5.228522e+00,1.532950e+01,1.351766e+01,2.227871e+01,2.123883e+01,2.450093e+01,2.520673e+01,1.828120e+01,1.584793e+01,1.476256e+01,1.482182e+01,1.960962e+01
1.782166e+01,1.023974e+01,8.186931e+00,6.271566e+00,2.297023e+00,8.132688e+00,9.605938e+00,1.381842e+01,1.991881e+01,1.164737e+01,7.592801e+00,2.398549e+01,3.282953e+01,1.770072e+01,-1.879804e+00,-1.630113e+01,-2.059568e+01,-1.565805e+01,-1.220945e+01,-1.140987e+01,-1.944969e+01,-2.892715e+01,-1.626906e+01,-5.385409e+00,2.538628e+00,3.491809e+00,-1.896891e+00,-2.048645e+00,1.441124e+00,9.778562e-01,5.065633e+00
1.879110e+01,1.841263e+01,2.249079e+01,2.459068e+01,1.908637e+01,1.735896e+01,3.978859e+00,-7.628431e-01,-1.929945e+00,-1.375423e+00,5.380240e+00,-3.040829e+00,-2.119817e+01,-2.712629e+01,-2.073609e+01,-2.222352e+01,-2.752048e+01,-3.321298e+01,-3.851008e+01,-3.339960e+01,-2.292154e+01,1.531579e-01,-4.996220e-01,7.279589e+00,1.165213e+01,1.144815e+01,1.313687e+01,1.623244e+01,1.863462e+01,1.667214e+01,1.675207e+01
2.395596e+01,2.230156e+01,2.430416e+01,2.760309e+01,2.421112e+01,2.444971e+01,3.071160e+01,2.948773e+01,1.464995e+01,4.818822e+00,1.590410e+01,3.033674e+01,4.169721e+01,5.375501e+01,5.970864e+01,6.550507e+01,7.085195e+01,7.509737e+01,7.171937e+01,6.162234e+01,4.920127e+01,1.848110e+01,1.495800e+01,1.627217e+01,1.614489e+01,1.533705e+01,2.292408e+01,2.692821e+01,2.304699e+01,2.107370e+01,2.126063e+01
2.057712e+01,1.312710e+01,9.844883e+00,1.134836e+01,1.278039e+01,-2.256902e+00,4.665849e+00,9.777119e+00,3.570131e+00,-1.303590e+01,-2.129268e+01,-1.925756e+01,-2.868946e+01,-3.972148e+01,-3.375476e+01,-3.465916e+01,-3.593218e+01,-4.145597e+01,-4.170582e+01,-3.130598e+01,-2.077019e+01,5.435103e+00,1.190941e+01,1.064310e+01,7.812496e+00,6.883447e+00,1.278205e+01,1.505830e+01,1.166138e+01,1.052526e+01,1.176579e+01
9.110053e+00,3.009651e+00,-4.538732e-01,3.024042e-04,3.876772e+00,2.101847e+01,2.241872e+01,2.487004e+01,2.367534e+01,1.720621e+01,1.672659e+01,5.007523e+00,1.557532e+01,3.360896e+01,3.462750e+01,3.240499e+01,3.136317e+01,2.772027e+01,2.524487e+01,2.202755e+01,1.163016e+01,-2.643684e-02,6.198921e+00,4.442340e+00,9.617715e-01,9.771351e-01,1.084933e+00,2.328320e+00,5.666730e+00,3.769513e+00,3.602483e+00
7.052139e+00,6.408957e+00,4.602541e+00,1.546539e+00,3.747898e+00,-5.668134e+00,-5.663164e+00,-6.040210e+00,-1.385684e+01,-2.342897e+01,-1.956595e+01,-4.245858e+00,-9.198233e+00,-1.944612e+01,-1.214182e+01,-7.487858e+00,-8.959726e+00,-1.100148e+01,-8.604650e+00,-4.041800e+00,-1.773347e+00,3.536419e+00,5.436258e+00,3.337172e+00,6.082036e-01,3.131816e+00,1.224605e+00,3.283815e+00,7.521171e+00,4.167978e+00,3.511862e+00
9.889624e+00,1.051050e+01,9.945256e+00,5.147586e+00,6.812941e+00,-1.347430e+00,-5.663462e+00,-2.098263e+00,-2.369885e+00,-9.133556e+00,-1.353065e+01,-1.403326e+01,-1.181788e+01,-4.062269e-01,5.836511e+00,9.419143e+00,1.046211e+01,7.523053e+00,5.181142e+00,-8.216984e-01,-6.321442e-01,4.803997e+00,7.191269e+00,6.413811e+00,2.301813e+00,5.920591e+00,6.716863e+00,8.796314e+00,7.778356e+00,5.326937e+00,6.883606e+00
