Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28
-4.666525e+02,-4.556928e+02,-4.582800e+02,-4.562608e+02,-4.201740e+02,-3.300489e+02,-2.737440e+02,-2.374677e+02,-2.125592e+02,-1.802403e+02,-1.525949e+02,-1.584550e+02,-1.438164e+02,-1.096849e+02,-7.919691e+01,-7.111243e+01,-4.565891e+01,-4.283617e+01,-9.037102e+01,-1.836278e+02,-2.890306e+02,-3.628461e+02,-4.152578e+02,-4.454551e+02,-4.552490e+02,-4.600817e+02,-4.536584e+02,-4.520822e+02
5.289975e+01,6.307596e+01,6.246819e+01,6.602609e+01,6.069320e+01,1.665907e+01,-9.103576e+00,-2.777612e+01,-4.177214e+01,-8.639603e+00,4.216455e+01,7.948593e+01,9.167294e+01,8.429277e+01,6.859936e+01,6.423984e+01,8.523093e+01,1.092492e+02,1.223980e+02,1.455895e+02,1.594587e+02,1.375521e+02,9.692907e+01,6.995380e+01,6.276827e+01,5.987107e+01,6.592046e+01,6.649484e+01
2.514167e+01,2.713959e+01,3.008797e+01,3.324031e+01,3.885149e+01,6.412144e+01,7.187569e+01,7.235693e+01,5.762838e+01,4.962357e+01,1.763798e+01,-1.928634e+01,-4.367555e+01,-4.344323e+01,-4.229644e+01,-4.977804e+01,-7.605736e+01,-8.417157e+01,-6.595740e+01,-3.448159e+01,-5.669415e+00,8.491033e+00,1.700470e+01,1.609857e+01,2.010891e+01,2.657459e+01,2.961113e+01,2.821623e+01
8.415764e+00,8.965219e+00,1.232731e+01,1.534223e+01,7.005617e+00,8.895750e+00,1.166338e+01,1.744144e+01,2.390297e+01,3.493871e+01,4.825030e+01,6.754315e+01,6.671638e+01,5.018596e+01,2.938389e+01,2.013056e+01,1.727237e+01,1.809504e-02,-1.680108e+01,-2.393983e+01,-2.997693e+01,-2.530156e+01,-1.103503e+01,-3.566872e+00,3.426165e+00,1.194635e+01,1.231687e+01,9.517995e+00
4.162211e+00,7.439747e+00,9.238466e+00,1.354776e+01,8.560811e+00,-1.252355e+01,-2.186773e+01,-1.979477e+01,-1.300624e+01,-1.364096e+01,-2.267541e+01,-3.134588e+01,-3.535346e+01,-4.322565e+01,-4.082737e+01,-3.929094e+01,-3.804516e+01,-3.560398e+01,-2.622260e+01,-1.308600e+01,9.774406e-01,6.927253e+00,8.307981e+00,1.225921e+01,1.539535e+01,1.663754e+01,1.437044e+01,1.161030e+01
1.352575e+01,1.711999e+01,1.490831e+01,1.717609e+01,2.516132e+01,3.910648e+01,3.889828e+01,3.605152e+01,3.179779e+01,1.819382e+01,1.238822e+01,1.975322e+01,2.515000e+01,2.477530e+01,3.585133e+01,4.493701e+01,5.504746e+01,5.878627e+01,5.160519e+01,3.879433e+01,1.921206e+01,1.029995e+01,1.687000e+01,2.228148e+01,2.388027e+01,2.231548e+01,2.227631e+01,2.237222e+01
1.581776e+01,1.712743e+01,1.269173e+01,1.260139e+01,5.521439e+00,-5.835557e+00,-4.194083e-01,7.229532e+00,1.258932e+01,8.080435e+00,3.583892e+00,-6.248931e+00,-1.773461e+01,-1.809705e+01,-1.408282e+01,-1.537005e+01,-2.458085e+01,-3.119854e+01,-3.604133e+01,-3.704897e+01,-2.216127e+01,-9.667719e+00,4.734414e+00,1.192878e+01,1.455218e+01,1.469060e+01,1.584114e+01,1.716903e+01
8.574090e+00,9.245547e+00,5.402236e+00,5.539171e+00,9.014390e+00,1.202543e+01,1.156352e+01,8.426872e+00,5.707973e+00,4.064052e-01,2.000203e+00,1.122828e+01,2.254131e+01,3.140498e+01,3.237026e+01,2.981344e+01,2.400602e+01,1.857164e+01,1.750774e+01,7.753975e+00,-6.376376e+00,-2.624421e+00,4.378409e+00,5.042295e+00,4.852202e+00,6.446391e+00,8.339387e+00,9.256216e+00
7.972968e+00,9.709915e+00,7.268215e+00,7.361012e+00,1.654112e+01,2.012893e+01,2.068629e+01,1.262280e+01,1.690840e-01,-2.183091e+01,-2.054084e+01,-5.787930e+00,6.721179e+00,5.644922e+00,4.453640e+00,7.658621e+00,1.015154e+01,1.177639e+01,1.592464e+01,1.672644e+01,1.626338e+01,1.514476e+01,1.787744e+01,1.337055e+01,7.805261e+00,7.209970e+00,1.010904e+01,1.022804e+01
3.607225e+00,4.321503e+00,5.591256e+00,6.319183e+00,1.475472e-01,-2.555404e+00,3.509715e+00,8.709568e+00,1.140586e+01,-5.110737e+00,-1.717039e+01,-1.904158e+01,-1.714869e+01,-8.407707e+00,4.605525e+00,6.242087e+00,1.027747e+01,1.487111e+01,1.888874e+01,1.039758e+01,1.256042e+01,6.927783e+00,1.659937e+01,1.708158e+01,1.143583e+01,5.513222e+00,5.624853e+00,6.234910e+00
-3.370111e+00,-5.016929e+00,-3.151446e+00,-3.338773e+00,5.389519e+00,-1.060457e+00,-9.208453e+00,-4.871459e+00,4.710660e+00,5.065227e-01,-3.267291e+00,-2.584917e+00,-8.325700e-01,-1.433116e+01,-2.516388e+01,-2.399532e+01,-1.303283e+01,-7.766562e+00,-6.301418e+00,-6.738026e+00,-9.864372e+00,-8.989160e+00,-2.643672e+00,2.766576e+00,2.668432e+00,-1.379027e+00,-2.746810e+00,1.619226e+00
-5.575481e+00,-8.022858e+00,-1.067223e+01,-1.379147e+01,-1.620006e+01,-1.314834e+01,-1.534441e+01,-1.557642e+01,-1.226066e+01,-1.801044e+01,-1.733515e+01,-1.579611e+01,-1.477320e+01,-7.234551e+00,-3.970487e+00,-3.219719e+00,-6.296349e+00,-9.224154e+00,-9.231430e+00,-8.299862e+00,-5.957143e+00,-7.739695e+00,-1.319436e+01,-1.270669e+01,-9.970339e+00,-7.891660e+00,-1.116875e+01,-6.776894e+00
