Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35
-5.331308e+02,-5.331308e+02,-5.331308e+02,-5.331308e+02,-5.331308e+02,-5.331308e+02,-5.331308e+02,-5.130577e+02,-4.586974e+02,-4.173023e+02,-3.888573e+02,-3.633605e+02,-2.791081e+02,-1.511113e+02,-1.061429e+02,-1.106170e+02,-9.613522e+01,-9.340987e+01,-1.026730e+02,-1.034277e+02,-1.281009e+02,-1.895454e+02,-2.776635e+02,-3.583336e+02,-3.978713e+02,-4.374311e+02,-4.672033e+02,-4.956450e+02,-5.201553e+02,-5.319656e+02,-5.326799e+02,-5.317131e+02,-5.294731e+02,-5.276934e+02,-5.278177e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.476266e+01,-5.762360e+01,-8.451172e+01,-9.327362e+01,-8.789133e+01,1.154830e+01,1.208386e+02,1.573547e+02,1.567499e+02,1.268776e+02,1.221276e+02,1.691241e+02,2.075407e+02,2.205935e+02,2.201349e+02,2.014068e+02,1.683321e+02,1.374213e+02,9.924811e+01,6.818919e+01,3.801234e+01,1.359994e+01,1.212702e+00,4.441583e-01,4.614528e-01,4.762235e-01,1.967203e+00,2.706865e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.166910e+01,-3.022376e+01,-4.503349e+01,-6.303706e+01,-7.834155e+01,-4.242813e+01,-7.260271e+01,-1.128348e+02,-1.177235e+02,-8.393108e+01,-8.655017e+01,-1.176391e+02,-1.097344e+02,-8.424295e+01,-5.140102e+01,-1.384044e+01,1.959913e+01,2.952386e+01,2.586149e+01,1.818909e+01,8.109852e+00,3.666461e+00,1.697486e-01,1.541275e-02,-1.050059e+00,-3.057422e+00,-3.890068e+00,-4.210932e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.433986e+01,6.523389e+01,7.617867e+01,7.754482e+01,6.862901e+01,6.042484e+01,3.953288e+01,4.779646e+01,3.550620e+01,2.908818e+00,-8.797888e+00,-2.292986e+01,-3.364929e+01,-4.073904e+01,-5.274688e+01,-6.785486e+01,-5.921204e+01,-3.746355e+01,-2.094487e+01,-1.180414e+01,-9.831866e+00,-3.320138e+00,-8.662035e-01,-3.357115e-01,-5.646023e-01,-1.269456e-01,-2.323745e+00,-4.761042e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.380584e+01,-3.004129e+01,-2.406393e+01,-1.619124e+01,-1.791885e+01,-4.096815e+01,-4.818861e+01,-3.606953e+01,-3.005979e+01,-2.430230e+01,-2.616397e+01,-4.474451e+01,-5.864905e+01,-6.428165e+01,-6.740652e+01,-5.823658e+01,-4.249110e+01,-3.340998e+01,-1.806392e+01,-7.879984e+00,-7.752583e+00,-3.976113e+00,-1.326112e+00,-4.142753e-01,-6.074784e-01,-1.035747e+00,-2.052242e+00,-1.144340e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.504680e+00,-1.392867e+01,-1.531329e+01,-1.618782e+01,-1.943125e+01,-3.647328e+01,-4.541382e+01,-4.463065e+01,-3.840305e+01,-2.588088e+01,-2.294510e+01,-1.826806e+01,-1.898422e+01,-2.157824e+01,-2.476563e+01,-1.383546e+01,4.191456e-01,-2.858429e+00,3.658533e+00,5.971421e+00,-5.732906e-02,-1.851820e+00,-1.039258e+00,-2.767085e-01,-4.259679e-01,-2.018122e+00,-1.024750e+00,2.742165e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.504927e+01,1.839624e+01,1.053115e+01,7.199855e+00,8.171391e+00,-2.050323e+01,-4.326815e+01,-4.246558e+01,-3.736279e+01,-3.636281e+01,-3.162754e+01,-2.007849e+01,-1.200905e+01,4.769863e-01,1.519312e+01,1.691200e+01,1.285846e+01,8.695614e+00,8.408438e+00,6.027246e+00,-4.486484e-01,-1.639788e+00,-3.050397e-01,-1.105840e-01,1.206025e+00,3.180410e+00,4.549995e+00,3.928720e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.079029e+01,9.172748e-01,7.288879e+00,1.023371e+01,1.547761e+01,-1.711103e+01,-3.190043e+01,-4.715292e+01,-4.403770e+01,-3.267684e+01,-3.181549e+01,-3.735427e+01,-3.986373e+01,-3.361497e+01,-2.267784e+01,-1.129638e+01,-2.544306e+00,-9.250683e-02,-4.244618e+00,-3.879708e+00,-6.123793e+00,-3.530801e+00,3.512539e-01,-2.521998e-02,1.079048e+00,3.225338e+00,3.722931e+00,7.458083e-02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.032310e+00,-8.362223e+00,-1.060930e+01,-1.370819e+01,-1.396714e+01,-3.293872e+01,-1.718324e+01,-8.408344e+00,-9.875338e+00,-1.880514e+01,-1.771510e+01,-2.126041e+01,-2.696473e+01,-3.310350e+01,-3.277102e+01,-3.093405e+01,-1.273458e+01,-9.033891e+00,-1.244143e+01,-6.815632e+00,-7.149448e+00,-4.419659e+00,5.542812e-01,1.646878e-02,-7.077702e-01,-2.430697e+00,-2.639693e+00,-3.322900e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.336794e+00,2.643523e+00,5.212207e+00,6.834478e+00,5.903832e+00,-1.887899e+01,-2.658702e+01,-2.267032e+01,-5.209210e+00,1.674605e+01,1.955222e+01,9.468019e+00,-3.343125e+00,-1.276111e+01,-1.402937e+01,-1.059836e+01,-7.745057e+00,-9.935047e+00,-7.044346e+00,3.181483e-01,-2.325791e+00,-3.023137e+00,3.171032e-01,8.781124e-02,-5.052028e-01,-1.272051e+00,-1.940597e+00,-7.260810e-01
