Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36
-4.896628e+02,-4.896628e+02,-4.896628e+02,-4.896628e+02,-4.896628e+02,-4.896628e+02,-4.896628e+02,-4.896628e+02,-4.896628e+02,-4.482126e+02,-3.855827e+02,-3.391180e+02,-3.154159e+02,-2.779104e+02,-2.240710e+02,-1.663483e+02,-1.567918e+02,-1.647993e+02,-1.308822e+02,-1.126321e+02,-1.105875e+02,-1.425647e+02,-1.910146e+02,-2.480427e+02,-3.156150e+02,-3.886533e+02,-4.489134e+02,-4.860646e+02,-4.896628e+02,-4.896628e+02,-4.896628e+02,-4.896628e+02,-4.896628e+02,-4.896628e+02,-4.896628e+02,-4.896628e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.943093e+01,-7.778699e+01,-1.120669e+02,-1.215632e+02,-4.878088e+01,4.953485e+01,6.442081e+01,7.027638e+01,8.030183e+01,8.158580e+01,9.076807e+01,1.102663e+02,1.334296e+02,1.504501e+02,1.466343e+02,1.153072e+02,7.130309e+01,3.149564e+01,4.001716e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.458031e+01,-4.442570e+01,-5.176432e+01,-5.751176e+01,-2.897705e+01,-2.503290e+01,-4.393134e+01,-6.368961e+01,-7.314430e+01,-8.274074e+01,-1.015426e+02,-1.195702e+02,-1.184223e+02,-9.535991e+01,-7.396536e+01,-4.941495e+01,-3.416314e+01,-1.128893e+01,1.634917e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.496550e+01,8.535858e+01,9.616487e+01,9.884747e+01,1.035281e+02,7.432664e+01,6.760946e+01,5.946279e+01,3.649767e+01,2.062410e+01,6.751813e+00,-1.151041e+01,-2.955583e+01,-5.134408e+01,-6.261678e+01,-5.411759e+01,-4.347312e+01,-1.960186e+01,-3.432990e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.888949e+01,-3.705655e+01,-4.131340e+01,-4.873973e+01,-7.338929e+01,-8.635770e+01,-8.068909e+01,-7.861517e+01,-6.795268e+01,-6.151344e+01,-5.334335e+01,-3.903720e+01,-2.659193e+01,-1.330887e+01,3.108549e-01,6.671405e+00,5.220924e+00,-6.416878e-01,-1.103467e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.310641e+01,-1.012377e+01,-3.399715e+00,-4.843527e-01,-3.947231e+01,-5.040115e+01,-3.608842e+01,-2.923930e+01,-2.000917e+01,-9.995779e+00,-3.895053e+00,2.266583e-01,-2.846054e+00,-4.495927e+00,2.284251e+00,1.684448e+01,1.382621e+01,5.265263e+00,-8.750867e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.527718e+01,8.830786e+00,6.051069e+00,6.865839e+00,-2.966936e+01,-3.995171e+01,-3.968354e+01,-3.007875e+01,-3.326577e+01,-4.471658e+01,-4.488562e+01,-4.535626e+01,-4.723894e+01,-5.299553e+01,-5.062474e+01,-3.311640e+01,-1.794672e+01,-6.523695e+00,-1.424515e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.536908e+00,9.132347e+00,1.586426e+00,-2.845985e+00,-2.542273e+01,-2.614279e+01,-1.032405e+01,-2.842174e+00,6.041735e-01,1.374602e+01,1.282047e+01,4.586556e+00,-6.882231e+00,-1.412253e+01,-1.733916e+01,-2.025359e+01,-1.677694e+01,-9.080319e+00,6.622139e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.299167e+00,-5.715048e+00,-1.057165e+00,3.889873e-01,-8.809073e+00,-9.810171e+00,-1.044312e+01,-2.104213e+00,1.379222e+00,9.442518e+00,1.735046e+01,1.920866e+01,2.222023e+01,2.151459e+01,2.072009e+01,1.404725e+01,9.855706e+00,2.160476e+00,1.005766e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-9.009073e+00,-1.360166e+01,-7.624186e+00,-3.298749e+00,-9.870403e+00,-1.566683e+01,-1.217496e+01,-2.078537e+01,-3.321712e+01,-1.899577e+01,-1.401308e+01,-2.307715e+01,-2.994010e+01,-2.921322e+01,-2.370724e+01,-9.227087e+00,9.207462e+00,5.866451e+00,6.105679e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
