Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33
-5.074173e+02,-5.078702e+02,-5.094018e+02,-5.094018e+02,-5.094018e+02,-5.094018e+02,-4.561700e+02,-3.725464e+02,-3.165930e+02,-2.800819e+02,-2.545144e+02,-2.415805e+02,-2.305517e+02,-2.201735e+02,-2.065280e+02,-1.879502e+02,-1.451122e+02,-1.434967e+02,-1.387958e+02,-1.385610e+02,-1.700383e+02,-2.259662e+02,-3.048948e+02,-3.736109e+02,-4.433457e+02,-4.775243e+02,-4.940323e+02,-5.015171e+02,-5.052014e+02,-5.090940e+02,-5.091404e+02,-5.091478e+02,-5.094018e+02
2.027041e+00,1.570385e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.128798e+01,-8.149313e+01,-1.185638e+02,-1.306959e+02,-1.240395e+02,-1.041531e+02,-3.238625e+01,6.465549e+01,1.090774e+02,1.109214e+02,9.921803e+01,8.613215e+01,9.590565e+01,1.260699e+02,1.432021e+02,1.423512e+02,1.365253e+02,1.065929e+02,6.253322e+01,3.629714e+01,1.998123e+01,9.196951e+00,4.115124e+00,3.735605e-01,3.479128e-01,3.473983e-01,0.000000e+00
1.223446e-01,1.113288e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.182859e+01,-3.096076e+01,-4.474900e+01,-5.734779e+01,-5.401809e+01,-4.197964e+01,-1.268587e+01,-2.448224e+00,-1.782674e+01,-5.574401e+01,-7.435931e+01,-8.637370e+01,-1.046718e+02,-1.206763e+02,-1.173030e+02,-9.524765e+01,-5.699327e+01,-2.246359e+01,6.519679e+00,1.677605e+01,1.527531e+01,5.692826e+00,1.098142e+00,2.084704e-01,2.875391e-01,3.125896e-01,0.000000e+00
-1.847812e+00,-1.408067e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.658946e+01,9.732063e+01,9.745398e+01,9.144211e+01,9.173358e+01,8.894432e+01,9.117904e+01,8.063258e+01,4.917898e+01,3.548045e+01,2.797133e+01,1.670205e+01,-5.500607e+00,-2.635769e+01,-4.338739e+01,-5.413424e+01,-6.057933e+01,-4.066626e+01,-2.076304e+01,-5.560734e-01,9.044139e+00,3.864351e+00,1.588170e-01,-6.242203e-03,2.021459e-01,2.571352e-01,0.000000e+00
-2.788694e+00,-2.152020e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.997418e+01,-4.007596e+01,-3.618547e+01,-3.579203e+01,-3.958736e+01,-4.718118e+01,-7.355272e+01,-9.347462e+01,-8.735043e+01,-7.135527e+01,-6.189895e+01,-5.146232e+01,-4.107057e+01,-2.903306e+01,-2.352445e+01,-2.368170e+01,-9.807385e+00,-7.393217e+00,-1.949837e+01,-9.211190e+00,2.993834e+00,2.926452e+00,2.082495e-01,-2.015809e-01,1.092056e-01,1.846968e-01,0.000000e+00
-2.180050e+00,-1.712194e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.323823e+01,-1.161194e+01,-7.531512e+00,-3.791210e+00,-4.854512e+00,-6.758358e+00,-4.094255e+01,-6.198313e+01,-5.583571e+01,-4.560124e+01,-2.951370e+01,-1.340977e+01,-3.290135e+00,-5.560223e-01,-5.445168e+00,-1.254454e+01,-2.083273e+01,-2.249341e+01,-1.870062e+01,-1.135441e+01,-1.491540e+00,4.832144e-01,-1.530553e+00,-3.166030e-01,2.448913e-02,1.000617e-01,0.000000e+00
-3.643379e-01,-3.320388e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,2.069965e+01,1.355735e+01,8.638200e+00,1.299006e+01,1.677929e+01,1.146003e+01,-1.714211e+01,-2.790351e+01,-2.342241e+01,-3.246513e+01,-4.255124e+01,-4.271309e+01,-5.033021e+01,-5.056612e+01,-5.157444e+01,-4.675934e+01,-4.578530e+01,-3.904910e+01,-2.055743e+01,-1.065141e+01,-3.698331e+00,-2.320046e+00,-3.943401e+00,-3.188750e-01,-4.262763e-02,8.816764e-03,0.000000e+00
1.646336e+00,1.228094e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.461894e+01,-1.472451e+01,-1.851725e+01,-1.351333e+01,-9.542360e+00,-1.194985e+01,-3.297613e+01,-4.026279e+01,-2.822375e+01,-1.982336e+01,-7.968818e+00,2.515682e+00,1.079399e+00,2.769982e-01,-6.554577e+00,-1.006578e+01,-1.647820e+00,-5.360095e+00,-1.214465e+01,-7.862247e+00,-3.624721e+00,-2.212550e+00,-3.551945e+00,-2.150248e-01,-9.121609e-02,-8.301046e-02,0.000000e+00
2.735514e+00,2.110231e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-8.299850e+00,-5.266907e+00,-3.094862e+00,-2.966389e+00,-5.104292e+00,-4.067422e+00,-1.607677e+01,-2.773679e+01,-3.327377e+01,-1.595631e+01,-4.671904e+00,8.047183e+00,1.950753e+01,2.297170e+01,2.796012e+01,2.868361e+01,2.301493e+01,1.896526e+01,1.908161e-01,-3.029713e+00,-1.826666e+00,5.459716e-01,-5.800908e-01,-4.785369e-02,-1.275265e-01,-1.693544e-01,0.000000e+00
2.303549e+00,1.831055e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,8.479112e-02,-4.991446e+00,-7.496501e+00,-9.039105e+00,-1.052124e+01,-6.036056e+00,-9.010866e+00,-6.408794e+00,-1.456794e+01,-2.892496e+01,-1.742190e+01,-1.121161e+01,-1.744458e+01,-2.590587e+01,-2.846647e+01,-2.452760e+01,-1.608034e+01,-2.104197e+00,4.301711e+00,2.265145e+00,8.050470e-01,2.198024e+00,1.102811e+00,1.189954e-01,-1.609959e-01,-2.445144e-01,0.000000e+00
