Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30
-5.300718e+02,-5.064393e+02,-5.025205e+02,-5.053650e+02,-5.071432e+02,-5.043798e+02,-5.026534e+02,-3.884975e+02,-2.094168e+02,-1.672169e+02,-1.714539e+02,-1.064812e+02,-5.447862e+01,-2.159765e+01,7.199394e+00,-8.484648e+00,-7.739491e+01,-1.928009e+02,-3.312950e+02,-4.138743e+02,-4.748243e+02,-5.000520e+02,-5.042115e+02,-5.074240e+02,-5.092512e+02,-5.023800e+02,-5.024064e+02,-5.051851e+02,-5.091827e+02,-5.340111e+02
6.235443e+01,8.115031e+01,8.343095e+01,8.106261e+01,7.812224e+01,7.838759e+01,7.677090e+01,6.739587e+01,-1.130930e+01,-4.272197e+01,-6.693115e+01,-4.181922e+01,3.087870e+00,3.908140e+01,6.811534e+01,9.461591e+01,1.206103e+02,1.429838e+02,1.509528e+02,1.317155e+02,1.008051e+02,8.081437e+01,7.903733e+01,7.925748e+01,7.823129e+01,8.292036e+01,8.408862e+01,8.065243e+01,7.793147e+01,5.882900e+01
1.696565e+01,1.620220e+01,1.509637e+01,1.305719e+01,1.015787e+01,6.134169e+00,6.052587e+00,-5.915228e+01,-9.141976e+00,2.196463e+01,4.665957e+01,4.508434e+01,2.688837e+01,-3.033489e+01,-6.713145e+01,-6.305103e+01,-4.837606e+01,-2.588426e+01,-2.123199e+01,-1.431484e+01,4.425674e-01,3.672727e+00,8.015176e+00,1.177355e+01,1.377520e+01,1.371217e+01,1.593695e+01,1.293708e+01,1.170645e+01,1.659008e+01
6.570773e+00,4.832573e+00,4.585326e+00,2.684072e-03,-8.770101e-01,-3.876172e+00,1.051582e+00,2.688750e+01,2.273920e+01,2.410488e+01,1.647622e+01,7.442766e+00,8.770332e+00,-4.954195e+00,-2.516101e+01,-3.914916e+01,-4.363303e+01,-4.000060e+01,-2.138841e+01,-2.052600e+01,-1.408260e+01,-6.353061e+00,-1.962883e+00,-2.948756e+00,-9.875078e-01,-7.876225e-01,1.535089e+00,5.188575e-01,-2.681001e+00,5.893816e+00
2.348928e+01,2.582523e+01,2.399794e+01,1.896019e+01,2.051638e+01,2.137128e+01,2.272345e+01,4.067986e+01,2.304517e+01,1.609344e+01,1.553764e+00,-1.890932e+01,-2.001160e+01,-2.661891e+01,-4.940094e+01,-5.391792e+01,-5.094162e+01,-3.640563e+01,-2.332543e+00,1.470479e+01,1.706318e+01,1.926402e+01,2.050706e+01,1.665884e+01,1.643348e+01,1.602035e+01,1.815588e+01,2.018503e+01,1.810249e+01,1.990233e+01
2.630987e+01,2.624702e+01,2.054274e+01,1.802052e+01,2.069000e+01,2.385388e+01,2.478495e+01,7.458063e+00,2.073359e+01,2.829556e+01,2.979532e+01,8.624847e+00,2.544553e+00,2.130293e+01,4.759439e+01,5.342516e+01,5.928515e+01,4.692076e+01,2.337912e+01,1.912965e+01,1.913408e+01,2.070469e+01,2.100233e+01,1.935220e+01,1.886414e+01,1.958890e+01,1.993114e+01,2.170318e+01,2.131281e+01,2.306058e+01
8.462228e+00,5.900510e+00,3.247605e+00,3.712404e+00,6.776297e+00,7.156483e+00,8.978781e+00,-2.850802e+00,-1.388203e+01,-8.206319e+00,-3.801834e+00,-2.090678e+01,-2.562762e+01,-3.704055e+01,-5.015016e+01,-5.980874e+01,-5.857115e+01,-4.752616e+01,-2.219917e+01,-7.931795e+00,2.160712e-01,5.291237e+00,4.986136e+00,5.313706e+00,2.787619e+00,3.964829e+00,4.093143e+00,4.842307e+00,5.302261e+00,9.537561e+00
-2.144846e+00,-3.094802e+00,5.447986e-01,2.178709e+00,4.974062e+00,3.517471e+00,3.602432e+00,7.545398e+00,-2.066139e+00,-4.842198e+00,1.209016e-01,-5.267698e+00,1.135143e+00,2.727541e+01,5.095499e+01,4.844202e+01,4.241127e+01,3.273776e+01,9.799769e+00,-5.575935e+00,-1.779740e+00,2.687085e+00,5.474017e-01,1.075046e+00,-4.026207e+00,-4.242398e+00,-2.821702e+00,-3.163624e+00,-2.226957e+00,-1.332705e+00
5.230548e+00,4.084090e+00,4.875730e+00,6.703130e+00,9.670695e+00,1.217791e+01,1.079995e+01,-1.259394e+00,-1.587171e+01,-1.515577e+01,-4.999502e+00,-1.268196e+01,-1.561380e+01,-3.887858e+00,-1.308648e+01,-6.727273e+00,6.412303e+00,1.448356e+01,1.669046e+01,1.120723e+01,9.120386e+00,1.077710e+01,6.803266e+00,7.385090e+00,5.350430e+00,5.791079e+00,5.050364e+00,2.402168e+00,1.747376e+00,-1.170573e+00
1.212411e+01,7.400102e+00,1.911361e+00,1.737946e+00,6.263651e+00,9.727730e+00,4.533069e+00,-2.424636e-01,1.519341e+01,2.318359e+01,3.233659e+01,9.948074e+00,-1.127126e+01,-1.778975e+01,-1.359508e+01,-6.936115e+00,4.116858e+00,4.721496e+00,1.396936e+00,4.362024e+00,7.034449e+00,8.489423e+00,4.039440e+00,6.824019e+00,8.794146e+00,7.223542e+00,4.807817e+00,4.992380e+00,4.049635e+00,2.414861e+00
