Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27
-4.802865e+02,-4.708715e+02,-4.697994e+02,-4.681581e+02,-4.568448e+02,-3.441611e+02,-2.610707e+02,-2.251751e+02,-2.130440e+02,-2.041962e+02,-1.971402e+02,-1.549070e+02,-1.167300e+02,-8.203740e+01,-6.910617e+01,-7.774249e+01,-9.620439e+01,-6.072680e+01,-5.187850e+01,-8.064104e+01,-1.511998e+02,-2.418807e+02,-3.257751e+02,-3.766418e+02,-4.240135e+02,-4.460370e+02,-4.679010e+02
2.839312e+01,3.697704e+01,4.078403e+01,4.318442e+01,3.986552e+01,-1.109969e+01,-4.379326e+01,-5.763129e+01,-6.221442e+01,-7.563896e+01,-8.759506e+01,-4.321011e+01,9.332791e+00,3.938604e+01,3.731293e+01,3.545366e+01,4.920473e+01,6.071848e+01,8.642214e+01,1.157310e+02,1.514277e+02,1.764782e+02,1.656054e+02,1.296729e+02,8.200945e+01,5.561970e+01,3.611205e+01
8.770910e+00,9.186626e+00,1.528238e+01,1.734617e+01,2.048244e+01,2.654147e+01,2.367844e+01,2.684306e+01,3.527881e+01,4.567717e+01,4.751001e+01,4.873019e+01,1.734842e+01,-3.687896e+01,-4.933956e+01,-4.999202e+01,-3.606232e+01,-5.183981e+01,-5.441104e+01,-3.189716e+01,-1.409868e+01,-1.105961e+00,1.912718e+01,2.433227e+01,1.348744e+01,1.115399e+00,2.330381e+00
-2.035759e+00,-4.135468e+00,-7.372755e-01,5.962026e-02,8.288479e-01,1.282426e+01,2.928220e+01,2.641626e+01,1.096399e+01,1.250352e+01,2.071881e+01,2.523354e+01,3.004814e+01,2.804154e+01,1.375626e+01,1.975191e-01,-1.637455e+01,-3.153829e+01,-5.898914e+01,-7.654268e+01,-8.366920e+01,-7.281740e+01,-4.412952e+01,-3.174721e+01,-2.258389e+01,-1.717248e+01,-7.449448e+00
1.922652e-02,6.011378e-01,3.854339e-02,-4.270274e-01,4.317619e+00,3.306563e-01,-1.010881e+01,-1.421153e+01,-2.410021e+01,-2.747832e+01,-1.747888e+01,-1.893549e+01,-3.172295e+01,-5.111431e+01,-5.173490e+01,-4.646998e+01,-4.111095e+01,-4.021749e+01,-4.507591e+01,-4.059963e+01,-3.650776e+01,-2.316085e+01,-1.481882e+01,-2.321015e+01,-1.685347e+01,-1.337692e+00,2.751645e+00
6.851641e+00,8.296242e+00,7.029146e+00,6.574876e+00,1.063015e+01,1.896350e+01,1.581496e+01,1.342290e+01,9.127186e+00,8.931061e+00,1.014076e+01,6.386346e+00,8.057003e+00,2.112348e+01,3.128373e+01,3.655637e+01,4.000553e+01,4.193824e+01,4.097705e+01,4.045581e+01,4.073645e+01,2.909110e+01,8.462091e+00,-4.500684e+00,-5.105957e+00,8.291142e+00,6.649786e+00
1.253176e+01,1.127124e+01,9.636386e+00,1.019684e+01,9.823690e+00,-9.463153e+00,-1.157614e+01,-1.178447e+01,-5.886508e+00,2.171918e+00,1.031958e+00,-1.428874e+01,-1.021664e+01,-1.754761e+01,-2.389995e+01,-2.815940e+01,-2.579948e+01,-3.102095e+01,-3.448100e+01,-4.277068e+01,-4.463672e+01,-2.510375e+01,-9.605585e+00,-4.409574e+00,-3.767140e+00,3.263166e+00,2.822564e+00
1.507623e+01,1.227728e+01,8.262929e+00,9.575160e+00,7.020926e+00,1.885507e+01,1.894193e+01,2.510194e+01,3.456126e+01,3.354196e+01,3.146932e+01,4.645366e+00,-4.268276e+00,8.298952e+00,2.353848e+01,2.715363e+01,2.506899e+01,2.084341e+01,2.039791e+01,1.721164e+01,6.742030e+00,-7.674883e+00,-1.268557e+01,-3.524336e+00,1.046994e+00,4.189750e+00,6.476399e+00
1.135244e+01,1.020713e+01,6.921297e+00,8.479469e+00,1.258076e+01,7.172422e+00,-2.505839e+00,-1.933910e+00,-9.034351e-01,-2.188801e+00,-4.302328e+00,-2.645160e+01,-1.705541e+01,1.541440e+00,5.276553e+00,9.063001e+00,1.125434e+01,7.785704e+00,4.995998e+00,7.676454e+00,7.601988e+00,1.945575e+00,3.414772e+00,9.431121e+00,1.267954e+01,1.082355e+01,1.288082e+01
1.359410e+00,1.412684e+00,4.350746e+00,6.491219e+00,5.901595e+00,-6.096903e+00,-6.513455e+00,-1.126130e+00,2.632001e+00,-1.886907e+00,-1.009301e+01,-2.553570e+01,-1.975197e+01,-7.636913e+00,-1.294368e+00,-3.485469e+00,3.435143e+00,1.183109e+01,1.409004e+01,1.615314e+01,1.794881e+01,1.642112e+01,1.565363e+01,1.553646e+01,1.468734e+01,4.528718e+00,5.450105e+00
-7.073834e+00,-8.586889e+00,-2.005942e+00,1.052216e+00,-2.438143e+00,8.694248e+00,8.734627e+00,8.716236e+00,1.300184e+01,8.983267e+00,-6.908969e-01,-9.573223e+00,-1.527995e+01,-2.021453e+01,-2.138855e+01,-2.149280e+01,-2.404090e+01,-1.675022e+01,-2.052313e+01,-2.279953e+01,-1.950089e+01,-1.523694e+01,-5.433388e+00,4.506546e+00,2.820622e+00,-1.099302e+01,-1.059272e+01
-7.123312e+00,-1.013997e+01,-8.653522e+00,-5.702236e+00,-4.585985e+00,-8.101988e+00,-1.261141e+01,-1.904544e+01,-1.999506e+01,-2.204510e+01,-1.834984e+01,-1.795742e+01,-1.531257e+01,-8.247157e+00,-2.949013e+00,6.142334e-01,-4.465859e+00,-4.457335e+00,-3.046254e+00,-6.612540e+00,-1.068751e+01,-1.172696e+01,-1.022292e+01,-8.218800e+00,-6.862621e+00,-1.405974e+01,-1.497139e+01
-2.385003e+00,-4.125242e+00,-9.454916e+00,-8.336481e+00,-8.089052e+00,-1.418834e+01,-9.534779e+00,-6.284952e+00,-7.774933e+00,-6.955218e+00,-2.041210e+00,-7.468154e-01,-1.014885e+01,-2.094184e+01,-2.388187e+01,-1.836198e+01,-1.825801e+01,-2.363872e+01,-2.210862e+01,-1.762356e+01,-1.262714e+01,-6.419761e+00,-5.766412e+00,-1.081484e+01,-6.174207e+00,-3.881068e+00,-6.081211e+00
