Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28
-5.024129e+02,-4.924098e+02,-4.948471e+02,-4.840239e+02,-3.680580e+02,-2.749927e+02,-2.345879e+02,-2.161752e+02,-1.991948e+02,-1.873916e+02,-1.665610e+02,-1.397239e+02,-1.178494e+02,-7.588363e+01,-6.450280e+01,-7.065886e+01,-5.544814e+01,-5.561847e+01,-7.895174e+01,-1.344157e+02,-2.213115e+02,-3.149775e+02,-3.814868e+02,-4.476594e+02,-4.826722e+02,-4.884818e+02,-4.843796e+02,-4.913519e+02
3.853786e+01,4.739744e+01,4.473943e+01,4.664335e+01,-1.181514e+01,-4.477334e+01,-5.662807e+01,-6.011166e+01,-6.965813e+01,-7.891420e+01,-5.307106e+01,-1.090378e+01,2.716475e+01,4.083240e+01,3.800690e+01,4.100191e+01,5.624966e+01,8.316061e+01,1.145420e+02,1.473809e+02,1.741272e+02,1.861674e+02,1.483481e+02,8.849239e+01,5.390342e+01,4.787651e+01,5.015109e+01,4.462437e+01
1.517602e+01,1.504511e+01,1.395973e+01,1.444285e+01,3.279483e+01,2.869157e+01,2.681176e+01,2.641656e+01,2.616349e+01,2.708647e+01,4.698011e+01,4.532259e+01,5.596147e+00,-4.795925e+01,-5.689593e+01,-6.254702e+01,-7.680775e+01,-8.642921e+01,-7.195470e+01,-4.580054e+01,-1.525173e+01,7.191343e+00,2.219803e+01,1.988105e+01,1.126582e+01,1.084988e+01,7.831751e+00,8.496288e+00
-6.478810e-01,-3.175210e+00,-3.300911e+00,-7.902497e+00,8.782004e-01,1.883245e+01,1.880947e+01,1.872952e+01,2.151593e+01,2.189709e+01,3.265251e+01,3.602831e+01,4.041017e+01,3.533244e+01,1.814455e+01,1.971550e+00,-3.905352e-01,-1.779033e+01,-4.216068e+01,-5.548371e+01,-5.178048e+01,-3.941525e+01,-2.438447e+01,-6.166517e+00,-4.321643e+00,-1.337003e-01,-3.134501e+00,-3.070879e+00
-9.717082e-01,2.818499e-01,-7.492554e-02,-1.159613e+00,-1.336478e+01,-1.193973e+01,-6.642120e+00,-5.361011e+00,-5.703681e+00,-1.586062e+00,-1.689580e+00,-1.632328e+01,-3.852731e+01,-5.861996e+01,-5.751442e+01,-4.743108e+01,-4.216460e+01,-3.886292e+01,-3.738699e+01,-3.264883e+01,-1.408129e+01,3.202941e+00,1.260005e+00,1.009128e+01,9.420090e+00,1.174630e+01,1.208523e+01,8.701700e+00
7.412210e+00,1.094623e+01,9.594758e+00,1.348159e+01,2.495762e+01,1.952134e+01,1.709324e+01,2.506422e+01,2.369930e+01,1.593674e+01,9.815669e+00,1.261880e+01,1.449481e+01,2.382535e+01,2.580396e+01,4.181972e+01,5.453062e+01,5.316238e+01,4.253242e+01,3.485618e+01,3.036888e+01,1.963704e+01,1.421708e+01,2.070289e+01,2.034161e+01,1.653825e+01,1.769662e+01,1.631960e+01
1.455898e+01,1.626872e+01,1.412723e+01,1.063446e+01,8.174449e-01,-2.250148e+00,-3.161865e+00,-1.660236e+00,-6.497076e-01,-1.756711e+00,-1.356952e+01,-1.070403e+01,-9.735883e+00,-1.368369e+01,-1.139440e+01,-1.497952e+01,-2.078194e+01,-2.524160e+01,-2.354720e+01,-1.898758e+01,-1.530140e+01,-7.295823e+00,2.622262e+00,1.232224e+01,1.434095e+01,9.381818e+00,9.307982e+00,1.251462e+01
1.559884e+01,1.503888e+01,1.313847e+01,1.500909e+01,3.298936e+01,3.955125e+01,4.215856e+01,3.774430e+01,3.116889e+01,2.823491e+01,1.376554e+01,-3.570750e+00,-1.044385e+00,2.518631e+01,3.534076e+01,3.614376e+01,3.290378e+01,2.839845e+01,2.070641e+01,1.226806e+01,5.614842e+00,2.342315e+00,7.023042e+00,7.579290e+00,6.598377e+00,8.007729e+00,8.814089e+00,1.045820e+01
1.076682e+01,9.615799e+00,8.710176e+00,1.046623e+01,-1.064193e+01,-5.200101e+00,-2.297636e+00,-7.053690e+00,-8.090832e+00,1.924403e+00,-1.203898e+01,-1.756642e+01,-2.007341e+00,4.283086e+00,7.139463e+00,3.759152e+00,4.894848e+00,8.907867e+00,1.922268e+01,2.411330e+01,2.463914e+01,2.572401e+01,2.098441e+01,1.086643e+01,7.252005e+00,1.355605e+01,1.697153e+01,1.266674e+01
3.498681e+00,2.120276e+00,1.780860e+00,6.559726e+00,1.192614e+01,5.409659e+00,-4.085121e+00,-9.956800e+00,-3.324411e+00,3.187771e+00,-1.106801e+01,-1.385194e+01,-8.691521e+00,3.374895e+00,2.731497e+00,-5.847586e+00,-5.811730e+00,-8.012760e+00,-5.505231e+00,-3.730767e+00,1.295300e+00,9.389831e+00,1.192651e+01,6.081949e+00,7.149799e+00,1.030629e+01,1.445965e+01,9.524524e+00
-2.048266e+00,-3.671398e+00,-4.152580e+00,1.614143e-01,1.414652e+01,1.299323e+01,8.969164e+00,9.853683e+00,1.083636e+01,6.428204e+00,-7.438152e+00,-2.014907e+01,-2.037156e+01,-2.592948e+01,-2.918098e+01,-3.225083e+01,-2.716377e+01,-2.974844e+01,-3.008641e+01,-3.034879e+01,-2.412696e+01,-1.488334e+01,-7.367411e+00,-5.676685e+00,3.964694e-01,-2.010641e+00,4.410989e-01,8.453028e-01
-4.386606e+00,-5.161180e+00,-5.286637e+00,-7.905583e+00,-2.930829e+01,-2.827968e+01,-2.391425e+01,-1.498072e+01,-1.034897e+01,-1.198606e+01,-2.286282e+01,-2.339835e+01,-1.507107e+01,-4.282867e-01,6.623855e+00,9.542303e+00,1.156495e+01,1.095739e+01,7.395301e+00,5.336045e+00,8.353328e-01,-5.139487e+00,-6.924002e+00,-9.011679e+00,-4.067641e+00,-7.101118e+00,-6.804749e+00,-4.265924e+00
-4.719125e+00,-4.344683e+00,-2.944536e+00,9.280706e-01,7.698728e+00,5.253735e+00,7.922217e+00,2.852281e+00,3.193020e+00,4.995322e+00,-9.325786e-01,-3.866072e+00,-1.745026e+01,-2.884545e+01,-2.523516e+01,-1.787936e+01,-9.655029e+00,-1.365951e+00,2.574269e+00,3.445635e+00,3.373129e+00,6.965050e+00,9.568772e-01,-5.294845e+00,-3.489208e-01,-1.280207e+00,-2.653443e+00,-3.631565e+00
