Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34
-5.514075e+02,-5.514075e+02,-5.514075e+02,-5.514075e+02,-5.508295e+02,-5.360521e+02,-4.950671e+02,-4.390556e+02,-3.935410e+02,-3.516799e+02,-3.157978e+02,-3.039325e+02,-2.759041e+02,-1.511938e+02,-4.500818e+01,-1.690580e+01,-4.598441e+01,-9.430836e+01,-1.409411e+02,-2.333871e+02,-3.520768e+02,-4.308915e+02,-4.676129e+02,-4.987266e+02,-5.380282e+02,-5.496146e+02,-5.512460e+02,-5.514075e+02,-5.511514e+02,-5.512734e+02,-5.514075e+02,-5.514075e+02,-5.514075e+02,-5.514075e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-4.006068e-01,-1.228037e+01,-4.294014e+01,-8.128705e+01,-9.118349e+01,-8.399680e+01,-7.898178e+01,-8.195124e+01,-2.475774e+01,1.019131e+02,1.210938e+02,1.248029e+02,1.599511e+02,2.052233e+02,2.125717e+02,1.985045e+02,1.581740e+02,1.160149e+02,8.570199e+01,5.533107e+01,1.389917e+01,2.400546e+00,2.199254e-01,0.000000e+00,2.332091e-01,1.220858e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.976030e-01,-6.614905e+00,-2.565241e+01,-4.655241e+01,-5.550585e+01,-5.999944e+01,-6.392826e+01,-6.788477e+01,-3.602951e+01,-8.485809e+01,-1.095902e+02,-1.128706e+02,-1.120207e+02,-1.126885e+02,-8.882233e+01,-5.909649e+01,-1.863890e+01,1.629284e+01,2.063589e+01,1.567149e+01,3.030760e+00,2.018448e+00,1.950659e-01,0.000000e+00,-6.192595e-02,-3.241862e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,7.477717e-01,1.747936e+01,5.478671e+01,7.667964e+01,8.128793e+01,7.846004e+01,6.651810e+01,5.987882e+01,7.806483e+01,4.998153e+01,1.127172e+01,-2.001644e+01,-4.019558e+01,-2.874647e+01,-3.664001e+01,-5.289697e+01,-5.470826e+01,-3.113829e+01,-1.866870e+01,-1.179547e+01,-5.675022e+00,1.452093e+00,1.557249e-01,0.000000e+00,-3.129489e-01,-1.638298e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.634779e-01,-1.329392e+01,-2.883625e+01,-2.176193e+01,-2.697861e+01,-3.873310e+01,-4.964881e+01,-4.950092e+01,-4.387864e+01,-4.101856e+01,-4.046854e+01,-4.570452e+01,-6.207896e+01,-8.247406e+01,-7.487268e+01,-5.806346e+01,-2.635949e+01,-1.730376e+01,-1.669108e+01,-1.505510e+01,-8.380423e+00,7.888340e-01,1.048730e-01,0.000000e+00,-3.410468e-01,-1.785401e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-2.828617e-01,1.608509e+00,-8.202374e+00,-1.841416e+01,-2.126347e+01,-2.628951e+01,-2.597515e+01,-2.017412e+01,-3.339916e+01,-4.104914e+01,-3.063780e+01,-2.409251e+01,-1.978358e+01,-1.637251e+01,-1.532329e+01,-1.563531e+01,-2.094596e+00,2.940434e+00,-4.109395e+00,-8.703897e+00,-7.271919e+00,1.198750e-01,4.634124e-02,0.000000e+00,-1.262045e-01,-6.606848e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,5.803947e-01,7.328331e+00,1.974675e+01,1.350888e+01,9.163366e+00,9.655207e+00,7.596752e+00,1.037837e+01,-1.578459e+01,-4.650835e+01,-4.564026e+01,-3.806131e+01,-2.162075e+01,-2.663325e+00,1.218349e+01,1.623634e+01,5.965776e+00,1.194835e-02,-5.728167e+00,-8.134170e+00,-5.484241e+00,-4.795359e-01,-1.546004e-02,0.000000e+00,1.785379e-01,9.346578e-02,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.772984e-01,-1.036963e+01,-1.288985e+01,-1.607964e+00,-2.535017e+00,2.315320e+00,5.090933e+00,8.034236e+00,-2.213146e+01,-4.486728e+01,-3.373446e+01,-2.500654e+01,-2.875219e+01,-3.947845e+01,-3.562157e+01,-3.204060e+01,-1.761570e+01,-1.045461e+01,-1.251143e+01,-1.042670e+01,-3.076864e+00,-9.634816e-01,-7.588841e-02,0.000000e+00,3.561012e-01,1.864202e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-5.817489e-02,8.836757e+00,7.914942e+00,4.552670e+00,-4.986625e-01,1.837019e+00,-2.883117e+00,-2.890311e+00,-2.320174e+01,-1.275691e+01,-2.108594e+01,-1.616140e+01,-1.826431e+01,-1.768362e+01,-1.985755e+01,-3.012500e+01,-2.692772e+01,-7.749916e+00,-7.457479e+00,-5.252528e+00,8.949416e-01,-1.318886e+00,-1.304152e-01,0.000000e+00,2.800005e-01,1.465792e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.102736e-01,-2.888487e+00,-4.948219e+00,-5.634157e+00,-3.936461e+00,-1.065132e+00,-2.050057e+00,-1.858080e+00,-2.669799e+01,-2.028218e+01,1.398770e+00,1.350537e+01,1.631758e+01,-3.028182e+00,-3.890092e+00,-3.985301e+00,-4.385727e-01,3.426726e+00,4.847301e+00,5.329256e+00,4.649732e+00,-1.558962e+00,-1.749800e-01,0.000000e+00,4.445061e-03,2.326988e-03,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
