Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29
-5.108225e+02,-4.900858e+02,-4.659216e+02,-4.160455e+02,-3.810915e+02,-3.568703e+02,-3.378596e+02,-2.586804e+02,-1.717616e+02,-1.116458e+02,-1.022123e+02,-1.067543e+02,-8.807592e+01,-8.613073e+01,-1.071420e+02,-1.578535e+02,-2.380238e+02,-3.200143e+02,-3.900651e+02,-4.481476e+02,-4.771208e+02,-4.812285e+02,-4.834759e+02,-4.800905e+02,-4.766805e+02,-4.768917e+02,-4.809797e+02,-4.818118e+02,-4.985443e+02
5.426237e+01,7.058011e+01,6.786239e+01,5.973486e+01,5.432565e+01,4.951686e+01,4.717033e+01,7.830882e+01,8.794859e+01,8.748127e+01,8.624176e+01,9.666433e+01,1.121230e+02,1.368656e+02,1.543743e+02,1.697934e+02,1.785537e+02,1.642635e+02,1.385388e+02,1.033089e+02,8.244250e+01,8.034210e+01,7.709450e+01,7.675636e+01,7.874945e+01,8.025539e+01,7.888278e+01,7.823855e+01,6.609229e+01
1.565719e+01,1.494796e+01,5.159201e+00,-1.577018e+00,-1.472605e+00,-2.950911e+00,-2.729514e+00,-1.641879e+01,-3.546719e+01,-6.515627e+01,-6.990561e+01,-7.191852e+01,-8.386292e+01,-7.739157e+01,-6.203395e+01,-4.184334e+01,-1.539633e+01,-3.011494e+00,-4.646087e+00,1.588744e+00,1.317096e+01,1.726805e+01,1.470975e+01,7.878547e+00,7.238333e+00,9.241497e+00,1.248646e+01,1.361007e+01,1.750055e+01
2.010810e+00,2.348672e+00,1.907281e+00,-1.759853e+00,-2.402244e+00,4.493725e-02,4.879505e+00,-5.331861e-01,-1.189861e+01,-2.014833e+01,-2.229099e+01,-4.346257e+01,-5.835698e+01,-6.614440e+01,-5.984084e+01,-4.886631e+01,-3.993161e+01,-3.412038e+01,-3.458743e+01,-2.723413e+01,-6.808678e+00,-5.332690e-01,-2.699236e+00,-7.288803e+00,-5.783991e+00,-8.070562e+00,-6.389890e+00,-3.750317e+00,3.003464e-01
1.036806e+01,1.484549e+01,2.848217e+01,4.019207e+01,3.746939e+01,3.658379e+01,3.942254e+01,3.170017e+01,8.565496e-01,-1.835420e+01,-2.239564e+01,-2.712310e+01,-2.641220e+01,-3.601592e+01,-4.039026e+01,-4.101944e+01,-3.136990e+01,-1.013657e+01,-1.887246e+00,5.702322e-01,1.059193e+01,1.517640e+01,1.276749e+01,1.315209e+01,1.582695e+01,1.159736e+01,1.181116e+01,1.282144e+01,1.153032e+01
1.628644e+01,1.569913e+01,2.440447e+00,-5.431380e+00,-9.184523e+00,-8.175658e+00,-1.381986e+00,1.451922e+00,1.714717e+01,3.788591e+01,4.961329e+01,5.657013e+01,6.125293e+01,5.629208e+01,5.312092e+01,5.013180e+01,4.700073e+01,3.274638e+01,1.883286e+01,1.820654e+01,1.772224e+01,1.902685e+01,1.885586e+01,1.888223e+01,1.931960e+01,1.870258e+01,1.865698e+01,1.610544e+01,1.685878e+01
1.512967e+01,1.147563e+01,8.392529e+00,9.382427e+00,1.201434e+01,2.165063e+01,3.085017e+01,7.854506e+00,-2.467915e+01,-3.320461e+01,-2.877597e+01,-2.893807e+01,-3.043284e+01,-3.054443e+01,-2.814981e+01,-2.783307e+01,-1.856344e+01,-1.187648e+01,8.218945e-01,1.383546e+01,1.077223e+01,8.665279e+00,9.579041e+00,8.312211e+00,8.031466e+00,9.870405e+00,8.272469e+00,4.962650e+00,9.094549e+00
1.350491e+01,1.302628e+01,1.329820e+01,4.250354e+00,2.394440e+00,2.037626e+00,-2.106972e+00,-1.169995e+01,5.008147e+00,2.726287e+01,3.392493e+01,3.073342e+01,2.261243e+01,1.508740e+01,8.030897e+00,6.660792e-01,-4.862168e+00,2.228615e+00,2.332221e+00,5.520791e+00,6.752230e+00,3.476567e+00,7.719339e-01,1.728112e+00,3.257770e+00,5.645179e+00,2.730043e+00,1.480449e+00,4.323645e+00
1.034676e+01,1.150763e+01,1.413260e+01,1.238552e+01,8.832205e+00,4.245982e+00,4.042259e-01,-1.075855e+01,-8.391783e+00,-3.062173e+00,-1.861557e+00,-1.488121e+00,-1.191899e+00,-3.499501e-01,-2.323804e+00,-2.030791e+00,9.229747e-01,-1.999448e+00,1.840279e+00,2.101736e+00,6.328721e+00,4.324521e+00,1.676949e+00,3.409313e+00,5.747534e+00,9.824722e+00,6.041452e+00,5.514804e+00,6.515518e+00
4.570990e+00,4.911461e+00,1.449021e+00,7.589538e+00,8.015467e+00,7.900826e+00,1.026312e+01,-5.370804e+00,-2.677216e+00,2.906881e+00,2.773216e+00,3.549435e+00,1.084333e+01,1.720913e+01,2.092182e+01,1.587221e+01,9.657106e+00,4.876022e+00,2.852786e+00,5.268206e+00,6.511078e+00,5.189162e+00,6.957830e+00,5.167458e+00,6.601278e+00,9.258020e+00,7.772379e+00,7.085293e+00,7.725253e+00
