Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26
-5.221055e+02,-4.790898e+02,-4.094515e+02,-3.639974e+02,-3.553578e+02,-3.543201e+02,-2.558991e+02,-1.809065e+02,-1.354853e+02,-1.071275e+02,-9.457413e+01,-8.622110e+01,-9.576031e+01,-1.297739e+02,-1.931850e+02,-2.898284e+02,-3.892307e+02,-4.525271e+02,-5.044095e+02,-5.151349e+02,-5.095256e+02,-5.075597e+02,-5.092923e+02,-5.149743e+02,-5.131273e+02,-5.146980e+02
5.227213e+01,8.167547e+01,7.455119e+01,5.487488e+01,4.389992e+01,4.598639e+01,8.822147e+01,9.857410e+01,9.248492e+01,8.589906e+01,1.029570e+02,1.284302e+02,1.504465e+02,1.618499e+02,1.698086e+02,1.723920e+02,1.489644e+02,1.091031e+02,6.689619e+01,5.982755e+01,6.437311e+01,6.371497e+01,6.198947e+01,6.030671e+01,6.180170e+01,6.104936e+01
1.897006e+01,9.059769e+00,-1.157785e+01,-1.729876e+01,-8.110584e+00,-2.341304e+00,-2.607003e+01,-3.794952e+01,-5.315411e+01,-6.819751e+01,-8.440149e+01,-9.344206e+01,-8.434790e+01,-6.321120e+01,-3.666695e+01,-9.061265e+00,2.627427e+00,7.370252e+00,1.507512e+01,2.157865e+01,2.046678e+01,1.553678e+01,1.466838e+01,1.984525e+01,2.102708e+01,2.133936e+01
8.808293e+00,1.380953e+00,-2.114381e+00,1.712797e+00,1.371309e+01,2.076775e+01,9.146965e+00,2.642076e+00,-5.362743e+00,-1.304288e+01,-2.897326e+01,-4.459750e+01,-5.393715e+01,-4.894901e+01,-4.659108e+01,-3.966407e+01,-2.384134e+01,-2.266858e+01,-3.081032e+00,7.080281e+00,4.150793e+00,3.897152e-01,1.275009e-01,6.231633e-01,3.703433e+00,2.037565e+00
1.834294e+01,1.882441e+01,3.148905e+01,3.736547e+01,3.972723e+01,2.950828e+01,1.748235e+01,-1.181458e+00,-1.372925e+01,-2.536507e+01,-3.053128e+01,-2.759820e+01,-3.611387e+01,-4.034321e+01,-3.032901e+01,-8.815251e+00,1.051958e+01,5.246842e+00,1.034478e+01,1.500023e+01,1.377687e+01,1.355844e+01,1.452546e+01,9.131544e+00,1.150465e+01,8.641541e+00
1.915333e+01,1.049568e+01,-5.224059e+00,-8.022319e+00,-1.254535e+01,-1.153186e+01,1.037780e+01,2.884100e+01,4.348885e+01,5.262093e+01,5.808588e+01,6.105683e+01,5.775545e+01,5.772259e+01,5.145234e+01,3.847520e+01,2.485443e+01,2.066932e+01,1.885401e+01,1.873606e+01,1.874962e+01,1.986176e+01,2.267516e+01,1.975683e+01,1.815153e+01,1.699545e+01
5.870508e+00,3.054265e-01,7.386004e+00,1.229910e+01,1.572553e+01,1.977913e+01,-7.350659e+00,-3.082210e+01,-3.781301e+01,-3.466108e+01,-2.777509e+01,-2.773217e+01,-2.753569e+01,-2.746519e+01,-2.597091e+01,-1.292648e+01,6.934582e+00,1.457759e+01,1.248963e+01,1.209192e+01,1.106925e+01,1.143471e+01,1.494253e+01,1.548442e+01,1.240613e+01,1.249460e+01
-1.963454e+00,3.534081e+00,1.236295e+01,2.036737e+01,1.928976e+01,1.357528e+01,-1.083194e+01,4.630161e+00,2.527380e+01,2.583362e+01,2.174708e+01,1.990782e+01,1.623777e+01,1.051823e+01,1.071151e+01,4.685437e+00,3.543242e+00,1.134756e+01,6.647170e+00,7.896907e+00,5.859194e+00,5.438520e+00,5.618219e+00,5.406488e+00,4.405687e+00,4.210012e+00
4.341750e+00,6.486924e+00,4.876609e+00,4.199807e+00,8.541602e-01,-7.247663e+00,-6.399687e+00,-6.854686e-01,-1.569710e+00,-1.606726e+00,-1.403818e+00,2.717016e+00,6.307972e+00,5.565175e+00,2.828833e+00,-3.808519e+00,2.870270e+00,1.066325e+01,6.875764e+00,8.866180e+00,8.774639e+00,7.131967e+00,3.499030e+00,3.218581e+00,3.079603e+00,4.042459e+00
1.209934e+01,8.256256e+00,4.876076e+00,2.220296e+00,4.932565e+00,3.661846e+00,-1.103570e+01,-5.552527e+00,1.114874e+01,1.133587e+01,8.718224e+00,6.043664e+00,1.060710e+01,1.583143e+01,1.752144e+01,1.236477e+01,4.217724e+00,5.702710e+00,5.667896e+00,7.038013e+00,1.111667e+01,8.201811e+00,5.661401e+00,6.926076e+00,5.499197e+00,8.972891e+00
