Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28
-5.103142e+02,-4.974147e+02,-4.910510e+02,-4.444010e+02,-3.792743e+02,-3.487694e+02,-3.236259e+02,-2.204291e+02,-1.340440e+02,-1.086336e+02,-1.280096e+02,-1.347667e+02,-1.437202e+02,-1.167197e+02,-9.928149e+01,-1.377742e+02,-2.061824e+02,-2.933620e+02,-3.769275e+02,-4.415504e+02,-4.950607e+02,-5.035580e+02,-5.008346e+02,-5.031294e+02,-5.042576e+02,-5.030208e+02,-5.056997e+02,-5.095238e+02
3.261678e+01,4.645011e+01,5.230626e+01,6.232536e+01,3.937939e+01,2.452986e+01,3.282130e+01,9.011951e+01,9.069110e+01,7.583716e+01,7.139693e+01,6.597049e+01,7.038369e+01,1.053233e+02,1.333775e+02,1.522102e+02,1.648004e+02,1.683781e+02,1.445993e+02,9.737312e+01,4.528482e+01,3.964053e+01,4.301340e+01,4.119652e+01,3.906717e+01,3.902483e+01,3.630273e+01,3.108218e+01
1.688411e+01,2.207416e+01,2.345807e+01,8.762274e+00,5.487348e+00,1.640690e+00,-2.365458e+00,-1.687340e+01,-4.291187e+01,-5.485724e+01,-5.099198e+01,-5.658681e+01,-5.985265e+01,-7.933109e+01,-8.142820e+01,-6.427930e+01,-2.809807e+01,4.812404e+00,1.893013e+01,2.023842e+01,1.335194e+01,1.889624e+01,2.072641e+01,2.174562e+01,1.985191e+01,1.733496e+01,1.639939e+01,1.220184e+01
7.873384e+00,7.930305e+00,8.800121e+00,9.400738e+00,8.741658e+00,1.294932e+01,9.840778e+00,-6.418505e+00,-6.966102e+00,-9.187273e+00,-2.032165e+01,-2.349281e+01,-2.442031e+01,-4.481103e+01,-5.852898e+01,-5.978566e+01,-5.136919e+01,-4.441165e+01,-3.167185e+01,-1.895460e+01,-2.139189e+00,6.920964e+00,6.148459e+00,8.474794e+00,9.318546e+00,7.563754e+00,7.569941e+00,5.879421e+00
1.019947e+01,1.027256e+01,1.089428e+01,1.919694e+01,2.051641e+01,2.500753e+01,2.432774e+01,2.765773e+00,-1.982061e+01,-2.584789e+01,-2.763189e+01,-3.085750e+01,-2.888123e+01,-3.430144e+01,-4.848703e+01,-4.930172e+01,-3.922901e+01,-1.920849e+01,-3.851173e+00,-5.032253e+00,4.979047e+00,9.389265e+00,5.834128e+00,6.553013e+00,1.017401e+01,1.112898e+01,1.202282e+01,1.351927e+01
1.578660e+01,1.668195e+01,1.361480e+01,-2.217653e-02,-1.529887e+01,-1.156355e+01,-1.597362e+01,-1.902012e+01,1.188498e+01,3.785646e+01,5.553578e+01,6.864851e+01,7.246739e+01,6.817175e+01,6.154922e+01,5.765229e+01,5.243736e+01,3.746947e+01,2.342390e+01,1.722559e+01,1.467758e+01,1.524448e+01,1.059865e+01,8.671154e+00,1.185842e+01,1.345597e+01,1.571739e+01,1.856614e+01
1.578857e+01,1.540733e+01,9.540405e+00,1.323868e+01,1.817969e+01,1.903905e+01,1.611618e+01,-2.108560e+01,-3.768351e+01,-3.143707e+01,-2.192862e+01,-2.732127e+01,-2.623438e+01,-2.863245e+01,-3.830312e+01,-4.073477e+01,-3.546140e+01,-2.342983e+01,1.039793e+00,1.511387e+01,1.248428e+01,1.335872e+01,1.048592e+01,8.136164e+00,8.525461e+00,8.245188e+00,1.082675e+01,1.176384e+01
1.010576e+01,8.091289e+00,4.765327e+00,2.061547e+01,2.541343e+01,1.542301e+01,8.587837e+00,-2.219199e+00,1.161274e+01,2.821214e+01,3.073727e+01,1.986309e+01,1.819944e+01,1.672184e+01,1.146771e+01,5.717816e+00,-2.400208e+00,-3.166910e+00,-5.377890e+00,1.835441e+00,5.451411e+00,5.498450e+00,5.673940e+00,5.867152e+00,4.529927e+00,2.815459e+00,4.212369e+00,2.046735e+00
4.054362e+00,2.417180e+00,4.591771e+00,-6.566300e+00,-2.184119e+01,-2.672563e+01,-3.394987e+01,-1.975576e+01,-9.275038e+00,-5.843732e+00,-4.079098e+00,-4.567117e+00,-3.746939e+00,1.421015e+00,1.299901e+00,9.916559e+00,1.662378e+01,8.901529e+00,-1.725310e+00,-2.262264e-01,4.680188e+00,4.884388e-01,1.561267e+00,4.214236e+00,3.762123e+00,2.729580e+00,3.565679e+00,2.147915e-01
2.987769e-01,2.652004e-01,6.641831e+00,1.214759e+00,7.978456e+00,1.366610e+01,9.330091e+00,-4.134130e+00,-1.968300e+00,1.801934e+00,2.966866e+00,6.630748e+00,8.160082e+00,5.268554e+00,-2.636607e+00,2.731402e-01,5.791621e+00,3.426125e+00,5.812373e+00,5.122271e+00,7.249592e+00,1.204287e+00,-3.056146e-01,1.398230e+00,2.950341e+00,3.974825e+00,5.958832e+00,3.317830e+00
