Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27
-4.908295e+02,-4.765641e+02,-4.578178e+02,-4.083589e+02,-3.422814e+02,-3.057691e+02,-2.806446e+02,-2.385619e+02,-1.480163e+02,-6.560069e+01,-2.496369e+01,-4.927827e+01,-8.876216e+01,-9.003072e+01,-9.911642e+01,-1.251298e+02,-1.652098e+02,-2.289922e+02,-2.834142e+02,-3.288771e+02,-3.827097e+02,-4.453900e+02,-4.719231e+02,-4.751850e+02,-4.810258e+02,-4.763350e+02,-4.773471e+02
1.827731e+01,3.317059e+01,4.701780e+01,3.667062e+01,3.704000e+00,-9.767056e+00,-1.706648e+01,1.296197e+00,5.564146e+01,8.346724e+01,6.854362e+01,4.739612e+01,2.574188e+01,2.936272e+01,4.973048e+01,8.003263e+01,1.162487e+02,1.532929e+02,1.722181e+02,1.583463e+02,1.162956e+02,5.931254e+01,3.717868e+01,3.424576e+01,2.911954e+01,3.448138e+01,3.395532e+01
1.125423e+01,1.564398e+01,1.621968e+01,2.487170e+01,3.078318e+01,3.571962e+01,3.550266e+01,3.978130e+01,1.174319e+01,-2.795375e+01,-5.116801e+01,-4.248001e+01,-2.585170e+01,-3.857702e+01,-4.568756e+01,-4.615306e+01,-4.228020e+01,-3.086127e+01,-1.156766e+01,8.899300e-01,1.016663e+01,9.097137e+00,1.494820e+01,1.577112e+01,1.650055e+01,1.867162e+01,2.039267e+01
5.369861e+00,3.357159e+00,-6.341641e+00,-1.778452e+01,-3.695281e+00,-3.966794e+00,-2.597113e+00,5.223229e+00,-3.671921e+00,-8.540900e+00,-9.781195e+00,-1.363292e+01,-1.597938e+01,-1.686221e+01,-2.875087e+01,-4.490024e+01,-4.761749e+01,-5.507148e+01,-6.234692e+01,-5.250912e+01,-3.545435e+01,-1.531542e+01,8.972830e-01,4.767187e+00,8.125202e+00,6.745670e+00,1.057727e+01
3.998856e+00,2.335403e+00,-1.355292e+00,1.325637e+01,4.312857e+00,2.829684e+00,4.513641e+00,1.127929e+01,1.071847e-01,-3.488910e+01,-5.642667e+01,-5.038659e+01,-4.127921e+01,-3.146583e+01,-2.385523e+01,-2.420428e+01,-1.848088e+01,-1.215696e+01,-7.903178e+00,-7.067087e+00,-9.849004e+00,-2.632422e+00,1.761901e+00,6.043841e+00,7.803326e+00,4.208001e+00,8.195485e+00
6.509482e+00,7.370071e+00,4.970386e+00,-6.515008e+00,1.887685e+00,6.342754e+00,6.580910e+00,2.237235e+00,-1.722683e+01,-1.762917e+01,-7.452887e+00,2.913592e+00,2.496446e+01,3.369290e+01,3.708249e+01,3.933409e+01,4.325334e+01,3.203641e+01,2.437249e+01,1.960874e+01,1.697232e+01,1.692584e+01,7.961455e+00,1.052828e+01,1.039251e+01,6.826547e+00,8.652193e+00
9.561869e+00,1.126181e+01,9.823986e+00,1.205560e+01,1.621498e+01,1.290991e+01,8.211301e+00,7.126746e+00,-1.198330e+01,-3.696542e+01,-5.042218e+01,-4.626000e+01,-4.073230e+01,-3.641441e+01,-3.602834e+01,-3.744807e+01,-3.441451e+01,-2.507725e+01,-9.706921e+00,-1.303867e-01,9.445262e+00,1.809169e+01,9.028362e+00,9.864307e+00,1.026619e+01,8.528622e+00,7.651700e+00
1.020509e+01,1.168236e+01,8.157510e+00,1.702884e+01,2.167302e+01,1.915150e+01,1.158924e+01,8.746106e+00,1.572042e+01,2.536782e+01,3.843031e+01,4.328154e+01,3.604914e+01,2.974769e+01,3.055333e+01,2.823018e+01,1.788953e+01,6.871027e+00,-4.843632e+00,-1.167971e+01,-4.333607e+00,6.985529e+00,5.347163e+00,5.736924e+00,7.820940e+00,8.141931e+00,5.878157e+00
7.883198e+00,9.180374e+00,6.648586e+00,-3.259540e-01,-4.025452e+00,-5.343722e+00,-1.500739e+00,-1.478384e+01,-7.034225e+00,3.349983e+00,1.919100e+00,6.807685e+00,9.580420e+00,6.664191e+00,7.135017e+00,1.236396e+01,1.179779e+01,1.156578e+01,6.578126e+00,2.544792e+00,-2.001141e-01,6.198833e-01,2.861054e+00,3.369290e+00,6.344823e+00,7.362624e+00,4.684268e+00
4.210541e+00,4.023600e+00,1.679820e+00,7.643713e+00,1.284658e+01,1.424885e+01,1.178982e+01,-6.662297e+00,-2.039505e+01,-1.893070e+01,-5.070754e+00,4.580825e+00,9.045280e+00,8.184155e+00,7.928223e+00,1.260645e+01,9.085873e+00,4.615680e+00,3.027747e+00,7.318367e+00,7.850954e+00,9.592533e-01,2.611012e+00,2.463532e+00,5.866236e+00,5.821759e+00,2.149529e+00
