Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38
-5.647545e+02,-5.647545e+02,-5.647545e+02,-5.647545e+02,-5.647545e+02,-5.647545e+02,-5.647545e+02,-5.647545e+02,-5.647545e+02,-5.647545e+02,-5.647545e+02,-5.647545e+02,-5.647545e+02,-5.647471e+02,-5.593772e+02,-5.401569e+02,-5.188798e+02,-5.004362e+02,-4.747250e+02,-4.476097e+02,-3.974638e+02,-2.692093e+02,-1.670128e+02,-1.305742e+02,-1.447181e+02,-1.909374e+02,-2.404618e+02,-2.377909e+02,-2.359528e+02,-2.771662e+02,-3.569573e+02,-4.410500e+02,-5.183615e+02,-5.599427e+02,-5.647545e+02,-5.647545e+02,-5.647545e+02,-5.647545e+02
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.301793e-04,1.457438e+00,3.942261e+00,1.047830e+01,1.878856e+01,3.283092e+01,4.269331e+01,9.295207e+01,1.796699e+02,2.061769e+02,2.095776e+02,2.086029e+02,2.009692e+02,1.831920e+02,2.008975e+02,2.288296e+02,2.303655e+02,1.942112e+02,1.271714e+02,5.376068e+01,6.158021e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.060452e-02,-5.346873e+00,-2.523004e+01,-4.662325e+01,-5.981935e+01,-6.478703e+01,-7.393382e+01,-5.088584e+01,-5.709047e+01,-8.890685e+01,-1.023707e+02,-9.466864e+01,-7.167163e+01,-5.205110e+01,-5.112422e+01,-3.466414e+01,-1.501472e+01,1.245405e+01,2.660621e+01,2.608470e+01,4.391268e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-3.904579e-04,-2.314461e+00,-5.153432e+00,-1.721311e+01,-2.726615e+01,-3.199701e+01,-3.507138e+01,-2.360760e+01,-3.420555e+01,-3.274677e+01,-3.348365e+01,-3.928238e+01,-3.878409e+01,-3.054454e+01,-5.468557e+01,-7.201244e+01,-8.536255e+01,-8.453847e+01,-4.480190e+01,-7.751755e-01,1.972656e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.059399e-02,1.546825e+00,9.345932e+00,1.520757e+01,1.423230e+01,1.724753e+00,-1.085389e+01,-1.520689e+01,-2.690545e+01,-4.684909e+01,-5.977890e+01,-6.350465e+01,-6.379237e+01,-5.980653e+01,-7.587210e+01,-8.111172e+01,-7.351867e+01,-7.329668e+01,-4.967052e+01,-1.527141e+01,-4.800599e-01,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,6.505027e-04,3.583522e-01,-8.965276e-01,5.919568e+00,7.071598e+00,1.536816e-02,-4.444465e+00,-2.136407e+01,-2.137163e+01,-1.331611e+01,-8.728466e+00,-2.895702e+00,-5.609732e-01,-6.286703e+00,-1.384412e+01,-1.949296e+01,-2.208274e+01,-1.846043e+01,-2.058420e+01,-1.820329e+01,-2.386063e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.057898e-02,-5.607212e-01,-4.623510e+00,-2.230731e+00,-4.763682e-01,-7.211990e-01,1.977978e+00,-1.621545e+01,-3.039483e+01,-2.840880e+01,-2.514225e+01,-1.517679e+01,4.512670e-01,5.248890e-01,9.277997e+00,7.295758e+00,3.604695e+00,1.757160e+00,-8.042343e+00,-1.764851e+01,-3.369529e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-9.101545e-04,7.755424e-01,6.743743e-01,3.345969e-01,2.519860e+00,-2.314276e+00,-9.208404e+00,-2.553125e+01,-5.539199e+01,-5.831964e+01,-5.528107e+01,-5.146796e+01,-4.822141e+01,-4.693739e+01,-4.410730e+01,-4.422589e+01,-3.783421e+01,-3.157098e+01,-2.282164e+01,-1.878459e+01,-3.355756e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.055759e-02,2.099453e+00,7.540179e+00,4.086576e+00,2.690117e+00,1.818994e+00,-7.170824e-01,-1.480058e+01,-3.168033e+01,-2.721445e+01,-2.268953e+01,-2.477723e+01,-3.155516e+01,-3.028251e+01,-3.832737e+01,-4.750101e+01,-5.231565e+01,-4.820001e+01,-3.777991e+01,-1.973496e+01,-2.567136e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.169259e-03,9.867268e-01,8.388269e+00,5.377464e+00,4.088421e-01,7.635449e-01,2.262882e+00,-1.386385e+01,-1.031136e+00,4.262079e-01,5.773063e-01,-2.242743e+00,-1.052992e+01,-1.339831e+01,-1.857778e+01,-1.553440e+01,-1.349852e+01,-2.207842e+01,-3.187843e+01,-1.635571e+01,-1.425261e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
