Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25
-5.184083e+02,-5.002956e+02,-5.005336e+02,-4.969077e+02,-4.838489e+02,-4.880590e+02,-4.962433e+02,-3.881924e+02,-2.767107e+02,-1.753041e+02,-1.025682e+02,-7.824205e+01,-6.943336e+01,-6.687537e+01,-7.024973e+01,-1.092839e+02,-2.079715e+02,-3.184820e+02,-3.829975e+02,-4.422170e+02,-4.860317e+02,-5.042666e+02,-5.091750e+02,-5.076080e+02,-5.163777e+02
6.364242e+01,7.742076e+01,7.708630e+01,8.258063e+01,9.082375e+01,8.569227e+01,7.755109e+01,6.347179e+01,5.151130e+01,7.934120e+01,6.870297e+01,4.978041e+01,4.379381e+01,4.727502e+01,7.773646e+01,1.163250e+02,1.441590e+02,1.519426e+02,1.494237e+02,1.251817e+02,9.000459e+01,7.606476e+01,7.683675e+01,7.864069e+01,7.134418e+01
9.727701e+00,7.568298e+00,8.210569e+00,1.029598e+01,3.708331e+00,6.411608e-01,3.542449e+00,-4.662378e+00,-6.006109e-01,8.237154e+00,-3.006857e+00,-9.664251e+00,-1.457999e+01,-1.985179e+01,-9.953005e+00,-2.156187e+00,-2.835822e-01,-4.431922e-01,-1.375526e+01,-4.778937e-01,6.379928e+00,1.059160e+01,1.923573e+01,2.111041e+01,2.201280e+01
-1.327079e+00,-3.367119e+00,-1.772762e+00,-7.199535e+00,-1.499931e+01,-1.328999e+01,-7.314065e+00,-4.352572e+01,-5.247540e+01,-5.723419e+01,-4.568443e+01,-3.905904e+01,-4.551165e+01,-5.838261e+01,-7.101356e+01,-7.610036e+01,-6.289744e+01,-3.651751e+01,-3.523112e+01,-2.987667e+01,-9.681568e+00,-2.927887e+00,-1.127023e+00,2.094250e+00,4.729796e+00
1.753791e+01,2.019367e+01,2.045485e+01,1.405672e+01,1.546730e+01,1.967552e+01,2.124062e+01,2.011170e+01,1.405412e+01,-1.248339e+00,-1.953094e+01,-2.871714e+01,-3.303124e+01,-4.552876e+01,-4.925024e+01,-3.880687e+01,-3.117668e+01,-1.736776e+01,-7.111125e+00,1.534828e+00,1.658043e+01,1.730651e+01,1.180201e+01,1.569273e+01,1.529458e+01
2.008001e+01,2.082033e+01,2.081367e+01,2.178321e+01,3.028923e+01,2.791386e+01,2.061076e+01,4.790602e+01,6.219101e+01,6.020898e+01,7.074701e+01,7.791508e+01,8.220604e+01,7.785414e+01,7.446645e+01,7.100313e+01,6.074511e+01,2.918604e+01,9.011399e+00,1.082288e+01,1.808610e+01,1.864501e+01,1.846729e+01,2.118809e+01,1.965042e+01
5.091637e+00,3.276062e+00,6.383061e+00,1.129673e+01,1.492606e+01,8.588272e+00,3.880025e+00,1.952835e+00,-1.036899e+01,-2.362006e+01,-2.677029e+01,-3.058581e+01,-3.558312e+01,-3.417355e+01,-3.879718e+01,-4.264143e+01,-3.519389e+01,-2.016219e+01,-2.027091e+00,5.105538e+00,2.731683e+00,4.167906e+00,9.802786e+00,1.067374e+01,1.133775e+01
1.770384e-01,-1.103859e+00,1.700706e+00,2.697917e+00,-2.555407e+00,-3.062597e+00,-2.125094e+00,-1.442171e+00,3.242007e+00,-9.863308e+00,-4.212348e+00,1.300765e+01,1.912130e+01,2.244376e+01,1.311498e+01,8.419735e+00,1.160436e+01,1.872311e+01,1.333574e+01,1.160534e+01,3.745749e+00,4.993085e-01,1.906294e+00,1.270072e+00,5.115493e+00
6.753168e+00,6.354198e+00,3.252610e+00,5.829495e-01,-4.215034e+00,-1.678622e+00,1.315204e+00,-2.216105e+00,-7.734086e+00,-1.636689e+01,-1.912416e+01,-1.731351e+01,-1.267962e+01,-1.067415e+01,-1.766984e+01,-1.945909e+01,-1.616237e+01,-2.146577e+00,1.679725e+01,1.735598e+01,9.912565e+00,5.084938e+00,1.055495e+00,-3.110967e-01,5.465971e+00
5.382259e+00,5.900302e+00,1.761066e+00,4.104953e-01,-9.304650e-01,-4.569937e-01,2.579533e+00,4.548523e-01,-7.724492e+00,-8.962112e+00,3.737636e+00,1.055887e+01,1.380629e+01,1.614009e+01,1.909272e+01,2.068988e+01,2.220965e+01,1.531859e+01,1.317840e+01,1.114109e+01,4.453962e+00,5.909423e+00,2.355625e+00,1.515299e+00,6.975525e+00
