Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21
-4.992349e+02,-4.786332e+02,-4.315570e+02,-3.544861e+02,-2.890951e+02,-2.133149e+02,-1.739005e+02,-1.697114e+02,-1.394189e+02,-1.261824e+02,-1.287990e+02,-1.459408e+02,-1.932261e+02,-2.509807e+02,-3.107865e+02,-3.621220e+02,-4.182019e+02,-4.495824e+02,-4.323992e+02,-4.041693e+02,-3.942597e+02
5.299920e+01,6.693614e+01,9.280505e+01,1.250180e+02,1.434612e+02,1.885592e+02,1.835587e+02,1.512702e+02,1.358137e+02,1.385656e+02,1.625101e+02,1.989900e+02,2.161334e+02,1.994800e+02,1.785787e+02,1.495639e+02,1.085268e+02,8.607726e+01,8.980059e+01,9.399198e+01,8.695445e+01
1.929767e+01,1.342367e+01,-7.145627e+00,-4.231972e+01,-5.979715e+01,-6.837032e+01,-7.909302e+01,-7.531601e+01,-7.474763e+01,-7.863541e+01,-8.412969e+01,-8.334615e+01,-6.613692e+01,-3.161372e+01,-1.276229e+01,-9.091036e+00,-2.240044e+00,2.205563e+00,-8.796381e+00,-9.849844e+00,-1.053458e+01
3.100988e+00,1.262714e-01,-1.224385e+01,-2.972917e+01,-3.862507e+01,-4.030967e+01,-3.202179e+01,-2.468221e+01,-1.897066e+01,-2.189240e+01,-4.021053e+01,-5.572732e+01,-5.693749e+01,-3.575791e+01,-2.406762e+01,-2.186901e+01,-1.407932e+01,-1.091315e+01,-8.482649e+00,-1.061290e+01,-2.154979e+01
7.264009e+00,1.304324e+01,2.096460e+01,2.497753e+01,6.967860e+00,-4.739275e+00,-6.172592e+00,-4.657129e+00,-3.507909e+00,-5.363945e+00,-2.246000e+00,-2.193641e+00,1.099072e+00,2.052779e+00,1.192143e+01,1.466708e+01,1.661346e+01,1.480306e+01,1.661161e+01,1.989026e+01,1.437922e+01
1.222941e+01,1.378031e+01,2.844783e+01,3.954075e+01,4.947925e+01,3.357615e+01,2.616003e+01,2.560310e+01,3.195701e+01,3.011651e+01,3.132342e+01,3.045334e+01,2.814344e+01,2.111819e+01,1.001567e+01,1.351681e+01,1.799020e+01,1.749898e+01,1.677204e+01,1.313695e+01,7.851962e+00
1.006025e+01,5.259480e+00,1.642662e+01,2.258014e+01,2.111332e+01,3.487307e+00,-3.904134e+00,-3.741006e+00,-9.408906e+00,-1.530450e+01,-1.825109e+01,-1.822769e+01,-1.261817e+01,-5.589570e+00,-8.981348e-01,4.475924e+00,6.505769e+00,5.723985e+00,1.583138e+01,1.829965e+01,1.645791e+01
8.271359e+00,6.224126e+00,4.968557e+00,6.932185e+00,-3.752007e+00,-1.866250e+01,-1.407872e+01,-1.351267e+00,5.089668e+00,6.294394e+00,6.540928e+00,8.891848e-01,-5.326531e+00,-4.756469e+00,2.772395e+00,3.780912e+00,4.658970e+00,6.569211e+00,1.228411e+01,1.350556e+01,1.118339e+01
9.029982e+00,1.162360e+01,3.879328e+00,-6.776639e+00,-3.889142e+00,-1.327504e-01,1.128031e+00,3.567451e+00,5.608044e+00,7.007337e+00,7.115035e+00,5.445421e+00,4.378028e+00,7.356087e+00,1.136844e+01,1.091242e+01,9.277134e+00,1.383587e+01,9.116432e+00,5.662697e-01,-2.473402e+00
5.579848e+00,6.920659e+00,8.893511e+00,5.888076e+00,6.839384e+00,1.061576e+01,1.563955e+01,2.002480e+01,2.050358e+01,1.742538e+01,1.459102e+01,9.840723e+00,1.987914e+00,4.664237e+00,1.380068e+01,8.430197e+00,4.843783e+00,8.855354e+00,8.214540e+00,1.384220e+01,1.994729e+01
-3.098882e+00,-4.875656e+00,3.711611e-01,2.448797e+00,-1.021483e+00,-6.165948e+00,-1.404690e+01,-1.905952e+01,-1.693230e+01,-1.777869e+01,-1.496311e+01,-6.767590e+00,5.934247e-01,7.445374e-01,-6.605775e+00,-1.295169e+01,-1.100813e+01,-6.242136e+00,-9.394258e-01,1.291050e+00,4.836189e+00
-9.034998e+00,-1.066652e+01,-7.465828e+00,-5.186897e+00,-4.028555e+00,-7.476986e+00,-6.380754e+00,-4.182880e+00,1.134481e+00,1.829046e+00,-1.286598e+00,-4.580357e+00,-8.077675e+00,-7.296097e+00,-1.430460e+01,-1.828269e+01,-1.670020e+01,-1.301021e+01,-5.479974e+00,-3.007720e+00,-5.757983e+00
-7.062570e+00,-7.469468e+00,-3.631468e+00,-2.624319e+00,-5.461320e+00,-9.068942e+00,-1.383968e+01,-2.408331e+01,-2.767575e+01,-1.969757e+01,-1.636759e+01,-1.227821e+01,-1.025117e+01,-1.157114e+01,-1.118792e+01,-7.480279e+00,-9.983557e+00,-7.236145e+00,-3.308375e+00,-4.315016e+00,-1.114344e+01
