Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22
-5.077118e+02,-4.865782e+02,-4.262727e+02,-3.370882e+02,-2.327072e+02,-1.754684e+02,-1.461788e+02,-1.121813e+02,-1.061510e+02,-1.321808e+02,-1.203086e+02,-1.074618e+02,-1.255795e+02,-1.722401e+02,-2.227347e+02,-2.962344e+02,-3.757958e+02,-4.329363e+02,-4.724263e+02,-4.844936e+02,-4.922528e+02,-5.083506e+02
3.883090e+01,5.526758e+01,7.365589e+01,8.616292e+01,1.254089e+02,1.133247e+02,7.401416e+01,5.983504e+01,6.397973e+01,7.423225e+01,8.516726e+01,9.948976e+01,1.171866e+02,1.360648e+02,1.560056e+02,1.737953e+02,1.563677e+02,1.094178e+02,6.970691e+01,5.683563e+01,4.924990e+01,3.586588e+01
1.942181e+01,1.298944e+01,-2.010641e+00,4.962587e+00,-9.255140e-01,-3.452962e+00,-5.663396e-01,-1.648059e+01,-2.464852e+01,-1.731167e+01,-2.953273e+01,-4.142471e+01,-3.488763e+01,-1.753786e+01,2.156420e-01,1.545660e+01,2.406528e+01,2.559715e+01,1.760752e+01,1.249605e+01,1.192078e+01,1.490208e+01
5.309635e+00,-6.171619e+00,-4.506999e+01,-5.940910e+01,-6.087034e+01,-5.055614e+01,-3.591439e+01,-3.296806e+01,-3.244118e+01,-3.099925e+01,-3.694939e+01,-4.717415e+01,-5.609635e+01,-5.527475e+01,-5.747520e+01,-5.565955e+01,-3.334652e+01,-1.893256e+01,-8.348129e+00,-8.204828e+00,-4.030273e+00,5.278611e+00
2.881956e+00,4.485510e+00,3.057579e-01,-4.734117e+00,-2.040477e+01,-2.689705e+01,-2.958078e+01,-3.236848e+01,-3.350636e+01,-3.081149e+01,-3.770461e+01,-3.511712e+01,-3.572132e+01,-3.816012e+01,-3.248993e+01,-1.832790e+01,-1.254794e+01,-1.356816e+01,-4.861485e+00,-1.351182e+00,2.852052e+00,8.799919e+00
6.514008e+00,1.800023e+01,4.585398e+01,6.300325e+01,5.231519e+01,5.215575e+01,5.211957e+01,5.291285e+01,5.471536e+01,5.540974e+01,5.424905e+01,5.499474e+01,5.361201e+01,4.796675e+01,4.130668e+01,2.561713e+01,5.768373e+00,-3.531873e-01,1.366500e+00,7.198819e+00,8.877913e+00,1.053826e+01
8.854942e+00,1.662508e+01,1.344408e+01,-7.490728e+00,-2.186395e+01,-2.284747e+01,-2.933864e+01,-3.248505e+01,-3.277911e+01,-3.387577e+01,-3.685647e+01,-3.837761e+01,-3.471960e+01,-2.833850e+01,-1.952177e+01,-8.130848e+00,-5.806928e+00,-3.135864e-01,1.900599e+00,7.037203e+00,6.476866e+00,3.606698e+00
8.220317e+00,8.484278e+00,5.870285e+00,1.004357e+01,3.947652e+00,4.290212e+00,1.328931e+01,1.424154e+01,1.354487e+01,1.550307e+01,1.376342e+01,1.494048e+01,1.417352e+01,1.123734e+01,4.877378e+00,-1.808339e+00,-7.508611e+00,-2.176713e+00,4.399056e+00,7.799758e+00,6.176193e+00,-2.536691e+00
5.839862e+00,5.099873e+00,-1.479542e+01,-1.686206e+01,-1.191392e+01,-6.019924e+00,-6.383192e-01,2.604455e+00,3.475716e+00,6.291568e-01,-1.397845e+00,3.003341e+00,4.836153e+00,7.696260e+00,5.846292e+00,-1.613827e+00,-5.690024e-01,7.522954e-01,7.148005e+00,1.134204e+01,9.807693e+00,1.130829e-01
1.709844e+00,4.375845e+00,4.810484e+00,-1.674348e+00,1.767054e+00,7.098229e+00,1.322954e+01,1.634623e+01,1.588763e+01,1.596495e+01,1.738667e+01,1.502415e+01,1.356688e+01,9.875677e+00,4.447775e+00,8.412183e+00,6.137048e+00,2.046084e+00,4.443374e+00,8.446311e+00,7.651914e+00,4.690737e+00
-3.754610e+00,4.002295e-01,1.188026e+01,1.610959e+01,1.605584e+01,3.963127e+00,-4.027749e+00,-4.498600e+00,-9.461491e+00,-1.043806e+01,-5.192979e+00,-4.477479e+00,-1.378024e-01,4.199163e+00,1.226766e+01,1.197607e+01,2.986149e-01,-1.112087e+00,3.894149e-01,-1.049455e+00,-2.200225e+00,6.917164e-01
-7.441072e+00,-4.820788e+00,-5.027423e+00,-1.646083e+01,-2.131541e+01,-1.044531e+01,-7.193539e+00,-6.459510e+00,-1.175785e+01,-1.456991e+01,-1.042176e+01,-1.161972e+01,-1.085480e+01,-8.975357e+00,-1.023591e+01,-6.870914e+00,-7.008660e+00,-5.082170e+00,-2.071809e-01,-6.741055e+00,-1.019705e+01,-9.497164e+00
-6.708354e+00,-6.548835e+00,2.449907e+00,-2.155097e+00,-1.503685e+01,-2.304391e+01,-2.893702e+01,-2.555918e+01,-3.070750e+01,-2.730083e+01,-2.195798e+01,-2.106738e+01,-1.979716e+01,-1.236991e+01,-1.003410e+01,-9.351693e+00,-1.060709e+01,-6.774717e+00,-3.533043e-01,-4.786572e+00,-9.827030e+00,-1.435607e+01
