Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39
-4.600690e+02,-4.178285e+02,-4.200750e+02,-4.479996e+02,-4.795189e+02,-4.813382e+02,-4.266418e+02,-3.372805e+02,-2.593689e+02,-2.379678e+02,-2.528035e+02,-2.410484e+02,-2.306916e+02,-2.152460e+02,-1.939987e+02,-1.565861e+02,-1.381066e+02,-1.328880e+02,-1.221755e+02,-1.055648e+02,-8.867416e+01,-7.739486e+01,-6.780908e+01,-5.718721e+01,-6.850079e+01,-5.687041e+01,-5.318092e+01,-1.055192e+02,-2.126605e+02,-3.266833e+02,-4.097894e+02,-4.682730e+02,-4.958608e+02,-4.997926e+02,-5.008199e+02,-5.021711e+02,-5.025103e+02,-4.993917e+02,-5.129422e+02
9.155946e+01,9.826865e+01,9.369863e+01,8.937776e+01,7.916948e+01,8.171497e+01,1.014409e+02,1.649245e+02,2.076819e+02,2.109866e+02,1.930752e+02,1.791065e+02,1.620465e+02,1.531166e+02,1.394581e+02,9.101476e+01,6.181428e+01,5.099249e+01,5.134901e+01,5.218684e+01,5.370484e+01,5.152042e+01,5.284084e+01,5.005606e+01,5.515391e+01,8.383887e+01,9.936082e+01,1.097333e+02,1.271780e+02,1.382787e+02,1.282196e+02,9.049182e+01,7.346339e+01,7.178281e+01,7.259953e+01,7.164377e+01,7.051877e+01,7.380517e+01,6.381158e+01
-3.902700e+00,-2.370364e+01,-2.460418e+01,-1.521596e+01,1.586705e+00,5.821492e+00,-2.725287e+01,-4.042888e+01,-5.750089e+01,-5.849914e+01,-4.009202e+01,-4.028352e+01,-4.853086e+01,-5.675698e+01,-5.370476e+01,-1.680203e+01,-2.257789e+00,-2.552153e+00,-2.336140e+00,-1.176836e+01,-2.611321e+01,-3.639098e+01,-4.799245e+01,-5.100426e+01,-5.322094e+01,-7.443702e+01,-8.097636e+01,-8.030083e+01,-4.876617e+01,-2.139225e+01,-2.402333e+01,-8.768242e+00,7.974904e+00,1.160744e+01,1.431612e+01,1.382318e+01,1.118047e+01,1.310080e+01,1.736390e+01
-1.211916e+01,-1.817305e+00,4.105419e+00,-6.325731e-01,-4.217100e-02,-3.773958e+00,-1.122380e+01,-3.467525e+01,-4.679482e+01,-4.595470e+01,-4.590655e+01,-4.533551e+01,-3.641477e+01,-3.171918e+01,-3.402958e+01,-5.373983e+01,-5.927690e+01,-5.877448e+01,-4.919123e+01,-5.048688e+01,-5.478331e+01,-5.499271e+01,-5.478894e+01,-5.106140e+01,-4.993523e+01,-5.974690e+01,-6.308303e+01,-6.031264e+01,-4.974723e+01,-3.698044e+01,-4.144103e+01,-2.846898e+01,-8.388877e+00,-4.140968e+00,-5.164832e+00,-7.737775e+00,-1.065710e+01,-7.354814e+00,-5.080131e-01
4.607898e+00,7.202166e+00,1.400511e+01,2.060977e+01,1.863857e+01,1.514103e+01,3.090429e+01,1.657648e+01,6.795925e+00,2.123303e+00,7.691051e+00,1.254008e+01,1.113759e+01,3.836828e+00,4.868999e+00,1.110001e+01,9.831596e+00,8.725801e+00,1.132578e+01,1.117560e+01,9.715599e+00,8.047163e+00,4.560935e-01,-2.739172e+00,-4.373566e-01,1.640979e+00,9.047498e-01,3.844738e+00,9.292447e+00,1.428750e+01,1.212753e+01,7.902647e+00,1.060119e+01,1.392864e+01,8.449678e+00,4.508708e+00,3.663431e+00,1.016178e+01,1.232953e+01
9.658623e+00,2.727451e+00,2.836176e+00,4.896281e+00,9.562055e+00,1.442294e+01,2.321183e+01,1.133259e+01,5.583214e+00,1.195628e+01,1.822554e+01,2.161064e+01,1.704385e+01,2.304223e+01,3.125494e+01,3.639744e+01,3.977363e+01,3.958492e+01,4.663402e+01,4.687102e+01,4.800101e+01,4.898712e+01,4.663159e+01,5.224576e+01,5.639155e+01,5.237402e+01,5.222948e+01,5.237936e+01,4.031260e+01,1.972585e+01,2.180873e+01,2.278966e+01,1.700125e+01,1.936575e+01,1.535434e+01,1.341042e+01,1.322879e+01,2.038621e+01,2.106482e+01
1.087707e+01,3.215494e+00,-1.419487e+00,2.310750e+00,1.605122e+00,5.292368e+00,3.611891e+00,-9.849089e+00,-1.219362e+01,-1.415184e+01,-1.771123e+01,-1.352257e+01,-9.348526e+00,-4.623572e+00,-1.007264e+01,-2.508123e+01,-3.144911e+01,-3.496070e+01,-3.952350e+01,-4.371974e+01,-4.359672e+01,-4.082241e+01,-3.736409e+01,-3.509180e+01,-3.039861e+01,-3.050154e+01,-3.329251e+01,-3.117318e+01,-1.907446e+01,-8.407640e+00,5.840940e+00,1.275473e+01,9.004593e+00,9.303532e+00,9.540730e+00,9.316572e+00,6.213696e+00,9.954238e+00,1.147376e+01
8.210371e+00,6.228196e+00,8.082231e+00,1.341683e+01,7.382267e+00,2.693517e+00,2.723627e+00,-3.523839e+00,8.696328e-01,3.378192e+00,4.511117e+00,1.010097e+01,9.116255e+00,6.002337e+00,7.820467e+00,2.006573e+01,2.652676e+01,2.600333e+01,2.751414e+01,3.036734e+01,3.258339e+01,3.632920e+01,3.157734e+01,3.614404e+01,3.201385e+01,2.314726e+01,2.190814e+01,2.060225e+01,1.750002e+01,1.528565e+01,7.716055e+00,9.395494e+00,6.350484e+00,6.251018e+00,7.124911e+00,4.818139e+00,7.530684e-01,1.081234e+00,2.027138e+00
1.187242e+01,1.113641e+01,9.302200e+00,6.875959e+00,9.816877e+00,4.857138e+00,1.428150e+00,-1.732424e+00,-7.206141e+00,-5.530576e+00,-2.509250e+00,2.485326e+00,3.851408e+00,7.693396e+00,3.202049e+00,-9.006369e+00,-9.506813e+00,-9.907377e+00,-8.766361e+00,-5.748544e+00,-6.725752e+00,-4.628330e+00,-5.604663e+00,-4.602159e+00,-9.251734e+00,-8.161067e+00,-9.985626e+00,-8.994337e+00,-7.356180e+00,9.958595e-04,1.028745e+01,1.034439e+01,7.929089e+00,9.285250e+00,8.896902e+00,4.344087e+00,4.555271e+00,4.857590e+00,4.321132e+00
1.546634e+01,1.308023e+01,4.418575e+00,4.097550e-01,4.178033e+00,6.629796e+00,8.427584e+00,7.447766e+00,6.830127e+00,8.464684e+00,1.180799e+01,1.029862e+01,9.812410e+00,6.497328e+00,9.906784e+00,1.881264e+01,2.161177e+01,2.317144e+01,2.420124e+01,2.243690e+01,2.016012e+01,1.834736e+01,1.876474e+01,1.854633e+01,1.138157e+01,7.489696e+00,3.847094e+00,-1.806985e+00,-5.274927e+00,-4.969634e+00,-3.431805e+00,2.488829e+00,5.462152e+00,5.945503e+00,6.866681e+00,4.405197e+00,7.359123e+00,8.209983e+00,5.799422e+00
8.411404e+00,1.142702e+01,9.660790e+00,1.876340e+00,-3.057946e+00,3.829471e+00,7.835217e+00,4.574955e+00,9.720245e+00,1.371780e+01,4.610668e+00,-2.060425e+00,-3.748571e+00,-4.555844e+00,-5.254302e+00,-7.459678e+00,-5.344220e+00,-5.616967e+00,-7.934178e+00,-7.090261e+00,-9.165143e+00,-1.348716e+01,-1.885651e+01,-2.426448e+01,-2.749039e+01,-1.727978e+01,-1.198332e+01,-1.126346e+01,-2.289288e+01,-2.327548e+01,-1.376583e+01,-5.643902e+00,1.477153e+00,-5.248234e-01,1.365844e+00,2.064093e+00,1.825809e+00,6.851432e-01,-2.856724e+00
-2.825982e+00,-5.925264e+00,-7.071717e+00,-6.261931e+00,-6.068489e+00,-1.302364e+00,-1.177759e+01,-1.406701e+01,-1.604407e+01,-2.095689e+01,-2.497504e+01,-2.131613e+01,-1.571513e+01,-1.097219e+01,-8.333265e+00,-3.617546e+00,1.923547e-01,-1.591774e-02,-2.220686e+00,-4.880061e+00,-3.893649e+00,-5.982591e+00,-4.688865e+00,8.198229e-01,-1.769507e+00,8.436251e+00,1.646301e+01,1.202912e+01,4.595413e+00,9.332607e+00,-1.061952e+00,-2.987181e+00,4.470751e-01,-1.377439e+00,-2.773976e+00,-3.463517e+00,-6.086134e+00,-8.572933e+00,-1.049484e+01
-9.179695e+00,-1.240788e+01,-9.779400e+00,-2.044058e+00,-5.900081e-02,-2.300313e-01,-2.278995e+00,1.390631e+00,4.033149e+00,-9.328111e-01,-4.006470e+00,-8.268870e-01,1.029291e+00,7.918261e-01,-1.040868e+00,-1.315670e+00,-1.821910e+00,-7.391742e+00,-1.498143e+01,-2.060141e+01,-2.084834e+01,-2.136986e+01,-1.910400e+01,-1.984822e+01,-1.762283e+01,-6.963191e+00,-1.864574e+00,1.959652e+00,6.856080e+00,3.982396e+00,7.120759e+00,4.392982e+00,1.666646e+00,1.767071e+00,-2.207031e+00,-6.577379e+00,-5.787735e+00,-5.953149e+00,-6.347720e+00
