Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35,Coeff 36,Coeff 37,Coeff 38,Coeff 39,Coeff 40,Coeff 41,Coeff 42,Coeff 43,Coeff 44,Coeff 45
-5.004666e+02,-4.811063e+02,-4.813367e+02,-4.838847e+02,-4.775139e+02,-4.380152e+02,-2.727977e+02,-1.798373e+02,-1.628890e+02,-1.576431e+02,-1.435756e+02,-1.471537e+02,-1.511481e+02,-1.532297e+02,-1.494893e+02,-1.486327e+02,-1.480751e+02,-1.497760e+02,-1.529728e+02,-1.559712e+02,-1.590924e+02,-1.612923e+02,-1.651168e+02,-1.595974e+02,-1.437938e+02,-1.310342e+02,-1.258376e+02,-1.207018e+02,-1.071444e+02,-8.437608e+01,-6.618509e+01,-6.688811e+01,-7.582676e+01,-9.369991e+01,-1.522546e+02,-2.494124e+02,-3.341979e+02,-4.053935e+02,-4.509488e+02,-4.732049e+02,-4.765954e+02,-4.777195e+02,-4.766054e+02,-4.808114e+02,-4.903723e+02
4.407228e+01,6.094588e+01,6.093364e+01,5.664168e+01,5.807383e+01,6.530552e+01,1.143108e+02,1.039091e+02,8.938594e+01,7.779413e+01,7.440460e+01,7.605262e+01,6.742999e+01,6.201476e+01,6.141644e+01,6.143273e+01,6.095472e+01,6.261040e+01,6.359514e+01,5.577291e+01,5.158627e+01,5.483635e+01,5.468494e+01,5.316385e+01,5.259273e+01,5.174065e+01,4.935838e+01,4.713164e+01,4.983839e+01,5.227673e+01,4.601310e+01,3.654800e+01,4.924062e+01,7.915731e+01,9.714572e+01,1.116118e+02,1.132312e+02,1.109894e+02,8.359953e+01,6.634875e+01,6.304530e+01,6.212315e+01,6.228770e+01,5.893284e+01,5.132910e+01
2.113252e+01,2.070030e+01,2.121000e+01,1.673882e+01,1.162222e+01,7.974369e+00,4.376442e+00,-5.229048e+00,-4.387537e+00,1.636149e+00,4.205394e+00,9.284595e+00,1.471965e+01,1.770765e+01,1.487685e+01,1.059532e+01,7.112285e+00,6.844745e+00,5.085339e+00,6.124722e+00,8.485229e+00,8.760933e+00,6.314950e+00,6.491029e+00,-2.816306e+00,-3.867927e+00,-3.294667e+00,-6.233861e+00,-1.577311e+01,-2.354208e+01,-3.269173e+01,-3.520415e+01,-3.988232e+01,-4.956284e+01,-3.798316e+01,-8.081250e+00,-6.439383e+00,-3.226639e+00,1.210378e+01,1.634866e+01,1.613794e+01,1.697023e+01,1.666362e+01,1.784007e+01,2.018863e+01
6.531956e+00,1.825687e+00,3.491483e+00,8.410593e-01,-3.623344e-01,-9.075624e+00,-3.717279e+01,-2.567296e+01,-1.644577e+01,-1.866009e+01,-2.343621e+01,-2.999627e+01,-2.911978e+01,-2.934845e+01,-3.170144e+01,-3.226266e+01,-3.071429e+01,-2.195638e+01,-1.431845e+01,-1.202819e+01,-1.456850e+01,-2.037512e+01,-2.127358e+01,-2.247789e+01,-3.145534e+01,-3.093021e+01,-2.718885e+01,-2.932806e+01,-3.343938e+01,-3.224170e+01,-3.364397e+01,-3.507838e+01,-4.016454e+01,-4.096596e+01,-3.858585e+01,-2.906274e+01,-2.762699e+01,-2.701911e+01,-1.204868e+01,-5.160718e+00,-2.263891e+00,3.631109e-02,1.675969e+00,4.624521e+00,1.019989e+01
4.547403e+00,6.077537e+00,1.019803e+01,9.378372e+00,1.327895e+01,2.013662e+01,-1.244666e+01,-2.175712e+01,-2.267808e+01,-2.781994e+01,-2.555439e+01,-2.090351e+01,-1.202163e+01,-7.584588e+00,-5.965709e+00,-4.090614e+00,-1.065279e+01,-1.170818e+01,-8.983793e+00,-8.426826e+00,-3.233835e+00,-2.110956e+00,-5.309711e+00,-2.477295e+00,-1.225852e+00,-5.041884e+00,-4.427966e+00,-6.912900e+00,-5.122337e+00,-4.339486e+00,-4.566819e+00,-6.002894e+00,-1.011451e+01,-1.078039e+01,-5.303417e+00,6.178689e+00,8.880709e+00,6.579181e+00,3.274590e+00,3.411894e+00,9.278900e+00,1.116495e+01,1.116072e+01,1.227253e+01,1.548776e+01
5.461604e+00,1.046440e+01,1.557652e+01,1.521457e+01,1.391902e+01,1.644795e+01,2.470508e+01,3.693912e+01,4.417824e+01,4.632727e+01,4.517432e+01,4.333784e+01,4.774474e+01,5.212954e+01,4.986048e+01,4.979017e+01,5.005598e+01,5.034127e+01,4.582397e+01,4.533641e+01,4.046943e+01,3.842906e+01,3.744228e+01,3.805359e+01,3.937628e+01,4.430169e+01,4.344508e+01,4.451113e+01,4.927689e+01,5.128393e+01,4.864885e+01,4.771272e+01,4.637183e+01,4.011239e+01,3.379230e+01,2.452966e+01,1.551064e+01,1.076478e+01,1.065143e+01,1.173471e+01,1.867260e+01,1.899088e+01,1.448266e+01,1.189971e+01,1.323713e+01
3.396818e+00,7.213888e+00,8.997468e+00,8.761169e+00,2.933650e+00,-1.062548e+00,-2.460767e+01,-3.654745e+01,-3.938052e+01,-3.954453e+01,-3.921362e+01,-4.119838e+01,-3.873230e+01,-3.701636e+01,-4.030388e+01,-4.795097e+01,-5.245959e+01,-5.529620e+01,-5.640247e+01,-5.262622e+01,-5.462778e+01,-5.143930e+01,-4.886380e+01,-4.692946e+01,-4.317999e+01,-4.888469e+01,-5.213165e+01,-5.070712e+01,-4.092585e+01,-3.736314e+01,-3.648846e+01,-3.773902e+01,-3.359748e+01,-2.736964e+01,-2.178377e+01,-2.317172e+01,-1.319122e+01,2.128830e+00,6.700054e+00,8.960251e+00,1.226804e+01,1.180767e+01,8.658439e+00,3.832651e+00,4.091643e+00
2.066881e+00,4.769715e+00,2.292949e+00,2.799714e+00,2.096842e+00,2.953509e+00,9.937490e+00,1.724972e+01,2.033642e+01,2.722372e+01,3.272460e+01,3.290511e+01,3.028405e+01,3.273287e+01,3.315297e+01,3.602454e+01,4.148573e+01,4.062064e+01,4.354479e+01,4.645428e+01,4.420886e+01,3.886664e+01,4.205328e+01,4.676934e+01,4.497939e+01,4.365773e+01,4.134890e+01,4.267307e+01,4.725723e+01,4.933196e+01,5.246212e+01,5.312949e+01,5.104913e+01,4.308359e+01,3.753314e+01,3.116411e+01,2.267110e+01,1.216977e+01,1.105768e+01,6.355710e+00,3.203819e+00,2.803058e+00,5.936164e+00,2.518328e+00,1.436035e+00
4.856927e+00,6.048887e+00,3.550122e+00,5.145587e+00,9.237761e+00,1.521366e+01,5.737663e+00,4.276875e-01,-3.641853e+00,-4.063642e+00,3.270403e+00,8.022280e+00,1.587157e-01,-5.444937e+00,-6.344311e+00,-6.627973e+00,-1.156951e+01,-2.000024e+01,-1.943003e+01,-2.122943e+01,-2.020064e+01,-1.831524e+01,-1.522725e+01,-1.833871e+01,-1.665104e+01,-1.686225e+01,-1.913910e+01,-1.912411e+01,-1.223521e+01,-7.709581e+00,-1.023755e+01,-1.452519e+01,-1.529734e+01,-1.706393e+01,-1.446968e+01,-8.787457e+00,-3.193748e+00,1.569502e+01,1.688868e+01,9.146711e+00,2.747695e+00,2.406510e+00,7.109371e+00,5.543561e+00,5.331528e+00
7.935900e+00,6.183934e+00,6.528513e+00,8.339666e+00,7.681102e+00,9.277021e-01,-6.080925e+00,-5.574014e-01,5.448260e+00,1.395531e+01,1.582900e+01,1.762853e+01,1.918928e+01,2.200298e+01,1.808627e+01,1.364813e+01,1.621606e+01,1.700641e+01,1.717129e+01,1.736378e+01,2.150149e+01,2.235536e+01,2.123241e+01,1.210704e+01,1.547822e+01,1.756668e+01,1.876468e+01,1.961815e+01,1.675816e+01,1.588929e+01,1.155403e+01,4.164098e+00,6.188877e+00,4.289991e+00,2.053278e+00,1.252614e+00,5.095796e+00,6.583953e+00,8.832749e+00,9.813335e+00,5.381611e+00,5.615244e+00,7.356878e+00,4.864257e+00,8.180758e+00
