Coeff 1,Coeff 2,Coeff 3,Coeff 4,Coeff 5,Coeff 6,Coeff 7,Coeff 8,Coeff 9,Coeff 10,Coeff 11,Coeff 12,Coeff 13,Coeff 14,Coeff 15,Coeff 16,Coeff 17,Coeff 18,Coeff 19,Coeff 20,Coeff 21,Coeff 22,Coeff 23,Coeff 24,Coeff 25,Coeff 26,Coeff 27,Coeff 28,Coeff 29,Coeff 30,Coeff 31,Coeff 32,Coeff 33,Coeff 34,Coeff 35
-4.314643e+02,-4.520135e+02,-4.956445e+02,-4.954865e+02,-5.036543e+02,-5.193715e+02,-5.336509e+02,-5.556196e+02,-5.618974e+02,-5.570215e+02,-5.109331e+02,-4.661393e+02,-3.277032e+02,-2.071135e+02,-1.299262e+02,-9.316517e+01,-1.124015e+02,-1.803438e+02,-1.344954e+02,-1.167357e+02,-1.462576e+02,-2.317543e+02,-3.576552e+02,-4.562386e+02,-4.946252e+02,-5.119519e+02,-5.185190e+02,-5.300010e+02,-5.524031e+02,-5.623591e+02,-5.624323e+02,-5.625328e+02,-5.627440e+02,-5.637783e+02,-5.624456e+02
6.052480e+01,4.733168e+01,2.989783e+01,4.149603e+01,4.037020e+01,3.162468e+01,2.505930e+01,8.440870e+00,2.662580e+00,4.701283e+00,3.997939e+01,8.082497e+01,1.563654e+02,1.649044e+02,2.091367e+02,2.292184e+02,2.126654e+02,1.447198e+02,1.712465e+02,1.995200e+02,2.161670e+02,2.111996e+02,1.697607e+02,1.090291e+02,7.236501e+01,5.073164e+01,4.015322e+01,3.106685e+01,1.295424e+01,2.250669e+00,2.132318e+00,1.961284e+00,1.675330e+00,4.022247e-01,2.014997e+00
-8.607727e+01,-8.529215e+01,-5.449997e+01,-3.502325e+01,-2.477316e+01,-1.751556e+01,-6.299350e+00,9.266545e-01,1.436769e+00,-3.945583e+00,-2.279343e+01,-1.011120e+01,-3.211272e+01,-8.291119e+01,-7.428649e+01,-7.339613e+01,-6.864305e+01,-9.362039e+01,-1.093827e+02,-1.011762e+02,-8.687881e+01,-6.401393e+01,-1.469075e+01,2.018011e+01,1.892432e+01,7.218826e+00,-8.951709e-01,1.980083e+00,5.945731e+00,1.648791e+00,1.493316e+00,1.246741e+00,9.973502e-01,2.442099e-01,1.120575e+00
-4.887445e+01,-5.096087e+01,-3.189297e+01,-2.995474e+01,-2.610135e+01,-2.361012e+01,-1.712720e+01,-4.414746e+00,-1.679848e-01,-4.872666e+00,-4.212927e+01,-4.367080e+01,-4.471468e+01,-1.144222e+01,1.690933e+01,2.716268e+01,2.691641e+01,8.193293e+00,-2.095139e+01,-3.420090e+01,-4.893787e+01,-7.539557e+01,-7.934959e+01,-3.817341e+01,-1.797509e+01,-1.589414e+01,-1.411259e+01,-8.102917e+00,9.158545e-01,7.901461e-01,5.953368e-01,2.569658e-01,6.333989e-02,2.517630e-02,-8.406412e-02
2.122304e+01,1.893626e+01,1.756573e+01,4.262570e+00,1.587373e-02,-2.665876e+00,-7.519926e+00,-4.669899e+00,-1.646102e+00,7.981831e-01,-1.002194e+01,-1.276459e+01,-3.459773e+01,-5.158896e+01,-3.907243e+01,-3.502956e+01,-4.174948e+01,-6.036596e+01,-8.533270e+01,-1.004632e+02,-9.507002e+01,-7.598653e+01,-6.270155e+01,-3.902827e+01,-2.220082e+01,-1.346763e+01,-5.826932e+00,-4.209581e+00,-2.105438e+00,-1.439708e-01,-3.546070e-01,-7.605871e-01,-8.861185e-01,-2.000854e-01,-1.256996e+00
2.056579e+01,1.279303e+01,3.636191e+00,-4.081199e+00,-5.941561e+00,-2.160321e-01,4.089866e-01,-2.266571e+00,-2.541348e+00,2.755307e+00,1.913126e+01,2.654429e+01,1.034172e+01,3.062232e+00,3.687934e+00,3.016831e+00,7.050303e+00,4.277253e+00,1.194036e-02,-1.267974e+01,-2.434968e+01,-2.292087e+01,-1.742588e+01,-1.790494e+01,-1.304907e+01,-8.678935e+00,-5.875975e+00,-6.702708e+00,-4.893309e+00,-9.618464e-01,-1.142478e+00,-1.553561e+00,-1.606682e+00,-3.752439e-01,-2.067543e+00
-8.411831e+00,-1.541187e+01,-1.756428e+01,-1.876872e+01,-1.934231e+01,-1.205568e+01,-1.519295e+00,-1.167409e+00,-2.594671e+00,-2.057136e+00,9.883780e+00,8.331082e+00,6.272421e+00,7.991657e+00,-1.111284e+00,-9.226818e+00,-8.374777e+00,-5.590631e+00,-6.675488e+00,-1.000696e+01,-6.847524e+00,1.225032e+00,-4.372993e+00,-1.443258e+01,-1.208669e+01,-1.228400e+01,-1.329966e+01,-1.299522e+01,-5.845599e+00,-1.505135e+00,-1.599519e+00,-1.929014e+00,-1.913263e+00,-4.565285e-01,-2.290882e+00
-1.286226e+01,-8.482063e+00,1.169423e+00,-1.736831e+00,-6.317377e+00,-1.041745e+01,-5.460990e+00,-2.138892e+00,-1.825880e+00,-5.266744e+00,-1.304156e+01,-2.128560e+01,-2.890180e+01,-3.505415e+01,-3.769248e+01,-3.793819e+01,-3.701711e+01,-3.805595e+01,-4.152471e+01,-4.556442e+01,-4.698608e+01,-4.176246e+01,-3.624236e+01,-2.743799e+01,-1.865662e+01,-1.537074e+01,-1.081259e+01,-1.009612e+01,-3.722178e+00,-1.684155e+00,-1.642792e+00,-1.802314e+00,-1.727678e+00,-4.236664e-01,-1.871319e+00
1.202350e+01,1.216714e+01,1.146392e+01,9.547077e+00,5.996053e+00,4.010112e-01,-5.651099e+00,-2.606158e+00,-5.225491e-01,-9.650689e-01,-1.297530e+01,-1.990919e+01,-2.477079e+01,-1.461397e+01,-7.609737e+00,-1.087024e+00,-2.169516e+00,-1.194396e+01,-1.450381e+01,-1.698383e+01,-2.424012e+01,-3.293211e+01,-4.436470e+01,-3.203436e+01,-1.980114e+01,-1.234352e+01,-3.257107e+00,-3.116566e+00,-1.783938e+00,-1.496312e+00,-1.293860e+00,-1.218087e+00,-1.098618e+00,-2.849552e-01,-9.362357e-01
1.439247e+01,6.850683e+00,-4.045492e+00,-5.266414e+00,-2.999785e+00,2.710048e+00,-2.438729e+00,-6.270546e-01,8.593235e-01,4.720693e+00,4.146681e+00,-5.199981e+00,-9.743655e+00,-1.502782e+01,-7.487600e+00,-1.945600e+00,-2.347012e+00,-1.319599e+01,-1.218568e+01,-1.296328e+01,-1.733250e+01,-1.629888e+01,-2.047964e+01,-1.915468e+01,-1.143597e+01,-7.556253e+00,-3.921283e+00,-3.457640e+00,-2.829335e+00,-1.023664e+00,-6.711035e-01,-3.379301e-01,-1.888639e-01,-7.514296e-02,2.428488e-01
4.639113e+00,2.434236e+00,-4.534357e+00,-1.005766e+01,-6.769028e+00,2.480953e-01,1.363610e+00,2.320785e+00,1.849132e+00,3.270802e+00,7.516379e+00,2.451090e+00,5.473888e+00,9.798641e+00,1.655205e+01,1.925892e+01,2.042746e+01,1.853465e+01,1.800867e+01,1.158245e+01,5.459492e-01,-5.947460e+00,-6.735207e+00,-3.395792e+00,-2.011952e+00,-3.744112e+00,-7.145455e+00,-6.776198e+00,-4.270452e+00,-4.103368e-01,4.219082e-02,6.018918e-01,7.669531e-01,1.532553e-01,1.330077e+00
8.097340e+00,1.016189e+01,6.014946e+00,2.045336e+00,3.892374e+00,1.628084e+00,1.278311e+00,3.091861e+00,2.118371e+00,-2.905254e+00,-7.411077e+00,-1.615984e+01,-1.524122e+01,-7.776396e+00,-2.695970e-01,-3.116995e+00,-8.306581e+00,-6.580801e+00,-1.565525e+01,-2.075831e+01,-1.721110e+01,-7.927639e+00,-6.724406e+00,-1.476746e-01,-1.376324e-01,-8.135740e-01,-4.259313e+00,-4.971750e+00,-2.970649e+00,1.741724e-01,6.456316e-01,1.351752e+00,1.522977e+00,3.431368e-01,2.022245e+00
-8.625395e+00,-6.636516e+00,-2.232805e+00,-3.311852e-01,3.581117e+00,1.368609e+00,-3.346830e+00,7.147202e-01,1.588127e+00,-4.353267e+00,-1.618882e+01,-2.369334e+01,-1.581488e+01,-1.626955e+01,-7.313574e+00,-6.776340e+00,-5.012755e+00,-8.886832e+00,-1.361172e+01,-1.482210e+01,-1.402033e+01,-1.385798e+01,-1.149468e+01,-7.874046e+00,-5.009720e+00,-1.632156e+00,-3.079441e+00,-2.681789e+00,-7.750015e-01,5.769326e-01,9.732677e-01,1.713190e+00,1.885512e+00,4.470911e-01,2.134588e+00
